"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
10010201001,20100,1,575,32.465832,-86.4896607,"1"
10010201002,20100,2,1200,32.4858732,-86.4896724,"1"
10010202001,20200,1,974,32.4800823,-86.4749744,"1"
10010202002,20200,2,1081,32.464435,-86.4697659,"1"
10010203001,20300,1,2377,32.480175,-86.4607925,"1"
10010203002,20300,2,839,32.4643093,-86.4584716,"1"
10010204001,20400,1,942,32.4852241,-86.4447951,"1"
10010204002,20400,2,1902,32.4704175,-86.4359662,"1"
10010204003,20400,3,867,32.4632217,-86.4442795,"1"
10010204004,20400,4,535,32.4560697,-86.4417626,"1"
10010205011,20501,1,2390,32.4460719,-86.418657,"1"
10010205012,20501,2,1932,32.4519545,-86.4314867,"1"
10010205021,20502,1,2003,32.4684119,-86.4149975,"1"
10010205022,20502,2,1281,32.4673115,-86.421828,"1"
10010205031,20503,1,764,32.4787914,-86.4175693,"1"
10010205032,20503,2,1327,32.4797005,-86.4240099,"1"
10010205033,20503,3,1525,32.4695124,-86.4302842,"1"
10010206001,20600,1,1181,32.435977,-86.482796,"1"
10010206002,20600,2,614,32.442544,-86.4667566,"1"
10010206003,20600,3,1934,32.4473399,-86.4768278,"1"
10010207001,20700,1,1211,32.4523504,-86.449678,"1"
10010207002,20700,2,1074,32.4446185,-86.4555923,"1"
10010207003,20700,3,1124,32.4135472,-86.4297969,"1"
10010208011,20801,1,976,32.3899639,-86.5275317,"1"
10010208012,20801,2,864,32.4443313,-86.5098146,"1"
10010208013,20801,3,1303,32.455536,-86.5550587,"1"
10010208031,20803,1,823,32.5467483,-86.5315257,"4"
10010208032,20803,2,587,32.5419945,-86.6156207,"1"
10010208033,20803,3,1599,32.5439832,-86.4921004,"4"
10010208034,20803,4,1626,32.5165176,-86.5614831,"1"
10010208041,20804,1,1702,32.511089,-86.4688897,"4"
10010208042,20804,2,4362,32.5080405,-86.437415,"4"
10010208051,20805,1,1092,32.5257903,-86.4308142,"4"
10010208052,20805,2,2030,32.5483333,-86.4499508,"4"
10010209011,20901,1,1341,32.686698,-86.4787594,"4"
10010209012,20901,2,1927,32.6269039,-86.4544024,"4"
10010209021,20902,1,1396,32.6423439,-86.5957353,"4"
10010209022,20902,2,1695,32.6193372,-86.5127187,"4"
10010210001,21000,1,793,32.6073053,-86.8262096,"2"
10010210002,21000,2,1026,32.5753561,-86.6709272,"4"
10010210003,21000,3,826,32.6631074,-86.6859543,"2"
10010211001,21100,1,517,32.5117668,-86.8145276,"2"
10010211002,21100,2,822,32.4184583,-86.7254879,"1"
10010211003,21100,3,999,32.4909169,-86.6094086,"1"
10010211004,21100,4,847,32.4965703,-86.7121716,"1"
10030101001,10100,1,538,31.1685484,-87.8424466,"5"
10030101002,10100,2,1472,31.0001257,-87.8400435,"5"
10030101003,10100,3,1735,31.1269766,-87.7054319,"5"
10030102001,10200,1,1763,30.960553,-87.7045403,"5"
10030102002,10200,2,1237,30.9188857,-87.6509981,"5"
10030103001,10300,1,1053,30.7644499,-87.9044534,"5"
10030103002,10300,2,2745,30.760669,-87.8525912,"5"
10030103003,10300,3,1727,30.8886628,-87.8709375,"5"
10030103004,10300,4,775,30.8334756,-87.8311875,"5"
10030103005,10300,5,2080,30.8170291,-87.7995391,"5"
10030104001,10400,1,952,30.6951888,-87.5312949,"5"
10030104002,10400,2,1692,30.6780311,-87.7027472,"5"
10030104003,10400,3,3078,30.7758888,-87.696171,"5"
10030105001,10500,1,1375,30.8795016,-87.7868857,"5"
10030105002,10500,2,1113,30.896551,-87.7867078,"5"
10030105003,10500,3,1423,30.9077127,-87.7745172,"5"
10030105004,10500,4,939,30.8872159,-87.7680097,"5"
