"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
50014801001,480100,1,1224,34.3424381,-91.2160207,"3"
50014802001,480200,1,1527,34.3790548,-91.555195,"1"
50014803001,480300,1,1106,34.4994803,-91.5430379,"3"
50014803002,480300,2,1592,34.5113876,-91.4992086,"3"
50014804001,480400,1,1524,34.5067332,-91.5568241,"1"
50014804002,480400,2,692,34.5308197,-91.5548599,"3"
50014805001,480500,1,1391,34.486586,-91.5644389,"1"
50014805002,480500,2,1777,34.4943972,-91.5522808,"1"
50014805003,480500,3,653,34.4777411,-91.5623826,"1"
50014806001,480600,1,1700,34.3069023,-91.3895216,"1"
50014807001,480700,1,1221,34.2941802,-91.3320461,"3"
50014807002,480700,2,1506,34.2888783,-91.2884998,"3"
50014808001,480800,1,660,34.1138869,-91.3344995,"1"
50014808002,480800,2,576,34.1191557,-91.3803362,"1"
50039601001,960100,1,850,33.2359404,-91.5132243,"1"
50039601002,960100,2,638,33.2736208,-91.6565788,"1"
50039602001,960200,1,1053,33.3461912,-91.8627739,"1"
50039602002,960200,2,1396,33.2529858,-91.974836,"1"
50039603001,960300,1,756,33.271343,-91.7826368,"1"
50039603002,960300,2,787,33.2595231,-91.8309846,"1"
50039603003,960300,3,1678,33.1886472,-91.8574097,"1"
50039603004,960300,4,1082,33.1894356,-91.7872951,"1"
50039604001,960400,1,1032,33.0821177,-91.7869165,"1"
50039604002,960400,2,475,33.0375925,-91.5593612,"1"
50039605001,960500,1,916,33.1725326,-91.9541926,"1"
50039605002,960500,2,484,33.1740952,-91.9331875,"1"
50039605003,960500,3,1047,33.1491218,-91.9279794,"1"
50039606001,960600,1,870,33.1239689,-91.9362255,"1"
50039606002,960600,2,989,33.1538683,-91.9759415,"1"
50039606003,960600,3,1034,33.1237215,-91.9757085,"1"
50039606004,960600,4,1148,33.0894166,-91.972029,"1"
50039606005,960600,5,1048,33.1160839,-91.9460359,"1"
50039607001,960700,1,811,33.1404174,-92.0617259,"1"
50039607002,960700,2,968,33.1310474,-91.9965161,"1"
50059501001,950100,1,839,36.3069008,-92.4078729,"3"
50059501002,950100,2,923,36.3108735,-92.3820274,"3"
50059501003,950100,3,1668,36.3245155,-92.3633314,"3"
50059501004,950100,4,1098,36.3040334,-92.3584708,"3"
50059502001,950200,1,1069,36.3379121,-92.3780611,"3"
50059502002,950200,2,1484,36.3494262,-92.3488541,"3"
