"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
40019426001,942600,1,829,36.6525496,-109.8475829,"1"
40019426002,942600,2,720,36.9353993,-109.9078833,"1"
40019427001,942700,1,761,36.9101983,-109.1774307,"1"
40019427002,942700,2,1761,36.7703339,-109.6112269,"1"
40019427003,942700,3,894,36.8300288,-109.3653458,"1"
40019427004,942700,4,1075,36.6063051,-109.1489897,"1"
40019440001,944000,1,1374,35.9793507,-109.1531986,"1"
40019440002,944000,2,1948,35.7615331,-109.089103,"1"
40019440003,944000,3,2026,35.718709,-109.06539,"1"
40019441001,944100,1,1086,36.4134732,-109.2209172,"1"
40019441002,944100,2,1194,36.5488237,-109.4743896,"1"
40019441003,944100,3,635,36.2039085,-109.2236854,"1"
40019441004,944100,4,1826,36.329555,-109.315673,"1"
40019441005,944100,5,754,36.4404164,-109.2655112,"1"
40019442011,944201,1,1597,36.1070802,-109.5919539,"1"
40019442012,944201,2,2424,36.1534278,-109.6853411,"1"
40019442021,944202,1,1188,36.2151207,-109.58672,"1"
40019442022,944202,2,947,36.2212815,-109.481362,"1"
40019442023,944202,3,1473,36.0864,-109.4770293,"1"
40019443011,944301,1,1546,36.4057993,-109.6377861,"1"
40019443012,944301,2,1379,36.3070466,-109.8418917,"1"
40019443013,944301,3,864,36.3445485,-109.504345,"1"
40019443021,944302,1,1222,35.941437,-109.4439778,"1"
40019443022,944302,2,1463,36.0239774,-109.7851011,"1"
40019449011,944901,1,496,35.3980072,-109.3967314,"1"
40019449012,944901,2,1124,35.7916357,-109.3338227,"1"
40019449013,944901,3,1145,35.6838763,-109.5043031,"1"
40019449014,944901,4,604,35.5984467,-109.370326,"1"
40019449021,944902,1,1558,35.8228356,-109.8775261,"1"
40019449022,944902,2,711,35.5090469,-109.7495222,"1"
40019449023,944902,3,815,35.3515544,-109.6199135,"1"
40019449024,944902,4,1117,35.7671865,-109.6185861,"1"
40019450011,945001,1,1249,35.6807365,-109.0538646,"1"
40019450012,945001,2,849,35.6550633,-109.0884354,"1"
40019450013,945001,3,712,35.7113987,-109.1596886,"1"
40019450014,945001,4,1323,35.676765,-109.0814719,"1"
40019450021,945002,1,1222,35.4043929,-109.1639224,"1"
40019450022,945002,2,1053,35.5951686,-109.1510725,"1"
40019450023,945002,3,1314,35.3011079,-109.2809664,"1"
40019451001,945100,1,1445,35.0808065,-109.1705182,"1"
40019451002,945100,2,687,35.0912461,-109.4681144,"1"
40019702011,970201,1,1591,34.5195529,-109.3036715,"1"
40019702012,970201,2,978,34.5191102,-109.3764074,"1"
40019702021,970202,1,839,34.8127059,-109.5638009,"1"
40019702022,970202,2,1135,34.415963,-109.7770898,"1"
40019702023,970202,3,636,34.5100216,-109.6612184,"1"
40019703001,970300,1,1167,34.3155138,-109.2663052,"1"
40019703002,970300,2,1096,34.4999083,-109.3669766,"1"
40019703003,970300,3,953,34.4903072,-109.3861144,"1"
40019705011,970501,1,1167,34.1135828,-109.2991652,"1"
40019705012,970501,2,795,34.119154,-109.2868123,"1"
40019705013,970501,3,1157,34.122441,-109.2705307,"1"
40019705014,970501,4,1330,34.1053802,-109.2800908,"1"
40019705021,970502,1,1895,33.9781246,-109.3193984,"1"
40019705022,970502,2,974,34.1495759,-109.3366049,"1"
40019705023,970502,3,1898,33.8843942,-109.7256627,"1"
40030001011,101,1,1071,32.2358444,-109.3276066,"3"
40030001021,102,1,745,32.0420304,-109.545964,"3"
40030002011,201,1,1740,32.3934807,-109.8900134,"3"
40030002012,201,2,1358,32.2382655,-109.997212,"3"
40030002021,202,1,957,32.2581451,-109.8413907,"3"
40030002022,202,2,660,32.2503595,-109.8377713,"3"
40030002023,202,3,1056,32.2630656,-109.7877651,"3"
40030002024,202,4,709,32.2110946,-109.8346907,"3"
40030002031,203,1,738,32.0799299,-109.7935193,"3"
40030002032,203,2,911,31.9547956,-109.9026674,"3"
40030002033,203,3,891,31.9342071,-109.8050762,"3"
40030003011,301,1,1025,31.9546108,-110.2925449,"3"
40030003012,301,2,1146,31.9599298,-110.3228799,"3"
40030003013,301,3,770,31.9719807,-110.3000245,"3"
40030003014,301,4,1088,31.9598462,-110.2822236,"3"
40030003031,303,1,944,32.2101974,-110.2767496,"3"
40030003032,303,2,1359,31.9754288,-110.4180476,"3"
40030003033,303,3,1097,31.9969357,-110.3223197,"3"
40030003041,304,1,1446,31.8651552,-110.4077341,"3"
40030003042,304,2,882,31.8410328,-110.2915619,"3"
40030003051,305,1,512,31.9848701,-110.1044004,"3"
40030003052,305,2,1207,31.9239918,-110.1781726,"3"
40030003053,305,3,962,31.924214,-110.3066908,"3"
40030004001,400,1,1053,31.8005947,-110.0293294,"3"
40030004002,400,2,1031,31.7038986,-110.0374792,"3"
40030005011,501,1,1214,31.693002,-109.4347432,"3"
40030005012,501,2,710,31.7278636,-109.7335479,"3"
40030005021,502,1,921,31.4830774,-109.7199421,"3"
40030005031,503,1,2063,31.5362981,-109.6025499,"3"
40030006001,600,1,1351,31.4446761,-109.4183013,"3"
40030006002,600,2,1249,31.3573811,-109.5685056,"3"
