"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
60014001001,400100,1,1789,37.869878,-122.2336208,"39"
60014001002,400100,2,1249,37.857105,-122.2236217,"39"
60014002001,400200,1,1022,37.8497451,-122.2488478,"39"
60014002002,400200,2,979,37.8465865,-122.2503095,"39"
60014003001,400300,1,1123,37.8439848,-122.2486668,"39"
60014003002,400300,2,1528,37.836255,-122.2516875,"39"
60014003003,400300,3,1390,37.8404129,-122.2598022,"39"
60014003004,400300,4,1463,37.8402856,-122.2541313,"39"
60014004001,400400,1,1558,37.8500898,-122.2549722,"39"
60014004002,400400,2,1353,37.8448409,-122.2590489,"39"
60014004003,400400,3,1201,37.850124,-122.258756,"39"
60014005001,400500,1,2018,37.8488953,-122.263197,"39"
60014005002,400500,2,905,37.8465131,-122.2670453,"39"
60014005003,400500,3,721,37.8501477,-122.2673647,"39"
60014006001,400600,1,1076,37.8432924,-122.264538,"39"
60014006002,400600,2,712,37.8403392,-122.2653325,"39"
60014007001,400700,1,1254,37.8453741,-122.2731738,"39"
60014007002,400700,2,1269,37.8426023,-122.2723644,"39"
60014007003,400700,3,810,37.8403773,-122.2719191,"39"
60014007004,400700,4,1175,37.8382287,-122.2715499,"39"
60014008001,400800,1,1471,37.8481122,-122.284845,"39"
60014008002,400800,2,1154,37.845306,-122.2823718,"39"
60014008003,400800,3,1292,37.8427178,-122.2823241,"39"
60014009001,400900,1,1330,37.8405334,-122.2794937,"39"
60014009002,400900,2,1184,37.8382454,-122.2810522,"39"
60014010001,401000,1,987,37.8358374,-122.2696518,"39"
60014010002,401000,2,841,37.8340002,-122.2711304,"39"
60014010003,401000,3,1156,37.8324599,-122.2723196,"39"
60014010004,401000,4,765,37.8291541,-122.269251,"39"
60014010005,401000,5,1108,37.8266648,-122.2728252,"39"
60014010006,401000,6,1240,37.8298623,-122.2746377,"39"
60014011001,401100,1,829,37.8342872,-122.2615934,"39"
60014011002,401100,2,1302,37.8292817,-122.2625471,"39"
60014011003,401100,3,1028,37.8252566,-122.2647775,"39"
60014011004,401100,4,1807,37.83246,-122.2651732,"39"
60014012001,401200,1,1222,37.8337575,-122.2568764,"39"
60014012002,401200,2,946,37.8297224,-122.2578313,"39"
60014012003,401200,3,821,37.8257833,-122.259788,"39"
60014013001,401300,1,2336,37.8209026,-122.2653979,"39"
60014013002,401300,2,2046,37.8151809,-122.2698957,"39"
60014013003,401300,3,1505,37.8151016,-122.2664711,"39"
60014014001,401400,1,1457,37.8241073,-122.2730896,"39"
60014014002,401400,2,2185,37.8215161,-122.2739495,"39"
60014014003,401400,3,1713,37.8166863,-122.2731129,"39"
60014015001,401500,1,1208,37.8252342,-122.2802269,"39"
60014015002,401500,2,710,37.8226985,-122.2806797,"39"
60014015003,401500,3,743,37.8208899,-122.2809889,"39"
60014016001,401600,1,1410,37.8184286,-122.2816672,"39"
60014016002,401600,2,1561,37.8158604,-122.281218,"39"
60014017001,401700,1,1678,37.811018,-122.3018978,"39"
60014017002,401700,2,1783,37.8154492,-122.2948134,"39"
60014017003,401700,3,2660,37.8211635,-122.3187951,"51"
60014018001,401800,1,1076,37.8108844,-122.2971077,"39"
60014018002,401800,2,905,37.8080311,-122.29949,"39"
60014022001,402200,1,1456,37.8106213,-122.2931359,"39"
60014022002,402200,2,620,37.8064751,-122.2955213,"39"
60014022003,402200,3,1174,37.804302,-122.2977879,"39"
60014024001,402400,1,1056,37.8134127,-122.2819507,"39"
60014024002,402400,2,1403,37.8103981,-122.2830561,"39"
60014025001,402500,1,1273,37.8066561,-122.2844438,"39"
60014025002,402500,2,737,37.8033357,-122.285651,"39"
60014026001,402600,1,1226,37.80427,-122.2799551,"39"
60014027001,402700,1,673,37.8098183,-122.2757415,"39"
60014027002,402700,2,1154,37.8108456,-122.2784518,"39"
60014028011,402801,1,1031,37.808595,-122.2704465,"39"
60014028012,402801,2,986,37.811034,-122.2713877,"39"
60014028013,402801,3,924,37.8100032,-122.2715022,"39"
60014028021,402802,1,462,37.8063315,-122.2729929,"39"
60014028022,402802,2,991,37.8078637,-122.2742526,"39"
60014029001,402900,1,1148,37.8075597,-122.2668062,"39"
60014029002,402900,2,769,37.8044408,-122.2659507,"39"
60014030001,403000,1,1141,37.799161,-122.2730096,"39"
60014030002,403000,2,1138,37.7999674,-122.2694817,"39"
60014030003,403000,3,728,37.8021616,-122.2711064,"39"
60014031001,403100,1,812,37.8035673,-122.2747045,"39"
60014031002,403100,2,878,37.800534,-122.2765731,"39"
60014033011,403301,1,1043,37.7993524,-122.2661738,"39"
60014033012,403301,2,956,37.7970739,-122.2676025,"39"
60014033021,403302,1,1041,37.7950223,-122.2686538,"39"
60014033022,403302,2,1324,37.7930534,-122.2645813,"39"
60014033023,403302,3,855,37.7936467,-122.2699283,"39"
60014034011,403401,1,1198,37.8092493,-122.2597833,"39"
60014034012,403401,2,970,37.8031134,-122.2638311,"39"
60014034013,403401,3,863,37.8026482,-122.2626597,"39"
60014034021,403402,1,324,37.8010931,-122.2651074,"39"
60014034022,403402,2,1200,37.8035766,-122.2650187,"39"
60014035011,403501,1,1045,37.8151725,-122.2609409,"39"
60014035012,403501,2,1947,37.8191889,-122.2588125,"39"
60014035013,403501,3,794,37.8221908,-122.2569921,"39"
60014035014,403501,4,2094,37.8138123,-122.2635494,"39"
60014035021,403502,1,919,37.814361,-122.2588772,"39"
60014035022,403502,2,1229,37.8170927,-122.2555757,"39"
60014036001,403600,1,776,37.8115076,-122.2533284,"39"
60014036002,403600,2,1213,37.813221,-122.2564599,"39"
60014036003,403600,3,2728,37.8141039,-122.2525613,"39"
60014037011,403701,1,1279,37.8120365,-122.2594523,"39"
60014037012,403701,2,1507,37.8105269,-122.2580095,"39"
60014037021,403702,1,777,37.8098411,-122.2501236,"39"
60014037022,403702,2,1372,37.8090927,-122.2544186,"39"
60014038001,403800,1,675,37.8157941,-122.2363634,"39"
60014038002,403800,2,819,37.8137422,-122.2418254,"39"
60014038003,403800,3,774,37.8117793,-122.2457459,"39"
60014038004,403800,4,1442,37.8164158,-122.2430377,"39"
60014039001,403900,1,1507,37.8196019,-122.2484272,"39"
60014039002,403900,2,797,37.8165263,-122.2473696,"39"
60014039003,403900,3,1639,37.8156264,-122.249936,"39"
60014040001,404000,1,1025,37.8208762,-122.2526402,"39"
60014040002,404000,2,1287,37.8243732,-122.2548852,"39"
60014040003,404000,3,737,37.8221638,-122.2496767,"39"
60014041011,404101,1,1308,37.8301393,-122.2474773,"39"
60014041012,404101,2,928,37.8287913,-122.2524706,"39"
60014041013,404101,3,903,37.83195,-122.2528419,"39"
60014041021,404102,1,1478,37.8256585,-122.2498624,"39"
60014041022,404102,2,1038,37.8266684,-122.2532097,"39"
60014042001,404200,1,1050,37.8399182,-122.2280405,"39"
60014042002,404200,2,1346,37.8378421,-122.2283838,"39"
60014042003,404200,3,1245,37.8348758,-122.2372751,"39"
60014043001,404300,1,1211,37.8478563,-122.2362003,"39"
60014043002,404300,2,938,37.844708,-122.2411377,"39"
60014043003,404300,3,1267,37.8411985,-122.2426188,"39"
60014044001,404400,1,1790,37.8485044,-122.2188872,"39"
60014044002,404400,2,1307,37.8372023,-122.217035,"39"
60014044003,404400,3,1818,37.8451248,-122.207617,"39"
60014044004,404400,4,706,37.8567446,-122.2200772,"39"
60014045011,404501,1,1771,37.8271275,-122.2171515,"39"
60014045021,404502,1,979,37.8405522,-122.20378,"39"
60014045022,404502,2,1442,37.8353471,-122.2066626,"39"
60014045023,404502,3,1783,37.8369357,-122.1943401,"39"
60014045024,404502,4,1990,37.8295259,-122.2055206,"39"
60014046001,404600,1,1153,37.829707,-122.1926015,"39"
60014046002,404600,2,740,37.8293897,-122.1902062,"39"
60014046003,404600,3,1167,37.823508,-122.1922299,"39"
60014046004,404600,4,1491,37.8160013,-122.1906497,"39"
60014047001,404700,1,883,37.811242,-122.2115583,"39"
60014047002,404700,2,1099,37.8120753,-122.2048868,"39"
60014048001,404800,1,1355,37.8036799,-122.2120882,"39"
60014048002,404800,2,1402,37.8067164,-122.2139291,"39"
60014049001,404900,1,905,37.8078486,-122.2171907,"39"
60014049002,404900,2,1224,37.8018564,-122.2191471,"39"
60014049003,404900,3,1135,37.8017903,-122.2252349,"39"
60014049004,404900,4,1194,37.8048105,-122.2238912,"39"
60014050001,405000,1,799,37.8104871,-122.2191725,"39"
60014050002,405000,2,1161,37.8093474,-122.2236159,"39"
60014050003,405000,3,1353,37.8065981,-122.2340361,"39"
60014051001,405100,1,1052,37.8111,-122.2261253,"39"
60014051002,405100,2,691,37.8097578,-122.2318657,"39"
60014051003,405100,3,909,37.8097878,-122.2378241,"39"
60014051004,405100,4,687,37.8130578,-122.2374516,"39"
60014051005,405100,5,1024,37.8136443,-122.2308638,"39"
60014052001,405200,1,1381,37.8047435,-122.2391565,"39"
60014052002,405200,2,972,37.8028717,-122.2465026,"39"
60014052003,405200,3,1215,37.8060372,-122.2447114,"39"
60014052004,405200,4,1271,37.8075667,-122.2471899,"39"
60014053011,405301,1,964,37.8036426,-122.2512282,"39"
