"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
80010078011,7801,1,1403,39.7419971,-104.870512,"3"
80010078012,7801,2,2533,39.7419962,-104.8799405,"3"
80010078021,7802,1,1419,39.7419965,-104.8611117,"1"
80010078022,7802,2,1185,39.7419946,-104.8493928,"1"
80010078023,7802,3,1289,39.741996,-104.854061,"1"
80010079001,7900,1,1702,39.7511262,-104.869988,"3"
80010079002,7900,2,538,39.7501817,-104.8769772,"3"
80010079003,7900,3,1175,39.745604,-104.8699168,"3"
80010079004,7900,4,2075,39.7456047,-104.8793527,"3"
80010080001,8000,1,933,39.751626,-104.8502765,"1"
80010080002,8000,2,1539,39.7463028,-104.8508451,"1"
80010080003,8000,3,961,39.7465304,-104.8569907,"1"
80010080004,8000,4,1393,39.7523629,-104.8579272,"1"
80010080005,8000,5,891,39.7514958,-104.862843,"1"
80010080006,8000,6,1058,39.7465345,-104.8628601,"1"
80010081001,8100,1,1378,39.7466612,-104.8372242,"1"
80010082001,8200,1,2204,39.7571987,-104.8236708,"1"
80010082002,8200,2,2487,39.757368,-104.8354972,"1"
80010082003,8200,3,1830,39.7638092,-104.8434433,"1"
80010083081,8308,1,1454,39.7621811,-104.8170533,"1"
80010083082,8308,2,2448,39.7437737,-104.8147597,"1"
80010083083,8308,3,2812,39.7458428,-104.8224276,"1"
80010083091,8309,1,1433,39.7429811,-104.8022082,"1"
80010083092,8309,2,403,39.7591891,-104.7870038,"1"
80010083093,8309,3,2442,39.7433101,-104.7873019,"1"
80010083541,8354,1,226,39.7785643,-104.6847111,"1"
80010083542,8354,2,3796,39.8091838,-104.6959799,"1"
80010083551,8355,1,1374,39.743746,-104.7678011,"1"
80010083552,8355,2,1940,39.7428678,-104.7559325,"1"
80010083553,8355,3,1506,39.7452925,-104.748672,"1"
80010084011,8401,1,1549,39.845742,-104.5144309,"1"
80010084012,8401,2,2582,39.7502188,-104.4266223,"1"
80010084013,8401,3,1406,39.9730177,-104.5352568,"1"
80010084021,8402,1,1132,39.8628815,-104.0144084,"1"
80010084022,8402,2,2036,39.7447681,-104.320956,"1"
80010084023,8402,3,2157,39.8750191,-104.3567626,"1"
80010085051,8505,1,1328,39.8956735,-104.9845944,"7"
80010085052,8505,2,1093,39.8941581,-104.980254,"7"
80010085053,8505,3,1467,39.8964039,-104.9728547,"7"
80010085054,8505,4,1212,39.8917605,-104.9703627,"7"
80010085055,8505,5,1179,39.8874061,-104.9704102,"7"
80010085056,8505,6,847,39.8877633,-104.9826058,"7"
80010085061,8506,1,1604,39.9109452,-104.9826052,"7"
80010085062,8506,2,983,39.9073266,-104.9804052,"7"
80010085063,8506,3,1434,39.9101045,-104.9873808,"7"
80010085064,8506,4,404,39.9044975,-104.9799568,"7"
80010085065,8506,5,2035,39.9061639,-104.9850452,"7"
80010085071,8507,1,1599,39.9044778,-104.9634502,"7"
80010085072,8507,2,1266,39.9040024,-104.9703322,"7"
80010085073,8507,3,879,39.9029864,-104.9753255,"7"
80010085074,8507,4,1382,39.9110568,-104.9734448,"7"
80010085075,8507,5,1164,39.9113494,-104.963174,"7"
80010085081,8508,1,1333,39.902984,-104.9440136,"7"
80010085082,8508,2,2410,39.9060547,-104.9537418,"7"
80010085083,8508,3,1815,39.9105717,-104.9467838,"7"
80010085241,8524,1,1759,39.9345346,-104.925421,"7"
80010085242,8524,2,1522,39.9317629,-104.9326733,"7"
80010085243,8524,3,1406,39.9405536,-104.9338886,"7"
80010085244,8524,4,1310,39.9340694,-104.9376558,"7"
80010085245,8524,5,1941,39.9452791,-104.9284098,"7"
80010085246,8524,6,1436,39.953475,-104.9313876,"7"
80010085261,8526,1,2752,39.9487613,-104.9743823,"7"
80010085262,8526,2,1144,39.9356525,-104.964275,"7"
80010085263,8526,3,1337,39.9325511,-104.9719322,"7"
80010085264,8526,4,955,39.9364413,-104.9700322,"7"
80010085265,8526,5,1321,39.9388374,-104.9744431,"7"
80010085331,8533,1,1951,39.8921745,-104.9489146,"7"
80010085332,8533,2,1544,39.8868683,-104.9549372,"7"
80010085333,8533,3,2341,39.8967078,-104.9516662,"7"
80010085334,8533,4,576,39.8943398,-104.9645747,"7"
80010085335,8533,5,1294,39.8897905,-104.9505232,"7"
80010085341,8534,1,1687,39.8959673,-104.9251715,"7"
80010085342,8534,2,1240,39.8957017,-104.935731,"7"
80010085343,8534,3,1417,39.8896266,-104.9346049,"7"
80010085351,8535,1,3921,39.8952927,-104.8719813,"1"
80010085352,8535,2,468,39.900305,-104.8870453,"1"
80010085361,8536,1,3014,39.9072076,-104.7902201,"1"
80010085362,8536,2,1339,39.905485,-104.8197605,"1"
80010085381,8538,1,649,39.8637367,-104.7816779,"1"
80010085382,8538,2,4426,39.892909,-104.7811091,"1"
80010085383,8538,3,3280,39.8780558,-104.7815531,"1"
80010085384,8538,4,3357,39.8914511,-104.800341,"1"
80010085401,8540,1,1305,39.9504192,-104.8966977,"7"
80010085402,8540,2,1800,39.9502559,-104.9173046,"7"
80010085403,8540,3,1646,39.9371062,-104.9192677,"7"
80010085404,8540,4,1810,39.9326152,-104.9107024,"7"
80010085405,8540,5,2288,39.9376865,-104.8795895,"1"
80010085406,8540,6,1527,39.9383438,-104.9092818,"7"
80010085441,8544,1,1580,39.9548193,-104.9453279,"7"
80010085442,8544,2,2444,39.9460519,-104.9461641,"7"
80010085443,8544,3,2218,39.9555985,-104.9537605,"7"
80010085451,8545,1,1599,39.929704,-104.951255,"7"
80010085452,8545,2,1310,39.9327547,-104.9522167,"7"
