"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
90010101011,10101,1,1436,41.0877433,-73.6718905,"3"
90010101012,10101,2,206,41.0695816,-73.6925231,"3"
90010101014,10101,4,1615,41.0450298,-73.6784231,"3"
90010101015,10101,5,1144,41.091442,-73.7005712,"3"
90010101021,10102,1,1346,41.0926847,-73.615959,"3"
90010101022,10102,2,1369,41.0852012,-73.6441175,"3"
90010101023,10102,3,1561,41.1164319,-73.6400407,"3"
90010102011,10201,1,989,41.0629753,-73.6349429,"3"
90010102012,10201,2,1062,41.0557036,-73.6116385,"3"
90010102013,10201,3,1344,41.0642033,-73.620237,"3"
90010102021,10202,1,1033,41.0803585,-73.5896104,"3"
90010102022,10202,2,2559,41.0567324,-73.5920233,"3"
90010102023,10202,3,1458,41.0670684,-73.5770011,"3"
90010102024,10202,4,854,41.0541535,-73.6035392,"3"
90010103001,10300,1,758,41.0436066,-73.6208461,"3"
90010103002,10300,2,1877,41.0328405,-73.6509232,"3"
90010103003,10300,3,1735,41.0426439,-73.6395374,"3"
90010104001,10400,1,1201,41.0287464,-73.6579356,"3"
90010104002,10400,2,1140,41.0184446,-73.6556312,"3"
90010104003,10400,3,1156,41.0190362,-73.6519573,"3"
90010104004,10400,4,1054,41.0312179,-73.6671753,"3"
90010104005,10400,5,1165,41.0244203,-73.6648968,"3"
90010105001,10500,1,1248,41.0234588,-73.6320974,"3"
90010105002,10500,2,941,41.0192727,-73.6416895,"3"
90010105003,10500,3,2455,41.0107073,-73.6503787,"3"
90010105004,10500,4,1926,41.0163622,-73.6405595,"3"
90010106001,10600,1,738,41.0250648,-73.6258119,"3"
90010106002,10600,2,1146,41.0310771,-73.6267821,"3"
90010107001,10700,1,1058,41.0255129,-73.6212203,"3"
90010107002,10700,2,952,41.0337821,-73.6173577,"3"
90010107003,10700,3,1563,41.0318603,-73.6132055,"3"
90010108001,10800,1,860,41.038252,-73.5953529,"3"
90010108002,10800,2,927,41.0326625,-73.601202,"3"
90010108003,10800,3,1348,41.0428534,-73.6028698,"3"
90010109001,10900,1,1485,41.0534108,-73.5703784,"3"
90010109002,10900,2,1750,41.0459342,-73.5764611,"3"
90010109003,10900,3,1116,41.0530373,-73.5787865,"3"
90010109004,10900,4,928,41.0466155,-73.585451,"3"
90010110001,11000,1,1550,41.0407996,-73.5669184,"3"
90010110002,11000,2,1396,41.0292306,-73.5621373,"3"
90010110003,11000,3,817,41.0244455,-73.57115,"3"
90010110004,11000,4,817,41.0122609,-73.5766968,"3"
90010110005,11000,5,897,41.0190195,-73.5601873,"3"
90010111001,11100,1,2458,41.0350241,-73.5835764,"3"
90010111002,11100,2,1228,41.026972,-73.5882815,"3"
90010111003,11100,3,1363,41.0183758,-73.5837774,"3"
90010112001,11200,1,995,41.0143982,-73.6104234,"3"
90010112002,11200,2,708,41.0057552,-73.6306538,"3"
90010113001,11300,1,1560,40.9833239,-73.6261622,"3"
90010113002,11300,2,1226,41.0068959,-73.6491142,"3"
90010201011,20101,1,2862,41.0573798,-73.5406129,"3"
90010201021,20102,1,1576,41.0510369,-73.5440592,"3"
90010201022,20102,2,810,41.0497693,-73.5411947,"3"
90010201023,20102,3,1602,41.052698,-73.5389894,"3"
90010202001,20200,1,1165,41.1431549,-73.6047579,"3"
90010202002,20200,2,2589,41.1135257,-73.5901246,"3"
90010203011,20301,1,1475,41.1547854,-73.5489834,"3"
90010203012,20301,2,2354,41.1489633,-73.5625049,"3"
90010203021,20302,1,1626,41.1550088,-73.5781309,"3"
90010203022,20302,2,1753,41.1381935,-73.5774167,"3"
90010204001,20400,1,1487,41.1274253,-73.5415303,"3"
90010204002,20400,2,2124,41.1177371,-73.5597143,"3"
90010205001,20500,1,1151,41.0808105,-73.560028,"3"
90010205002,20500,2,1148,41.0671998,-73.5627463,"3"
90010205003,20500,3,2514,41.0849012,-73.5726039,"3"
90010206001,20600,1,1706,41.1069305,-73.5498038,"3"
90010206002,20600,2,1625,41.0980149,-73.5581856,"3"
90010206003,20600,3,1511,41.0864855,-73.5510505,"3"
90010207001,20700,1,1142,41.1098845,-73.5107286,"3"
90010207002,20700,2,953,41.1001502,-73.5239959,"3"
90010207003,20700,3,505,41.1106262,-73.526915,"3"
90010207004,20700,4,1570,41.1043261,-73.5385918,"3"
90010208001,20800,1,952,41.0972027,-73.5434753,"3"
90010208002,20800,2,887,41.0902815,-73.5369148,"3"
90010208003,20800,3,1034,41.0873854,-73.5443034,"3"
90010209001,20900,1,1925,41.0990578,-73.5153476,"3"
90010209002,20900,2,2024,41.0921781,-73.5196972,"3"
90010209003,20900,3,1308,41.0943212,-73.5266685,"3"
90010210001,21000,1,1576,41.0847763,-73.5196476,"3"
90010210002,21000,2,1983,41.0839198,-73.5288333,"3"
90010211001,21100,1,1937,41.0695921,-73.5303562,"3"
90010211002,21100,2,1752,41.0752267,-73.5284826,"3"
90010211003,21100,3,648,41.0747874,-73.5208499,"3"
90010211004,21100,4,2077,41.0707951,-73.5177724,"3"
90010212001,21200,1,1481,41.0729795,-73.5378174,"3"
90010212002,21200,2,1388,41.071281,-73.5439884,"3"
90010212003,21200,3,1450,41.0802937,-73.5425754,"3"
90010213001,21300,1,994,41.0749194,-73.55371,"3"
90010213002,21300,2,2219,41.0605707,-73.5520211,"3"
90010213003,21300,3,1568,41.0677362,-73.5520799,"3"
90010214011,21401,1,704,41.0543289,-73.5536673,"3"
90010214012,21401,2,1636,41.0506047,-73.55594,"3"
90010214013,21401,3,739,41.0461991,-73.5562299,"3"
90010214021,21402,1,588,41.0467734,-73.5615388,"3"
90010214022,21402,2,1215,41.0570975,-73.5648319,"3"
90010214023,21402,3,2144,41.0526371,-73.5614301,"3"
90010215011,21501,1,1321,41.0541521,-73.5476658,"3"
90010215012,21501,2,1169,41.0501853,-73.5528446,"3"
90010215013,21501,3,1465,41.0510479,-73.5487308,"3"
90010215021,21502,1,1826,41.0465161,-73.5503908,"3"
90010215022,21502,2,995,41.0489501,-73.5483138,"3"
90010216011,21601,1,2135,41.0604466,-73.5420937,"3"
90010216012,21601,2,1424,41.0645691,-73.5434205,"3"
90010216021,21602,1,1886,41.0635981,-73.5385754,"3"
90010216022,21602,2,1285,41.0608562,-73.5354231,"3"
90010216023,21602,3,1365,41.063807,-73.534934,"3"
90010217011,21701,1,2252,41.0562485,-73.5270442,"3"
90010217012,21701,2,1016,41.0572093,-73.5297772,"3"
90010217021,21702,1,1548,41.0531028,-73.5342812,"3"
90010217022,21702,2,477,41.0545328,-73.5316095,"3"
90010217023,21702,3,2092,41.0579412,-73.5352896,"3"
90010217024,21702,4,615,41.0583873,-73.5320854,"3"
90010218011,21801,1,2454,41.063372,-73.5294495,"3"
90010218012,21801,2,2266,41.0637734,-73.5238526,"3"
90010218021,21802,1,1075,41.066301,-73.5139662,"3"
90010218022,21802,2,2344,41.0605162,-73.5146296,"3"
90010218023,21802,3,1737,41.058659,-73.5203988,"3"
90010219001,21900,1,1249,41.0578034,-73.5081441,"3"
90010219002,21900,2,1288,41.0518472,-73.5064453,"3"
90010219003,21900,3,2325,41.0409518,-73.5077001,"3"
90010219004,21900,4,1479,41.0463407,-73.5153413,"3"
90010220001,22000,1,2070,41.0532373,-73.5122131,"3"
90010220002,22000,2,988,41.0527553,-73.5172957,"3"
90010221011,22101,1,1192,41.0516037,-73.5204653,"3"
90010221012,22101,2,2394,41.0515321,-73.5267647,"3"
90010221021,22102,1,1263,41.0388162,-73.5283784,"3"
90010221022,22102,2,1753,41.0459063,-73.5206951,"3"
90010221023,22102,3,927,41.0454533,-73.5299292,"3"
90010222011,22201,1,888,41.0455946,-73.5420709,"3"
90010222012,22201,2,544,41.0446153,-73.5390068,"3"
90010222013,22201,3,1628,41.0461895,-73.5348396,"3"
90010222021,22202,1,1775,41.0392192,-73.5358624,"3"
90010222022,22202,2,2138,41.0413388,-73.5407393,"3"
90010222023,22202,3,668,41.0383613,-73.5426722,"3"
90010223001,22300,1,2045,41.0364014,-73.5524029,"3"
90010223002,22300,2,2341,41.0293127,-73.5458448,"3"
90010223003,22300,3,1925,41.041184,-73.5567552,"3"
90010224001,22400,1,1346,41.0293317,-73.5227837,"3"
90010224002,22400,2,1020,41.0284871,-73.5295802,"3"
