"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
120010002011,201,1,636,29.6564537,-82.3297109,"4"
120010002012,201,2,1087,29.6566337,-82.3360465,"4"
120010002013,201,3,1264,29.6515051,-82.3346553,"4"
120010002014,201,4,1361,29.6502491,-82.3382494,"4"
120010002021,202,1,1594,29.6468562,-82.3296831,"4"
120010002022,202,2,1674,29.6467184,-82.3359642,"4"
120010002023,202,3,1514,29.6435906,-82.3366118,"4"
120010003011,301,1,1849,29.6705799,-82.3318253,"4"
120010003012,301,2,1535,29.6630016,-82.3311605,"4"
120010003021,302,1,588,29.6767247,-82.3269841,"4"
120010003022,302,2,738,29.6922762,-82.3346655,"4"
120010003023,302,3,1318,29.6812487,-82.3349616,"4"
120010004001,400,1,1041,29.6848122,-82.2998476,"4"
120010004002,400,2,1148,29.670444,-82.304724,"4"
120010004003,400,3,917,29.6702006,-82.3169533,"4"
120010004004,400,4,2224,29.6794758,-82.3125287,"4"
120010005001,500,1,2221,29.6505552,-82.3221012,"4"
120010005002,500,2,866,29.6629007,-82.309045,"4"
120010005003,500,3,841,29.6632635,-82.3181778,"4"
120010005004,500,4,852,29.6559818,-82.3131572,"4"
120010005005,500,5,661,29.6562997,-82.3203875,"4"
120010006001,600,1,1361,29.6611728,-82.2975558,"4"
120010006002,600,2,891,29.655181,-82.3055062,"4"
120010006003,600,3,2292,29.6493413,-82.2869017,"4"
120010007001,700,1,590,29.6484908,-82.309973,"4"
120010007002,700,2,1342,29.6346275,-82.3142611,"4"
120010007003,700,3,2155,29.6299121,-82.2957804,"4"
120010007004,700,4,2039,29.6192369,-82.269863,"4"
120010008061,806,1,1873,29.6397477,-82.3367396,"4"
120010008062,806,2,1176,29.6389531,-82.3291172,"4"
120010008081,808,1,978,29.6254989,-82.3281464,"4"
120010008082,808,2,1173,29.6333821,-82.3345862,"4"
120010008083,808,3,2272,29.6240285,-82.3351711,"4"
120010008091,809,1,1163,29.630952,-82.3479617,"4"
120010009011,901,1,3173,29.6431195,-82.3538453,"4"
120010009021,902,1,6362,29.646941,-82.3470521,"4"
120010010001,1000,1,833,29.6639238,-82.3456386,"4"
120010010002,1000,2,1290,29.656057,-82.3645355,"4"
