"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
130019501001,950100,1,1133,31.9005251,-82.3871395,"3"
130019501002,950100,2,638,31.852362,-82.1597742,"9"
130019501003,950100,3,1247,31.8787134,-82.2783139,"3"
130019502011,950201,1,999,31.804206,-82.2612383,"9"
130019502012,950201,2,1130,31.8279253,-82.313827,"9"
130019502021,950202,1,1273,31.8224565,-82.3921594,"3"
130019502022,950202,2,886,31.7816376,-82.3313052,"9"
130019503011,950301,1,1512,31.7488093,-82.3538621,"9"
130019503012,950301,2,1578,31.7380268,-82.3315879,"9"
130019503021,950302,1,835,31.7740652,-82.3562779,"9"
130019503022,950302,2,1586,31.7656901,-82.4054879,"9"
130019504001,950400,1,536,31.7505038,-82.2008943,"9"
130019504002,950400,2,945,31.5996835,-82.1841545,"9"
130019505001,950500,1,1140,31.6448713,-82.2838664,"9"
130019505002,950500,2,1427,31.7810163,-82.4872696,"3"
130019505003,950500,3,1579,31.7014234,-82.4080206,"9"
130039601001,960100,1,962,31.3809626,-83.0485319,"4"
130039601002,960100,2,962,31.2702595,-82.9977673,"4"
130039602001,960200,1,1784,31.3587376,-82.8924832,"4"
130039602002,960200,2,1177,31.3229438,-82.8270327,"4"
130039602003,960200,3,1949,31.2627888,-82.883197,"4"
130039603001,960300,1,1452,31.2906602,-82.7163557,"4"
130059701001,970100,1,1272,31.5236088,-82.3250308,"9"
130059701002,970100,2,631,31.575931,-82.3692454,"9"
130059701003,970100,3,1114,31.6279212,-82.4642235,"9"
130059702011,970201,1,1660,31.589706,-82.567394,"4"
130059702012,970201,2,1155,31.575768,-82.4966009,"4"
130059702013,970201,3,1361,31.5410195,-82.4508135,"9"
130059702021,970202,1,1355,31.4544274,-82.4095853,"9"
130059702022,970202,2,574,31.5365482,-82.4693238,"9"
130059702023,970202,3,1125,31.4757378,-82.4745231,"4"
130059702024,970202,4,893,31.5133488,-82.557792,"4"
130079601001,960100,1,1118,31.3869852,-84.3178991,"4"
130079601002,960100,2,818,31.2676414,-84.427397,"4"
130079602001,960200,1,508,31.3687913,-84.5446788,"4"
130079602002,960200,2,432,31.2262991,-84.5330267,"4"
130099701011,970101,1,1446,33.02354,-83.1336551,"1"
130099701012,970101,2,940,33.0414029,-83.0910652,"1"
130099701021,970102,1,1081,33.0928959,-83.1718076,"1"
130099701022,970102,2,725,33.1610106,-83.1973073,"1"
130099701023,970102,3,967,33.1327639,-83.1473331,"1"
130099702011,970201,1,763,33.1091792,-83.2225454,"1"
130099702012,970201,2,1843,33.130927,-83.2175344,"1"
130099702013,970201,3,416,33.0974442,-83.2274234,"1"
130099702014,970201,4,722,33.0963585,-83.2176949,"1"
130099702021,970202,1,811,33.1816379,-83.2724676,"1"
130099702022,970202,2,1147,33.1517324,-83.2386627,"1"
130099702023,970202,3,1203,33.1584792,-83.2645743,"1"
