"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
150010201001,20100,1,1826,19.8333348,-155.1044883,"1"
150010201002,20100,2,1044,19.8424793,-155.2475125,"1"
150010201003,20100,3,1350,19.8228341,-155.1849688,"1"
150010201004,20100,4,1213,19.7914094,-155.095921,"1"
150010202021,20202,1,888,19.6598098,-155.2324728,"1"
150010202022,20202,2,1147,19.7426854,-155.0949444,"1"
150010203001,20300,1,1184,19.7183021,-155.1136422,"1"
150010203002,20300,2,1148,19.7318221,-155.0888547,"1"
150010203003,20300,3,1490,19.7202974,-155.0923136,"1"
150010204001,20400,1,1433,19.7111663,-155.0874715,"1"
150010204002,20400,2,822,19.7122209,-155.0919479,"1"
150010204003,20400,3,1262,19.7232225,-155.079861,"1"
150010205001,20500,1,981,19.7169167,-155.0695156,"1"
150010205002,20500,2,1135,19.7025568,-155.069954,"1"
150010205003,20500,3,2213,19.6991175,-155.0819899,"1"
150010205004,20500,4,1615,19.7083121,-155.0769232,"1"
150010206001,20600,1,788,19.7320906,-155.0485128,"1"
150010206002,20600,2,899,19.6992428,-155.0227335,"1"
150010206003,20600,3,1648,19.7265757,-155.0373155,"1"
150010206004,20600,4,2296,19.6826829,-155.0588747,"1"
150010207011,20701,1,2134,19.6894544,-155.0733181,"1"
150010207012,20701,2,1505,19.678987,-155.0722178,"1"
150010207013,20701,3,1172,19.6885597,-155.0854936,"1"
150010207021,20702,1,1515,19.6771492,-155.1021987,"1"
150010207022,20702,2,1902,19.6789993,-155.0921946,"1"
150010207023,20702,3,1230,19.6769049,-155.0846419,"1"
150010208011,20801,1,1413,19.6866828,-155.1013688,"1"
150010208012,20801,2,1910,19.6971691,-155.147768,"1"
150010208013,20801,3,1042,19.6746915,-155.1495515,"1"
150010208021,20802,1,1050,19.7131629,-155.1162363,"1"
150010208022,20802,2,587,19.7012046,-155.1169514,"1"
150010208023,20802,3,2340,19.7002787,-155.1267853,"1"
150010208024,20802,4,1294,19.7096094,-155.1009092,"1"
150010208025,20802,5,1273,19.6996763,-155.1069733,"1"
150010209001,20900,1,786,19.6583509,-155.0772605,"1"
150010209002,20900,2,1159,19.668915,-155.086579,"1"
150010209003,20900,3,871,19.6540372,-155.1046945,"1"
