"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
190019601001,960100,1,1374,41.4092662,-94.373216,"1"
190019601002,960100,2,613,41.4245463,-94.5763982,"1"
190019601003,960100,3,789,41.4914828,-94.6353394,"1"
190019602001,960200,1,550,41.250817,-94.3298194,"1"
190019602002,960200,2,1061,41.2234428,-94.5780193,"1"
190019603001,960300,1,605,41.3163978,-94.4660992,"1"
190019603002,960300,2,751,41.3252354,-94.4388031,"1"
190019603003,960300,3,761,41.2960922,-94.4501563,"1"
190019603004,960300,4,992,41.2917085,-94.5197603,"1"
190039501001,950100,1,952,41.0751432,-94.7639311,"1"
190039501002,950100,2,635,41.0102442,-94.5593075,"1"
190039502001,950200,1,1104,41.0090591,-94.7687837,"1"
190039502002,950200,2,1013,40.9482672,-94.8079792,"1"
190059601001,960100,1,625,43.2963043,-91.2329837,"3"
190059601002,960100,2,1458,43.3939528,-91.2721422,"3"
190059602001,960200,1,766,43.4782297,-91.3768425,"3"
190059602002,960200,2,1641,43.3642921,-91.5097231,"3"
190059603001,960300,1,660,43.2774496,-91.4623155,"3"
190059603002,960300,2,1501,43.2802123,-91.4965261,"3"
190059603003,960300,3,1828,43.2561921,-91.492424,"3"
190059604001,960400,1,1215,43.162933,-91.362492,"3"
190059604002,960400,2,893,43.1759226,-91.2060209,"3"
190059605001,960500,1,2571,43.1271881,-91.5368623,"3"
190059605002,960500,2,903,43.2146647,-91.4862127,"3"
190079501001,950100,1,862,40.8666966,-92.7218182,"2"
190079501002,950100,2,1706,40.7609372,-92.7362686,"2"
190079502001,950200,1,953,40.8351694,-92.9212929,"2"
190079502002,950200,2,770,40.7711464,-93.0114918,"2"
190079503001,950300,1,1459,40.739308,-92.8530657,"2"
190079503002,950300,2,1516,40.7525699,-92.8843537,"2"
190079504001,950400,1,1542,40.7252013,-92.8729525,"2"
190079504002,950400,2,1345,40.705031,-92.8797963,"2"
190079505001,950500,1,979,40.6710187,-93.0204883,"2"
190079505002,950500,2,1185,40.6417828,-92.7957414,"2"
190090701001,70100,1,919,41.6545259,-94.9169651,"1"
190090701002,70100,2,881,41.7840362,-94.9140003,"1"
190090702001,70200,1,1612,41.7199386,-94.926821,"1"
190090702002,70200,2,636,41.7095293,-94.9353912,"1"
190090703001,70300,1,592,41.6015002,-94.8838577,"1"
190090703002,70300,2,514,41.5657678,-94.959656,"1"
190090703003,70300,3,520,41.5435154,-94.7859315,"1"
190119601001,960100,1,1716,42.2258032,-91.862304,"3"
190119601002,960100,2,1384,42.2328738,-91.9553955,"3"
190119602001,960200,1,1077,42.246912,-92.1666544,"3"
190119602002,960200,2,1087,42.1111391,-92.1801738,"3"
190119602003,960200,3,1020,41.9918291,-92.1224626,"3"
190119603001,960300,1,1392,42.172124,-92.0437842,"3"
190119603002,960300,2,1529,42.1657113,-91.9988358,"3"
190119603003,960300,3,2201,42.1499721,-92.0170103,"3"
190119604001,960400,1,1384,42.150666,-91.8868413,"3"
190119604002,960400,2,1873,42.0824698,-91.9634133,"3"
190119605001,960500,1,2753,41.9927594,-91.8924998,"3"
190119605002,960500,2,1147,41.9935695,-92.0070909,"3"
190119605003,960500,3,1874,41.9053198,-91.8904207,"3"
190119606001,960600,1,1126,41.9071779,-92.0139407,"3"
190119606002,960600,2,652,41.9083121,-92.1664324,"3"
190119606003,960600,3,839,41.9929828,-92.2399925,"3"
190119607001,960700,1,623,41.8767816,-92.25691,"3"
190119607002,960700,2,1898,41.9142473,-92.2741352,"3"
190130001001,100,1,927,42.5048702,-92.3382985,"3"
190130001002,100,2,846,42.4989987,-92.335968,"3"
190130002001,200,1,1238,42.4864521,-92.3479089,"3"
190130002002,200,2,1617,42.4870844,-92.3386652,"3"
190130003001,300,1,1371,42.4918108,-92.3591856,"3"
190130003002,300,2,1486,42.4924364,-92.3485884,"3"
190130004001,400,1,900,42.5054531,-92.3636767,"3"
190130004002,400,2,690,42.5020881,-92.3746182,"3"
190130005001,500,1,625,42.516713,-92.3498849,"3"
190130005002,500,2,952,42.5105066,-92.3520315,"3"
190130007001,700,1,1377,42.4969104,-92.3258594,"3"
190130008001,800,1,780,42.4920764,-92.3214289,"3"
190130008002,800,2,1946,42.4875198,-92.3046268,"3"
190130008003,800,3,887,42.4909932,-92.2734235,"3"
190130009001,900,1,1468,42.4651194,-92.3308844,"3"
190130009002,900,2,916,42.4624328,-92.3135675,"3"
190130010001,1000,1,1232,42.4802718,-92.3337599,"3"
190130010002,1000,2,708,42.4796687,-92.3267812,"3"
190130010003,1000,3,914,42.4729671,-92.3263491,"3"
190130010004,1000,4,878,42.4730195,-92.333697,"3"
190130011001,1100,1,1300,42.4802978,-92.3522241,"3"
190130011002,1100,2,1561,42.4802913,-92.3424167,"3"
190130012001,1200,1,1546,42.4730511,-92.3497149,"3"
190130012002,1200,2,736,42.4729888,-92.3399218,"3"
