"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
160010001011,101,1,360,43.6074008,-116.2018255,"1"
160010001012,101,2,1217,43.6153108,-116.2159151,"1"
160010001021,102,1,1290,43.6224639,-116.2071101,"1"
160010001022,102,2,611,43.6197534,-116.2166748,"1"
160010001023,102,3,615,43.616458,-116.1969606,"1"
160010001024,102,4,745,43.6126794,-116.1994294,"1"
160010002011,201,1,2243,43.6312002,-116.1842139,"1"
160010002012,201,2,1325,43.6314866,-116.1710011,"1"
160010002021,202,1,2129,43.6815927,-116.202564,"1"
160010002022,202,2,1432,43.6767259,-116.2351561,"1"
160010002023,202,3,2791,43.6611462,-116.1809526,"1"
160010003021,302,1,1132,43.6549158,-116.2508165,"1"
160010003022,302,2,873,43.6596922,-116.2440832,"1"
160010003023,302,3,1427,43.651888,-116.2409318,"1"
160010003031,303,1,1365,43.64865,-116.2511745,"1"
160010003032,303,2,866,43.6616133,-116.2738776,"1"
160010003051,305,1,1548,43.6684267,-116.2729981,"1"
160010003052,305,2,1178,43.6759515,-116.2738415,"1"
160010003061,306,1,1642,43.6620128,-116.2534266,"1"
160010003062,306,2,1322,43.6708128,-116.2626738,"1"
160010003063,306,3,1455,43.6625466,-116.2623152,"1"
160010004011,401,1,1192,43.6430266,-116.2474939,"1"
160010004012,401,2,947,43.6455146,-116.2385943,"1"
160010004021,402,1,1161,43.6260312,-116.2198622,"1"
160010004022,402,2,1595,43.6277411,-116.2267509,"1"
160010004023,402,3,881,43.6315306,-116.2335468,"1"
160010005011,501,1,892,43.6454961,-116.2281955,"1"
160010005012,501,2,910,43.6509886,-116.2301952,"1"
160010005013,501,3,1212,43.6389091,-116.2278987,"1"
160010005021,502,1,1726,43.6324671,-116.2176101,"1"
160010005022,502,2,1711,43.6412377,-116.2190155,"1"
160010006011,601,1,1000,43.6297278,-116.2095986,"1"
160010006012,601,2,1341,43.6372504,-116.2101891,"1"
160010006021,602,1,814,43.6257151,-116.2001966,"1"
160010006022,602,2,1068,43.6257501,-116.1954579,"1"
160010006023,602,3,1461,43.6312335,-116.2025768,"1"
160010007011,701,1,1821,43.6077196,-116.1788447,"1"
160010007012,701,2,1899,43.6031345,-116.179265,"1"
160010007013,701,3,1300,43.6128795,-116.180209,"1"
160010007031,703,1,2417,43.5723743,-116.1332037,"1"
160010007041,704,1,1590,43.586351,-116.1366995,"1"
160010007042,704,2,2181,43.6033658,-116.1506907,"1"
160010008031,803,1,919,43.5739873,-116.1659133,"1"
160010008032,803,2,1556,43.5682965,-116.1711434,"1"
160010008033,803,3,992,43.5706399,-116.1586654,"1"
160010008034,803,4,1044,43.5661704,-116.1506024,"1"
160010008051,805,1,1349,43.5788428,-116.1708828,"1"
160010008052,805,2,1109,43.5690168,-116.140818,"1"
160010008053,805,3,856,43.5820939,-116.1622351,"1"
160010008061,806,1,1432,43.5965037,-116.1916152,"1"
160010008062,806,2,1040,43.5957317,-116.1846013,"1"
160010008071,807,1,1365,43.5828736,-116.1758794,"1"
160010008072,807,2,846,43.5881345,-116.1819939,"1"
160010008081,808,1,497,43.5909191,-116.1775594,"1"
160010008082,808,2,1352,43.5926479,-116.1757535,"1"
160010008091,809,1,1845,43.571786,-116.1809628,"1"
160010008092,809,2,733,43.5796604,-116.1810388,"1"
160010008101,810,1,788,43.5816421,-116.188585,"1"
160010008102,810,2,843,43.5867174,-116.1891588,"1"
160010008103,810,3,1515,43.574298,-116.1872909,"1"
160010009011,901,1,1107,43.5926565,-116.2017225,"1"
160010009012,901,2,1102,43.584468,-116.196461,"1"
160010009021,902,1,1412,43.5957344,-116.197517,"1"
160010009022,902,2,3549,43.6029479,-116.1981025,"1"
160010010011,1001,1,1020,43.6080547,-116.2384581,"1"
160010010012,1001,2,1199,43.6147543,-116.2340646,"1"
160010010021,1002,1,2337,43.6082402,-116.2192811,"1"
160010010031,1003,1,2093,43.6014772,-116.2256741,"1"
160010010032,1003,2,864,43.6068177,-116.2272974,"1"
160010011001,1100,1,1195,43.6400933,-116.2628492,"1"
160010011002,1100,2,814,43.6375145,-116.2474575,"1"
160010011003,1100,3,1876,43.6274531,-116.2410766,"1"
160010011004,1100,4,1081,43.651454,-116.2709977,"1"
160010012011,1201,1,1533,43.6301747,-116.2688114,"1"
160010012012,1201,2,832,43.6298394,-116.2590317,"1"
160010012013,1201,3,1098,43.6378437,-116.2688692,"1"
160010012031,1203,1,1325,43.6225349,-116.2681634,"1"
160010012032,1203,2,874,43.622845,-116.2636462,"1"
160010012033,1203,3,1648,43.621676,-116.2528462,"1"
160010012041,1204,1,1416,43.6152275,-116.2700905,"1"
160010012042,1204,2,1477,43.6166147,-116.2648941,"1"
160010012043,1204,3,635,43.6180165,-116.2563557,"1"
160010014011,1401,1,1549,43.6006912,-116.2383815,"1"
160010014012,1401,2,1152,43.6008775,-116.2485266,"1"
160010014021,1402,1,1207,43.5923915,-116.2393056,"1"
160010014022,1402,2,1601,43.5935009,-116.2499624,"1"
160010015001,1500,1,1237,43.5916372,-116.2236511,"1"
160010015002,1500,2,1520,43.5964325,-116.2226179,"1"
160010015003,1500,3,1064,43.5950067,-116.209738,"1"
160010016001,1600,1,1499,43.5827036,-116.2110172,"1"
160010016002,1600,2,1112,43.5738923,-116.2076669,"1"
160010016003,1600,3,1522,43.5811503,-116.2051367,"1"
160010016004,1600,4,509,43.5797287,-116.1993278,"1"
160010017011,1701,1,853,43.58616,-116.2298543,"1"
160010017012,1701,2,1199,43.5844287,-116.2254851,"1"
160010017021,1702,1,1536,43.5780461,-116.2162509,"1"
160010017022,1702,2,1126,43.5823258,-116.2185766,"1"
160010017023,1702,3,1187,43.5868594,-116.2186514,"1"
160010018001,1800,1,1722,43.5770652,-116.2284766,"1"
160010018002,1800,2,1932,43.5838639,-116.24828,"1"
160010018003,1800,3,1140,43.5830614,-116.2378168,"1"
160010019001,1900,1,1809,43.5868327,-116.2603878,"1"
160010019002,1900,2,2150,43.5936569,-116.2655858,"1"
160010019003,1900,3,1335,43.5966434,-116.27923,"1"
160010020001,2000,1,1405,43.6102637,-116.2518752,"1"
160010020002,2000,2,2530,43.6076383,-116.2675558,"1"
160010020003,2000,3,2067,43.6013913,-116.2652813,"1"
160010021001,2100,1,941,43.5436992,-116.2236875,"1"
160010021002,2100,2,1129,43.5575363,-116.2666378,"1"
160010022231,2223,1,1480,43.5833528,-116.3214758,"1"
160010022232,2223,2,2162,43.5835175,-116.329831,"1"
160010022233,2223,3,1346,43.593027,-116.3246199,"1"
160010022251,2225,1,895,43.5505474,-116.3324053,"1"
160010022252,2225,2,1452,43.5505894,-116.3191483,"1"
160010022253,2225,3,1323,43.5575084,-116.3242859,"1"
160010022261,2226,1,1118,43.5559338,-116.3054954,"1"
160010022262,2226,2,1789,43.5516922,-116.3039108,"1"
160010022271,2227,1,1712,43.5691127,-116.3296457,"1"
160010022272,2227,2,1171,43.5685274,-116.320014,"1"
160010022281,2228,1,1177,43.5630359,-116.2821649,"1"
160010022282,2228,2,1772,43.557647,-116.2823098,"1"
160010022291,2229,1,1330,43.5671837,-116.308431,"1"
160010022292,2229,2,1370,43.5670535,-116.2889197,"1"
160010022293,2229,3,1275,43.5694529,-116.2989608,"1"
160010022301,2230,1,1579,43.5793317,-116.3041194,"1"
160010022302,2230,2,2114,43.5851515,-116.3041685,"1"
160010022311,2231,1,914,43.5933845,-116.2995582,"1"
160010022312,2231,2,607,43.5921118,-116.3091856,"1"
160010022313,2231,3,1173,43.5822758,-116.2833005,"1"
160010023131,2313,1,1503,43.6010219,-116.3039632,"1"
160010023132,2313,2,1195,43.6123448,-116.3010667,"1"
160010023133,2313,3,1735,43.6118453,-116.3067263,"1"
160010023141,2314,1,1305,43.6174862,-116.3192186,"2"
160010023142,2314,2,1096,43.6143097,-116.317801,"1"
160010023143,2314,3,977,43.6004999,-116.3293474,"2"
160010023144,2314,4,1260,43.6011279,-116.3192614,"1"
160010023145,2314,5,847,43.6103801,-116.325971,"2"
160010023151,2315,1,1579,43.624301,-116.3270614,"2"
160010023152,2315,2,1796,43.6318012,-116.3276369,"2"
160010023153,2315,3,870,43.6237538,-116.3174892,"2"
160010023154,2315,4,1315,43.6288276,-116.3187433,"2"
160010023161,2316,1,1042,43.6293298,-116.3003321,"1"
160010023162,2316,2,1614,43.6232799,-116.3003532,"1"
160010023171,2317,1,1946,43.6221945,-116.3067641,"1"
160010023172,2317,2,1043,43.6301003,-116.3069788,"1"
160010023181,2318,1,1263,43.6295306,-116.2881754,"1"
160010023182,2318,2,1613,43.6302894,-116.2791952,"1"
160010023183,2318,3,1104,43.6230388,-116.2892623,"1"
160010023184,2318,4,807,43.6230452,-116.2792459,"1"
160010023191,2319,1,1938,43.6157471,-116.2868766,"1"
160010023192,2319,2,1133,43.6006844,-116.2910297,"1"
160010023193,2319,3,1447,43.61076,-116.2830112,"1"
160010024121,2412,1,1274,43.6558786,-116.2866943,"1"
160010024122,2412,2,758,43.667809,-116.333939,"2"
160010024123,2412,3,1943,43.6611761,-116.2932524,"2"
160010024141,2414,1,1187,43.6377031,-116.3092891,"2"
160010024142,2414,2,1571,43.637554,-116.299277,"1"
160010024151,2415,1,1115,43.6447463,-116.3101055,"2"
160010024152,2415,2,1463,43.6448372,-116.299232,"2"
160010024161,2416,1,1755,43.637555,-116.3193218,"2"
