"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
170010001001,100,1,1135,39.9540563,-91.354065,"13"
170010001002,100,2,745,39.9445861,-91.3628886,"13"
170010001003,100,3,920,39.945196,-91.3726445,"13"
170010001004,100,4,905,39.937572,-91.3685305,"13"
170010001005,100,5,939,39.941641,-91.3415302,"13"
170010002011,201,1,1192,39.9577091,-91.3869104,"13"
170010002012,201,2,875,39.948528,-91.3856466,"13"
170010002021,202,1,1143,39.939178,-91.3823823,"13"
170010002022,202,2,1201,39.9441938,-91.3856579,"13"
170010002023,202,3,526,39.9392721,-91.3903947,"13"
170010004001,400,1,1028,39.9573668,-91.4091716,"13"
170010004002,400,2,1267,39.9465786,-91.4081813,"13"
170010004003,400,3,1083,39.9400766,-91.4108026,"13"
170010004004,400,4,415,39.9536404,-91.402282,"13"
170010005001,500,1,1073,39.9467318,-91.3985398,"13"
170010005002,500,2,646,39.9398502,-91.3985484,"13"
170010006001,600,1,896,39.930742,-91.3727199,"13"
170010006002,600,2,759,39.9342532,-91.3823707,"13"
170010006003,600,3,669,39.9343379,-91.3918396,"13"
170010006004,600,4,613,39.9291094,-91.3917506,"13"
170010006005,600,5,653,39.929021,-91.3823067,"13"
170010007001,700,1,385,39.9329908,-91.3999576,"13"
170010007002,700,2,858,39.9326168,-91.4108846,"13"
170010008001,800,1,790,39.9251944,-91.4058823,"13"
170010008002,800,2,801,39.9184129,-91.4136899,"13"
170010008003,800,3,864,39.9174209,-91.4058983,"13"
170010009001,900,1,1155,39.9251486,-91.3998601,"13"
170010009002,900,2,1417,39.9113961,-91.3995452,"13"
170010010011,1001,1,1124,39.922901,-91.3822757,"13"
170010010012,1001,2,1177,39.9236564,-91.3917219,"13"
170010010013,1001,3,944,39.916551,-91.3822892,"13"
170010010021,1002,1,1073,39.917276,-91.3917144,"13"
170010010022,1002,2,2036,39.9066103,-91.3865366,"13"
170010011001,1100,1,1127,39.9304291,-91.3488137,"13"
170010011002,1100,2,2667,39.9226842,-91.3667111,"13"
170010011003,1100,3,2312,39.9050429,-91.359205,"13"
170010011004,1100,4,1909,39.9188944,-91.3489725,"13"
170010101001,10100,1,953,40.0898339,-91.2885996,"13"
170010101002,10100,2,1202,40.1418446,-91.2545364,"13"
170010101003,10100,3,1166,40.1140413,-91.4364945,"13"
170010101004,10100,4,1082,40.0393524,-91.2405609,"13"
170010102001,10200,1,748,40.1132236,-90.980366,"13"
170010102002,10200,2,900,40.1149367,-91.1021379,"13"
170010102003,10200,3,1284,40.0467553,-91.0579311,"13"
170010102004,10200,4,702,40.0293879,-90.9544009,"13"
170010103011,10301,1,784,39.8917093,-90.9776438,"13"
170010103012,10301,2,1081,39.955882,-91.0887491,"13"
170010103013,10301,3,935,39.8659839,-91.0794362,"13"
170010103021,10302,1,968,39.8864204,-91.2090985,"13"
170010103022,10302,2,985,39.793423,-91.1338248,"6"
170010103023,10302,3,1109,39.8201264,-91.2368514,"13"
170010104001,10400,1,1560,39.9622815,-91.3251157,"13"
170010104002,10400,2,901,39.9829071,-91.3049081,"13"
170010104003,10400,3,1144,39.9787802,-91.1942346,"13"
170010105001,10500,1,2022,39.9736327,-91.3872634,"13"
170010105002,10500,2,1047,39.998434,-91.432748,"13"
170010106001,10600,1,1744,39.9098566,-91.3229773,"13"
170010106002,10600,2,1276,39.8737833,-91.2909703,"13"
170010106003,10600,3,1588,39.8910199,-91.3694812,"13"
170010106004,10600,4,1234,39.8199283,-91.3472813,"13"
170039576001,957600,1,591,37.2439759,-89.2840539,"4"
170039576002,957600,2,630,37.2930028,-89.3317485,"4"
170039576003,957600,3,599,37.3012834,-89.4612208,"4"
170039577001,957700,1,396,37.1983485,-89.4307199,"4"
170039577002,957700,2,1095,37.1267038,-89.3358748,"4"
170039578001,957800,1,638,37.059207,-89.2152278,"4"
170039578002,957800,2,392,37.0144888,-89.180985,"4"
170039579001,957900,1,560,36.9879616,-89.1636803,"4"
170039579002,957900,2,339,37.0022384,-89.1837192,"4"
170059512001,951200,1,989,38.9788393,-89.3566488,"4"
170059512002,951200,2,1235,38.9227688,-89.39462,"4"
170059512003,951200,3,700,38.9200366,-89.2892336,"4"
170059513001,951300,1,1517,38.8994597,-89.4006082,"4"
170059513002,951300,2,928,38.8930921,-89.4023776,"4"
170059513003,951300,3,1285,38.8916817,-89.4096355,"4"
170059513004,951300,4,722,38.888324,-89.4170198,"4"
170059513005,951300,5,2431,38.8828125,-89.3835543,"4"
170059514001,951400,1,1205,38.9906609,-89.5476214,"4"
170059514002,951400,2,947,38.8569856,-89.5142001,"4"
170059514003,951400,3,766,38.9417037,-89.5490246,"4"
170059515001,951500,1,799,38.8212236,-89.5322614,"4"
170059515002,951500,2,1378,38.7852466,-89.5468231,"4"
170059515003,951500,3,1199,38.814733,-89.3862901,"4"
170059515004,951500,4,624,38.7920159,-89.3166172,"4"
170070101011,10101,1,2476,42.2716193,-88.838218,"16"
170070101012,10101,2,1920,42.2664461,-88.8559941,"16"
170070101021,10102,1,1411,42.2689923,-88.8704482,"16"
170070101022,10102,2,1453,42.2612327,-88.8533843,"16"
170070101023,10102,3,892,42.2579028,-88.850358,"16"
170070102001,10200,1,1682,42.2575431,-88.8287198,"16"
170070102002,10200,2,1564,42.25638,-88.8395536,"16"
170070102003,10200,3,2394,42.2420221,-88.8305556,"16"
170070103001,10300,1,1172,42.2509419,-88.8429714,"16"
170070103002,10300,2,828,42.2503118,-88.8537627,"16"
170070103003,10300,3,2772,42.2439824,-88.8502178,"16"
170070103004,10300,4,1902,42.2384676,-88.8508681,"16"
170070104001,10400,1,1875,42.2291345,-88.8903698,"16"
170070104002,10400,2,952,42.1865091,-88.8484303,"16"
170070104003,10400,3,1094,42.2070141,-88.7407254,"16"
