"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
180010301001,30100,1,996,40.8648588,-85.0417406,"6"
180010301002,30100,2,1107,40.8979262,-84.9485472,"6"
180010301003,30100,3,995,40.8799983,-84.8469036,"6"
180010301004,30100,4,1491,40.8541655,-84.9097662,"6"
180010302001,30200,1,1610,40.8467597,-84.9646769,"6"
180010302002,30200,2,1059,40.8333342,-84.9440428,"6"
180010302003,30200,3,1339,40.8215859,-84.932218,"6"
180010302004,30200,4,1095,40.8081204,-84.9467519,"6"
180010303001,30300,1,1617,40.8394512,-84.918964,"6"
180010303002,30300,2,709,40.8363505,-84.929368,"6"
180010303003,30300,3,589,40.830985,-84.925866,"6"
180010303004,30300,4,713,40.8246247,-84.9210179,"6"
180010303005,30300,5,884,40.8008903,-84.9208385,"6"
180010303006,30300,6,734,40.8081106,-84.8954253,"6"
180010304001,30400,1,951,40.787607,-85.0335207,"6"
180010304002,30400,2,1338,40.7812075,-84.9468488,"6"
180010304003,30400,3,1385,40.7986913,-84.8379368,"6"
180010305001,30500,1,1123,40.7440161,-84.9349927,"6"
180010305002,30500,2,2025,40.7029463,-84.850286,"6"
180010305003,30500,3,1853,40.6983373,-84.9331585,"6"
180010305004,30500,4,1717,40.7073083,-85.0227128,"6"
180010306001,30600,1,954,40.6619376,-84.9627107,"6"
180010306002,30600,2,636,40.6656966,-84.9451095,"6"
180010306003,30600,3,777,40.6504199,-84.9447642,"6"
180010306004,30600,4,1045,40.6533132,-84.9610937,"6"
180010307001,30700,1,1114,40.6089849,-85.0276867,"6"
180010307002,30700,2,2330,40.6291842,-84.9409201,"6"
180010307003,30700,3,1034,40.6005072,-84.9589337,"6"
180010307004,30700,4,476,40.5770434,-84.9470939,"6"
180010307005,30700,5,2113,40.6085726,-84.853864,"6"
180030001001,100,1,1330,41.1047671,-85.1258933,"6"
180030001002,100,2,1077,41.1006202,-85.1254767,"6"
180030003001,300,1,725,41.0951734,-85.1175738,"6"
180030003002,300,2,1673,41.0915202,-85.1200993,"6"
180030003003,300,3,998,41.0948598,-85.1288436,"6"
180030004001,400,1,1228,41.0850194,-85.1275111,"6"
180030004002,400,2,729,41.0879543,-85.1190282,"6"
180030004003,400,3,602,41.0852776,-85.0999185,"6"
180030005001,500,1,1346,41.1019045,-85.1396352,"6"
180030005002,500,2,1507,41.0900674,-85.1355528,"6"
180030006001,600,1,910,41.0855685,-85.1468594,"6"
180030006002,600,2,975,41.0846419,-85.1534024,"6"
180030007011,701,1,1057,41.0995036,-85.1492341,"6"
180030007012,701,2,889,41.0919272,-85.1446021,"6"
180030007013,701,3,1206,41.0924963,-85.1510335,"6"
180030007041,704,1,1142,41.1096009,-85.1707966,"6"
180030007042,704,2,1290,41.1103622,-85.1612305,"6"
180030008001,800,1,711,41.1003629,-85.1585904,"6"
180030008002,800,2,850,41.0924053,-85.1560999,"6"
