"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
200019526001,952600,1,1791,37.8701999,-95.197265,"2"
200019527001,952700,1,1052,37.9900316,-95.3779155,"1"
200019527002,952700,2,957,37.9047783,-95.3432429,"2"
200019528001,952800,1,1179,37.9403479,-95.4205157,"1"
200019528002,952800,2,1541,37.9436251,-95.3851134,"1"
200019528003,952800,3,1093,37.9254604,-95.3984909,"1"
200019529001,952900,1,1001,37.9153491,-95.4153342,"1"
200019529002,952900,2,591,37.9196268,-95.3938351,"1"
200019529003,952900,3,638,37.8887615,-95.3976184,"1"
200019530001,953000,1,743,37.8374004,-95.4535716,"1"
200019530002,953000,2,675,37.822879,-95.4318082,"1"
200019530003,953000,3,582,37.8107387,-95.4374747,"1"
200019530004,953000,4,683,37.7968791,-95.4314009,"1"
200039536001,953600,1,1831,38.3273219,-95.1930761,"1"
200039536002,953600,2,686,38.2861925,-95.2551005,"1"
200039536003,953600,3,721,38.2756021,-95.2560641,"1"
200039536004,953600,4,1713,38.2785068,-95.2332425,"1"
200039537001,953700,1,1086,38.2827981,-95.4060568,"1"
200039537002,953700,2,935,38.1000108,-95.3604945,"1"
200039537003,953700,3,864,38.1624214,-95.1754742,"2"
200050816001,81600,1,924,39.5584689,-95.4894559,"1"
200050816002,81600,2,773,39.5004812,-95.4311278,"1"
200050816003,81600,3,600,39.61282,-95.2419538,"1"
200050816004,81600,4,972,39.4460105,-95.1325184,"1"
200050816005,81600,5,948,39.4970199,-95.3051297,"1"
200050817011,81701,1,1823,39.5834096,-95.1762422,"1"
200050817012,81701,2,1052,39.5792668,-95.1326803,"1"
200050817013,81701,3,911,39.5673933,-95.1379322,"1"
200050817021,81702,1,2602,39.6063763,-95.0880742,"1"
200050818001,81800,1,768,39.5407793,-95.1673882,"1"
200050818002,81800,2,783,39.5219735,-95.1097672,"1"
200050818003,81800,3,1154,39.5475758,-95.1171145,"1"
200050819001,81900,1,998,39.561688,-95.1261141,"1"
200050819002,81900,2,755,39.5696609,-95.1260127,"1"
200050819003,81900,3,577,39.5658843,-95.1255613,"1"
200050819004,81900,4,708,39.5679745,-95.1177714,"1"
200079681001,968100,1,891,37.3173775,-98.5712735,"3"
200079681002,968100,2,1046,37.2680906,-98.5853523,"3"
200079681003,968100,3,787,37.3727057,-98.689174,"3"
200079682001,968200,1,834,37.1302095,-98.7902441,"3"
200079682002,968200,2,670,37.13272,-98.4571034,"3"
200099711001,971100,1,1633,38.4999967,-98.5999106,"3"
200099711002,971100,2,1001,38.3573898,-98.5628603,"3"
200099711003,971100,3,1082,38.3632286,-98.5922049,"3"
200099712001,971200,1,755,38.5860673,-98.8920473,"3"
200099712002,971200,2,757,38.351508,-98.9528187,"3"
200099713001,971300,1,1421,38.4997497,-98.8037337,"3"
200099713002,971300,2,1666,38.5023013,-98.763233,"3"
200099714001,971400,1,1171,38.3835601,-98.7652444,"3"
200099714002,971400,2,1276,38.3723348,-98.7645031,"3"
200099715001,971500,1,1241,38.3857859,-98.8017633,"3"
200099715002,971500,2,1045,38.3701269,-98.7995733,"3"
200099715003,971500,3,1057,38.3572826,-98.8044351,"3"
200099716001,971600,1,890,38.3735236,-98.7790264,"3"
200099716002,971600,2,814,38.3734568,-98.7882286,"3"
200099716003,971600,3,1231,38.3680652,-98.7829466,"3"
200099716004,971600,4,992,38.3593162,-98.7876965,"3"
200099717001,971700,1,1399,38.3628322,-98.7606305,"3"
200099717002,971700,2,1266,38.3619645,-98.7698031,"3"
200099718011,971801,1,1080,38.4003335,-98.7330837,"3"
200099718012,971801,2,791,38.2971712,-98.7653435,"3"
200099718013,971801,3,1251,38.3585426,-98.7481389,"3"
200099718014,971801,4,1674,38.3799357,-98.8398529,"3"
200119556001,955600,1,819,37.9420711,-94.9790522,"2"
200119556002,955600,2,942,37.9714852,-94.6848731,"2"
200119556003,955600,3,886,37.9645842,-94.8273489,"2"
200119557001,955700,1,1240,37.8124665,-94.9378105,"2"
200119557002,955700,2,965,37.7272155,-94.8398347,"2"
200119558001,955800,1,1793,37.8265289,-94.7443324,"2"
200119558002,955800,2,879,37.836081,-94.7138399,"2"
200119558003,955800,3,861,37.822006,-94.7108321,"2"
200119559001,955900,1,1042,37.8382695,-94.6821632,"2"
200119559002,955900,2,1182,37.8135338,-94.677071,"2"
200119559003,955900,3,1100,37.817078,-94.6526401,"2"
200119560001,956000,1,643,37.8413678,-94.7078816,"2"
200119560002,956000,2,1022,37.8334397,-94.7001481,"2"
200119560003,956000,3,986,37.8286222,-94.7064909,"2"
200134806001,480600,1,1047,39.9077668,-95.7243876,"1"
200134806002,480600,2,923,39.7365351,-95.6989135,"1"
