"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
210019701001,970100,1,822,37.2582407,-85.2036369,"4"
210019701002,970100,2,799,37.2255299,-85.1284199,"1"
210019702001,970200,1,1755,37.1723486,-85.3378147,"4"
210019703001,970300,1,834,37.1658822,-85.1602954,"4"
210019703002,970300,2,1297,37.1197536,-85.1772104,"4"
210019703003,970300,3,874,37.0690558,-85.1722617,"4"
210019704011,970401,1,1536,37.0629983,-85.3130013,"4"
210019704012,970401,2,1092,37.0932295,-85.3207995,"4"
210019704013,970401,3,1718,37.1003266,-85.3515673,"4"
210019704021,970402,1,1968,37.1209726,-85.2540102,"4"
210019704022,970402,2,1666,37.0991197,-85.2953367,"4"
210019704023,970402,3,901,37.1327116,-85.3146066,"4"
210019705001,970500,1,1201,37.0866271,-85.4515528,"4"
210019705002,970500,2,1133,36.9898396,-85.3885695,"4"
210019706001,970600,1,1307,37.0014658,-85.2620308,"4"
210039201001,920100,1,1211,36.8529673,-86.2149583,"4"
210039201002,920100,2,840,36.859804,-86.1292691,"4"
210039201003,920100,3,1244,36.8271889,-86.092757,"4"
210039202001,920200,1,1274,36.8030368,-86.2802459,"4"
210039202002,920200,2,1594,36.7593479,-86.3675811,"4"
210039203001,920300,1,1716,36.7778781,-86.2197921,"4"
210039203002,920300,2,1846,36.7323053,-86.2316768,"4"
210039203003,920300,3,820,36.7555102,-86.1945725,"4"
210039203004,920300,4,719,36.7620883,-86.1904992,"4"
210039204001,920400,1,1977,36.7095395,-86.1629495,"4"
210039204002,920400,2,1128,36.7561572,-86.0851736,"4"
210039204003,920400,3,933,36.7505816,-86.1536067,"4"
210039204004,920400,4,525,36.7428793,-86.1860369,"4"
210039205001,920500,1,1413,36.6889435,-86.0468268,"4"
210039206001,920600,1,1561,36.6799164,-86.3243982,"4"
210039206002,920600,2,1787,36.6721466,-86.2384472,"4"
210059501011,950101,1,941,38.0801686,-84.9209412,"6"
210059501012,950101,2,1046,38.0513832,-84.9382337,"1"
210059501021,950102,1,2477,38.0729832,-84.8722253,"6"
210059501022,950102,2,1224,38.0588107,-84.9121036,"6"
210059501023,950102,3,2403,38.0601883,-84.8406765,"1"
210059501024,950102,4,884,38.0401695,-84.8710725,"1"
210059502011,950201,1,1423,38.0138979,-84.9447114,"1"
210059502012,950201,2,1427,38.0269283,-84.8936492,"1"
210059502013,950201,3,1876,38.0295658,-84.9052074,"1"
210059502014,950201,4,955,38.0193642,-84.9020971,"1"
210059502021,950202,1,1424,37.9885514,-84.8648294,"1"
210059502022,950202,2,1862,38.0036512,-84.8831533,"1"
210059502023,950202,3,680,37.9519306,-84.8936799,"1"
210059503001,950300,1,2382,38.053993,-85.0315435,"6"
210059504001,950400,1,1698,37.9498868,-84.9868155,"1"
210059504002,950400,2,1150,37.9448291,-85.1066135,"1"
210079501001,950100,1,577,37.1691199,-88.9959637,"3"
210079501002,950100,2,1018,37.0713392,-88.9667755,"3"
210079501003,950100,3,1531,37.1081582,-88.9181417,"3"
210079501004,950100,4,849,37.0286682,-88.9248393,"3"
210079502001,950200,1,1420,37.1062685,-89.0872288,"3"
210079503001,950300,1,757,36.9727251,-88.9027201,"3"
210079503002,950300,2,749,36.9593086,-89.0339852,"3"
210079503003,950300,3,827,37.0001549,-89.087936,"3"
210099501001,950100,1,1022,37.1208809,-85.8247736,"4"
210099501002,950100,2,677,37.0769575,-85.8480688,"4"
210099501003,950100,3,1891,37.0789021,-85.8979603,"4"
210099502001,950200,1,879,37.1387851,-85.9342258,"4"
210099502002,950200,2,1418,37.1021652,-85.9554184,"4"
210099502003,950200,3,1240,37.1404435,-86.0178495,"4"
210099503001,950300,1,847,37.1082947,-86.016334,"4"
210099503002,950300,2,1371,37.0457369,-86.0350218,"4"
210099503003,950300,3,1289,37.0680759,-85.974015,"4"
210099504011,950401,1,1985,36.984242,-85.9420585,"4"
210099504012,950401,2,652,37.0006252,-85.9609492,"4"
210099504021,950402,1,710,36.9879041,-85.9046046,"4"
210099504022,950402,2,716,36.9789356,-85.9151401,"4"
210099504023,950402,3,727,36.9931201,-85.917987,"4"
210099504024,950402,4,631,36.9955155,-85.9260393,"4"
210099504025,950402,5,828,36.9841351,-85.9266097,"4"
210099505001,950500,1,1366,37.0252422,-85.9220592,"4"
210099505002,950500,2,1965,37.0080878,-85.9140817,"4"
210099505003,950500,3,702,37.0176527,-85.9564671,"4"
