"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
220019601011,960101,1,463,30.4007419,-92.2013605,"1"
220019601012,960101,2,361,30.405758,-92.2222825,"1"
220019601013,960101,3,853,30.3967904,-92.2152115,"1"
220019601014,960101,4,397,30.4020701,-92.1879571,"1"
220019601015,960101,5,542,30.3849942,-92.2199617,"1"
220019601016,960101,6,326,30.4007049,-92.2398044,"1"
220019601017,960101,7,463,30.4001337,-92.2096433,"1"
220019601021,960102,1,585,30.4250786,-92.1968071,"1"
220019601022,960102,2,592,30.4137272,-92.247346,"1"
220019601023,960102,3,621,30.4275322,-92.2388376,"1"
220019601024,960102,4,633,30.4237072,-92.2174957,"1"
220019602011,960201,1,262,30.3903364,-92.3653332,"1"
220019602012,960201,2,546,30.3927499,-92.3027519,"1"
220019602013,960201,3,783,30.438423,-92.3043922,"1"
220019602014,960201,4,495,30.4625325,-92.2804403,"1"
220019602015,960201,5,573,30.4489691,-92.3944803,"1"
220019602016,960201,6,672,30.4541648,-92.3552402,"1"
220019602021,960202,1,529,30.4306549,-92.5022738,"1"
220019602022,960202,2,634,30.4477731,-92.4363018,"1"
220019602023,960202,3,748,30.3858887,-92.479349,"1"
220019602024,960202,4,591,30.4353726,-92.4656786,"1"
220019603001,960300,1,640,30.4279157,-92.5422138,"1"
220019603002,960300,2,393,30.2320075,-92.5877589,"1"
220019603003,960300,3,589,30.3029984,-92.5659769,"1"
220019603004,960300,4,707,30.3365437,-92.604684,"1"
220019603005,960300,5,545,30.4347357,-92.5948734,"1"
220019603006,960300,6,647,30.2603581,-92.612857,"1"
220019604011,960401,1,410,30.3440086,-92.3637557,"1"
220019604012,960401,2,441,30.2927206,-92.4025407,"1"
220019604013,960401,3,458,30.2821237,-92.3541906,"1"
220019604014,960401,4,387,30.3210322,-92.3317129,"1"
220019604015,960401,5,550,30.2907134,-92.379407,"1"
220019604021,960402,1,706,30.3121423,-92.4812387,"1"
220019604022,960402,2,621,30.3343548,-92.4631137,"1"
220019604023,960402,3,806,30.3289911,-92.4973522,"1"
220019604031,960403,1,1022,30.2726783,-92.5213373,"1"
220019604032,960403,2,786,30.2825466,-92.4397952,"1"
220019604033,960403,3,466,30.2234827,-92.4763829,"1"
220019605011,960501,1,544,30.2857303,-92.160306,"1"
220019605012,960501,2,708,30.2835115,-92.1825256,"1"
220019605013,960501,3,587,30.2860958,-92.2018648,"1"
220019605014,960501,4,688,30.2793339,-92.232762,"1"
220019605015,960501,5,339,30.3044249,-92.1672412,"1"
220019605021,960502,1,700,30.3629618,-92.2249903,"1"
220019605022,960502,2,400,30.3788364,-92.267339,"1"
220019605023,960502,3,442,30.3177713,-92.1584565,"1"
220019605024,960502,4,483,30.3513044,-92.1839493,"1"
220019605031,960503,1,570,30.3125521,-92.2810682,"1"
220019605032,960503,2,480,30.3357855,-92.2335317,"1"
220019605033,960503,3,221,30.2831133,-92.3100996,"1"
220019606011,960601,1,223,30.257101,-92.2572972,"1"
220019606012,960601,2,334,30.226724,-92.236597,"1"
220019606013,960601,3,352,30.2516921,-92.1933348,"1"
220019606014,960601,4,751,30.2460538,-92.2279031,"1"
220019606021,960602,1,674,30.2471353,-92.2637092,"1"
220019606022,960602,2,794,30.2389269,-92.2639296,"1"
220019606023,960602,3,581,30.2325819,-92.2633043,"1"
220019606024,960602,4,824,30.2389387,-92.2536851,"1"
220019606025,960602,5,676,30.226735,-92.263697,"1"
220019606026,960602,6,444,30.2199076,-92.2636067,"1"
220019607001,960700,1,345,30.2392022,-92.295488,"1"
220019607002,960700,2,738,30.2392509,-92.2737697,"1"
220019607003,960700,3,693,30.2315732,-92.2722085,"1"
220019607004,960700,4,565,30.2206314,-92.2833749,"1"
220019607005,960700,5,344,30.2566742,-92.3042494,"1"
220019607006,960700,6,542,30.2469345,-92.2811174,"1"
220019607007,960700,7,501,30.2239772,-92.2720259,"1"
220019608011,960801,1,530,30.2250777,-92.3483485,"1"
220019608012,960801,2,727,30.2216807,-92.3730019,"1"
220019608013,960801,3,395,30.2264753,-92.3784426,"1"
220019608014,960801,4,391,30.2134454,-92.3684765,"1"
220019608015,960801,5,529,30.2222948,-92.3655915,"1"
220019608016,960801,6,358,30.2179249,-92.3708767,"1"
220019608017,960801,7,663,30.2278147,-92.3699944,"1"
220019608021,960802,1,270,30.2401163,-92.3921273,"1"
220019608022,960802,2,658,30.2467652,-92.3702707,"1"
220019608023,960802,3,416,30.246326,-92.333822,"1"
220019609011,960901,1,689,30.2225107,-92.3904617,"1"
220019609012,960901,2,494,30.2112096,-92.3871225,"1"
220019609013,960901,3,691,30.2152464,-92.3883114,"1"
220019609014,960901,4,444,30.2146184,-92.3785818,"1"
220019609015,960901,5,373,30.2184529,-92.3806845,"1"
220019609016,960901,6,498,30.2302023,-92.3896884,"1"
220019609021,960902,1,820,30.2100385,-92.3953036,"1"
220019609022,960902,2,363,30.2031178,-92.4211209,"1"
