"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
250010101001,10100,1,992,42.0598291,-70.2004073,"2"
250010101002,10100,2,637,42.0620693,-70.1629235,"2"
250010101003,10100,3,642,42.0581234,-70.1828958,"2"
250010101004,10100,4,729,42.0533919,-70.18743,"2"
250010101005,10100,5,664,42.0485956,-70.1901156,"2"
250010102061,10206,1,926,41.905049,-69.9855403,"2"
250010102062,10206,2,1113,41.9319932,-70.0533974,"2"
250010102063,10206,3,1527,41.937135,-70.0118245,"2"
250010102081,10208,1,892,42.018542,-70.0660895,"2"
250010102082,10208,2,768,42.0495342,-70.0949865,"2"
250010102083,10208,3,794,41.9853872,-70.0377394,"2"
250010103041,10304,1,1153,41.8092256,-69.9849003,"2"
250010103042,10304,2,889,41.8368944,-69.9916947,"2"
250010103043,10304,3,630,41.8297155,-69.9518202,"2"
250010103061,10306,1,1115,41.8585731,-69.9937276,"2"
250010103062,10306,2,1125,41.8485954,-69.9766217,"2"
250010103063,10306,3,840,41.8701852,-69.9805039,"2"
250010104001,10400,1,825,41.7945491,-70.0076696,"2"
250010104002,10400,2,872,41.7847595,-69.9961537,"2"
250010104003,10400,3,669,41.7642545,-69.992834,"2"
250010104004,10400,4,979,41.7419779,-69.9763272,"2"
250010105001,10500,1,1217,41.7978653,-69.9628042,"2"
250010105002,10500,2,877,41.7662035,-69.941451,"2"
250010105003,10500,3,868,41.7726014,-69.9721952,"2"
250010106001,10600,1,632,41.6988397,-69.951491,"2"
250010106002,10600,2,834,41.7026087,-69.9971923,"2"
250010106003,10600,3,1180,41.6965395,-69.978322,"2"
250010106004,10600,4,488,41.6916098,-69.9526968,"2"
250010107001,10700,1,968,41.6908596,-69.9976182,"2"
250010107002,10700,2,1000,41.6185172,-69.9812765,"2"
250010107003,10700,3,896,41.6764397,-70.0096242,"2"
250010107004,10700,4,596,41.6853034,-70.0267893,"2"
250010108001,10800,1,944,41.7410087,-70.1277803,"2"
250010108002,10800,2,503,41.7643279,-70.0898751,"2"
250010108003,10800,3,805,41.7641522,-70.0654754,"2"
250010108004,10800,4,706,41.7549638,-70.0989361,"2"
250010108005,10800,5,1961,41.7299676,-70.1041577,"2"
250010109001,10900,1,1863,41.763091,-70.0230106,"2"
250010109002,10900,2,1152,41.7413989,-70.0100248,"2"
250010109003,10900,3,1550,41.7368028,-70.0628148,"2"
250010109004,10900,4,834,41.7569217,-70.0497614,"2"
250010110021,11002,1,733,41.6823994,-70.0899751,"2"
250010110022,11002,2,969,41.6747831,-70.1149042,"2"
250010110023,11002,3,596,41.6634516,-70.100183,"2"
250010110024,11002,4,2306,41.7034499,-70.0948106,"2"
250010111001,11100,1,986,41.714422,-70.0018773,"2"
250010111002,11100,2,1202,41.7167667,-70.0244285,"2"
250010111003,11100,3,1705,41.7110833,-70.0576107,"2"
250010111004,11100,4,1182,41.6960982,-70.0598905,"2"
250010112001,11200,1,1292,41.6744616,-70.0541686,"2"
250010112002,11200,2,1193,41.6917888,-70.0419719,"2"
250010112003,11200,3,565,41.6763178,-70.075616,"2"
250010112004,11200,4,711,41.6687178,-70.0790494,"2"
250010113001,11300,1,620,41.7344563,-70.2089548,"2"
250010113002,11300,2,1206,41.7263835,-70.1894829,"2"
250010113003,11300,3,743,41.7460049,-70.1881908,"2"
250010114001,11400,1,784,41.7329758,-70.1527866,"2"
250010114002,11400,2,995,41.7352516,-70.1659011,"2"
250010114003,11400,3,439,41.7539512,-70.1553929,"2"
250010114004,11400,4,834,41.7159319,-70.1489301,"2"
250010115001,11500,1,712,41.7139854,-70.1743772,"2"
250010115002,11500,2,983,41.7063087,-70.1618557,"2"
250010115003,11500,3,680,41.7010696,-70.1709515,"2"
250010115004,11500,4,939,41.695155,-70.1398819,"2"
250010115005,11500,5,818,41.6809227,-70.1426257,"2"
250010116001,11600,1,1630,41.6763235,-70.1295035,"2"
250010116002,11600,2,689,41.6637873,-70.1363983,"2"
250010116003,11600,3,684,41.656112,-70.139101,"2"
250010117001,11700,1,630,41.6746285,-70.1597079,"2"
250010117002,11700,2,520,41.6521504,-70.1831959,"2"
250010117003,11700,3,768,41.6618665,-70.1605255,"2"
250010118011,11801,1,1472,41.7148509,-70.2116987,"2"
250010118012,11801,2,971,41.7147036,-70.237039,"2"
