"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
230010101001,10100,1,1791,44.0940246,-70.2268339,"1"
230010102001,10200,1,191,44.1236338,-70.2360721,"1"
230010102002,10200,2,2082,44.1582621,-70.2522312,"1"
230010102003,10200,3,1753,44.11294,-70.2300543,"1"
230010102004,10200,4,898,44.1084347,-70.224878,"1"
230010103001,10300,1,1401,44.0938652,-70.2334185,"1"
230010103002,10300,2,690,44.1035344,-70.2298195,"1"
230010103003,10300,3,660,44.1010706,-70.2314867,"1"
230010104001,10400,1,673,44.082126,-70.2382772,"1"
230010104002,10400,2,817,44.0845366,-70.2496493,"1"
230010104003,10400,3,652,44.0900562,-70.2417355,"1"
230010105001,10500,1,709,44.0824466,-70.2223923,"1"
230010105002,10500,2,1357,44.0865209,-70.2229967,"1"
230010106001,10600,1,1527,44.030417,-70.2323963,"1"
230010106002,10600,2,1679,44.0661322,-70.2314343,"1"
230010107001,10700,1,1848,44.079854,-70.2795494,"1"
230010107002,10700,2,1254,44.0476694,-70.2831643,"1"
230010108001,10800,1,1830,44.1121007,-70.2438607,"1"
230010108002,10800,2,1126,44.1057072,-70.2595294,"1"
230010108003,10800,3,1123,44.1140836,-70.2874947,"1"
230010201001,20100,1,1258,44.094757,-70.2144833,"1"
230010201002,20100,2,329,44.098318,-70.2160117,"1"
230010201003,20100,3,248,44.0943967,-70.2204763,"1"
230010202001,20200,1,625,44.1083696,-70.2165369,"1"
230010202002,20200,2,699,44.103564,-70.2148759,"1"
230010203011,20301,1,626,44.1068583,-70.2042418,"1"
230010203012,20301,2,705,44.1030894,-70.197565,"1"
230010203013,20301,3,947,44.1032857,-70.2067514,"1"
230010203021,20302,1,2383,44.0995004,-70.2031463,"1"
230010203031,20303,1,2358,44.0981912,-70.2101092,"1"
230010204011,20401,1,2337,44.0935219,-70.2098553,"1"
230010204021,20402,1,809,44.0880253,-70.2065512,"1"
230010204022,20402,2,692,44.0903224,-70.2156873,"1"
230010205001,20500,1,742,44.0868032,-70.1896125,"1"
230010205002,20500,2,600,44.0717372,-70.2040905,"1"
230010205003,20500,3,501,44.0956582,-70.1938112,"1"
230010205004,20500,4,924,44.0838214,-70.1971774,"1"
230010205005,20500,5,701,44.0918217,-70.1953106,"1"
230010206001,20600,1,1294,44.0510638,-70.1783097,"1"
230010206002,20600,2,639,44.0837104,-70.1809969,"1"
230010206003,20600,3,885,44.0445226,-70.1444176,"1"
230010207001,20700,1,780,44.0895127,-70.172095,"1"
230010207002,20700,2,1426,44.0973658,-70.1837846,"1"
230010207003,20700,3,677,44.1054804,-70.1839666,"1"
230010207004,20700,4,1103,44.1228675,-70.1864183,"1"
230010207005,20700,5,1069,44.1116821,-70.1886909,"1"
230010208011,20801,1,856,44.1051638,-70.1682863,"1"
230010208012,20801,2,982,44.127058,-70.1658684,"1"
230010208013,20801,3,454,44.1137696,-70.1530873,"1"
230010208014,20801,4,538,44.1142689,-70.1339517,"1"
230010208021,20802,1,265,44.0725103,-70.1660709,"1"
230010208022,20802,2,1867,44.0810177,-70.1466893,"1"
230010208023,20802,3,1196,44.0996002,-70.1693186,"1"
230010208024,20802,4,1103,44.0949586,-70.1326776,"1"
230010209001,20900,1,1598,44.13603,-70.1815873,"1"
230010209002,20900,2,773,44.1507557,-70.1971757,"1"
230010209003,20900,3,1141,44.1097939,-70.2062877,"1"
230010209004,20900,4,991,44.1270175,-70.2025368,"1"
230010301001,30100,1,858,44.0082685,-70.1293459,"1"
230010301002,30100,2,1245,44.0420522,-70.1289931,"1"
230010301003,30100,3,794,44.0351301,-70.1120985,"1"
230010301004,30100,4,827,44.0184083,-70.0976689,"1"
230010301005,30100,5,679,44.0512715,-70.1005806,"1"
230010301006,30100,6,871,44.0194953,-70.0789321,"1"
230010302001,30200,1,1593,44.0067464,-70.0750431,"1"
230010302002,30200,2,2016,44.009884,-70.0536464,"1"
230010302003,30200,3,828,44.0366878,-70.0587993,"1"
230010400001,40000,1,1043,43.9651118,-70.1686637,"1"
230010400002,40000,2,1250,43.9539882,-70.1076254,"1"
230010400003,40000,3,845,43.9389049,-70.140839,"1"
230010400004,40000,4,1035,43.9833232,-70.0795434,"1"
230010410001,41000,1,874,44.0334334,-70.3569535,"1"
230010410002,41000,2,949,44.0520089,-70.4565857,"1"
230010410003,41000,3,931,44.0694892,-70.371839,"1"
230010410004,41000,4,694,44.0578713,-70.4094888,"1"
230010410005,41000,5,782,44.0705181,-70.315026,"1"
230010410006,41000,6,639,44.0600462,-70.3339859,"1"
230010410007,41000,7,1037,44.0270756,-70.4097413,"1"
230010415001,41500,1,1024,44.0960477,-70.4185575,"1"
230010415002,41500,2,1497,44.0939904,-70.3850804,"1"
230010415003,41500,3,1010,44.1778415,-70.342488,"1"
230010415004,41500,4,766,44.1297022,-70.3109267,"1"
230010415005,41500,5,1576,44.1261611,-70.3742236,"1"
230010420001,42000,1,1092,44.2344725,-70.2861113,"1"
230010420002,42000,2,1519,44.3047771,-70.227528,"1"
230010420003,42000,3,1977,44.2332852,-70.2088465,"1"
230010420004,42000,4,1229,44.3241377,-70.2667356,"1"
230010430001,43000,1,1373,44.4119351,-70.2315073,"2"
230010430002,43000,2,754,44.4098195,-70.1927494,"2"
230010440001,44000,1,645,44.4089851,-70.146296,"2"
230010440002,44000,2,2415,44.4453367,-70.1380761,"2"
230010450001,45000,1,2262,44.2953505,-70.133074,"2"
230010460001,46000,1,1692,44.2120061,-70.1692747,"1"
230010460002,46000,2,780,44.2056395,-70.1132221,"2"
230010460003,46000,3,800,44.1750196,-70.1507646,"1"
230010460004,46000,4,1104,44.1574959,-70.1339005,"1"
230010465001,46500,1,2400,44.0939071,-70.0719896,"1"
230010465002,46500,2,1608,44.1509213,-70.0624789,"2"
230010465003,46500,3,474,44.0794343,-70.1165333,"1"
230010465004,46500,4,1026,44.1188147,-70.1021509,"1"
230010465005,46500,5,1144,44.0937623,-70.0354706,"2"
230039501001,950100,1,656,46.9810535,-68.1883331,"2"
230039501002,950100,2,706,47.0019599,-68.3574187,"2"
230039501003,950100,3,1205,47.025814,-67.9562026,"2"
230039502001,950200,1,668,47.15064,-67.9525192,"2"
230039502002,950200,2,684,47.1628826,-67.9468049,"2"
230039502003,950200,3,1052,47.227713,-68.0925444,"2"
230039503001,950300,1,917,47.3377608,-68.3491228,"2"
230039503002,950300,2,470,47.3546007,-68.3330089,"2"
230039503003,950300,3,702,47.3533812,-68.2770755,"2"
230039503004,950300,4,800,47.3403895,-68.3217483,"2"
230039503005,950300,5,978,47.2806125,-68.2424301,"2"
230039504001,950400,1,730,47.2357317,-68.3173048,"2"
230039504002,950400,2,1052,47.2741176,-68.3982297,"2"
230039506001,950600,1,861,47.222173,-68.5192838,"2"
230039506002,950600,2,1578,47.2214369,-68.6393216,"2"
230039506003,950600,3,451,47.2604288,-68.5915368,"2"
230039506004,950600,4,1177,47.2738944,-68.522102,"2"
230039507001,950700,1,829,47.1469407,-68.5711963,"2"
230039507002,950700,2,950,46.8586028,-69.175273,"2"
230039507003,950700,3,966,47.02878,-68.6527636,"2"
230039509001,950900,1,1072,46.6865045,-68.4588264,"2"
230039509002,950900,2,799,46.582034,-68.3729392,"2"
230039510001,951000,1,600,46.8395782,-68.2359239,"2"
230039510002,951000,2,1217,46.8840579,-68.1195081,"2"
230039510003,951000,3,693,46.8168638,-68.1246682,"2"
230039510004,951000,4,834,46.7679219,-68.1110887,"2"
230039511001,951100,1,842,46.7088192,-68.0923941,"2"
230039511002,951100,2,854,46.7024832,-68.2004921,"2"
230039511003,951100,3,1054,46.5992969,-68.119375,"2"
230039512001,951200,1,748,46.9102898,-68.0458748,"2"
230039512002,951200,2,586,46.8626737,-68.0172581,"2"
230039512003,951200,3,895,46.8581793,-68.0382853,"2"
230039513001,951300,1,1167,46.9238125,-67.9869888,"2"
230039513002,951300,2,882,46.870705,-68.008185,"2"
230039513003,951300,3,475,46.8635638,-68.0049415,"2"
230039513004,951300,4,533,46.866126,-67.9521471,"2"
230039514001,951400,1,1305,46.8045735,-67.9509022,"2"
230039514002,951400,2,805,46.8094692,-68.0274216,"2"
230039516001,951600,1,596,46.9174863,-67.8087784,"2"
230039516002,951600,2,649,46.8859412,-67.8927945,"2"
230039516003,951600,3,281,46.9461189,-67.8869118,"2"
230039517001,951700,1,562,46.8305083,-67.8383283,"2"
230039517002,951700,2,771,46.7482812,-67.893406,"2"
230039517003,951700,3,1320,46.6333043,-67.8476235,"2"
230039517004,951700,4,1240,46.7512748,-67.8478417,"2"
230039517005,951700,5,749,46.7218895,-67.8289432,"2"
230039518001,951800,1,1194,46.6931842,-68.0087282,"2"
230039518002,951800,2,613,46.7196937,-68.0413854,"2"
230039518003,951800,3,828,46.7383015,-68.0035701,"2"
230039518004,951800,4,837,46.7337528,-67.9389148,"2"
230039519001,951900,1,1114,46.6648852,-67.9624152,"2"
230039519002,951900,2,1652,46.6583733,-67.9956549,"2"
230039520001,952000,1,1591,46.6933591,-68.0415488,"2"
230039520002,952000,2,968,46.6291141,-68.0071382,"2"
230039521001,952100,1,586,46.5382796,-67.814748,"2"
230039521002,952100,2,667,46.4875576,-67.8471231,"2"
230039521003,952100,3,1229,46.533465,-67.9660756,"2"
230039523001,952300,1,532,46.4135147,-67.8491551,"2"
230039523002,952300,2,997,46.235924,-67.8433315,"2"
230039523003,952300,3,901,46.3917452,-68.2060352,"2"
230039524001,952400,1,1252,46.1573846,-67.8116155,"2"
230039524002,952400,2,653,46.1259573,-67.8329354,"2"
230039524003,952400,3,842,46.1205069,-67.8361615,"2"
230039524004,952400,4,1110,46.1119282,-67.8081946,"2"
230039525001,952500,1,1031,46.1458321,-67.8772149,"2"
230039525002,952500,2,1167,46.1056106,-67.8620503,"2"
230039526001,952600,1,964,46.2053634,-68.0100491,"2"
230039526002,952600,2,661,46.07385,-68.1135325,"2"
230039526003,952600,3,1521,46.0643983,-67.9704063,"2"
230039527001,952700,1,540,46.1153073,-68.303043,"2"
230039527002,952700,2,1006,45.9861933,-68.2936787,"2"
230039527003,952700,3,815,45.8900128,-68.3593451,"2"
230039529001,952900,1,1505,46.0258782,-67.8464796,"2"
230039529002,952900,2,654,45.8217231,-67.8546391,"2"
230039529003,952900,3,714,45.7848335,-68.1550771,"2"
230050001001,100,1,530,43.6719411,-70.2501678,"1"
230050001002,100,2,989,43.6663744,-70.2503773,"1"
230050001003,100,3,883,43.6699705,-70.2516909,"1"
230050002001,200,1,568,43.666414,-70.2410326,"1"
230050002002,200,2,606,43.6660163,-70.2444015,"1"
230050002003,200,3,1242,43.6640501,-70.246911,"1"
230050003001,300,1,1396,43.6513279,-70.2553065,"1"
230050003002,300,2,609,43.6547742,-70.2611928,"1"
230050003003,300,3,1187,43.6557985,-70.2629337,"1"
230050005001,500,1,1204,43.6671072,-70.2621565,"1"
230050005002,500,2,1265,43.6616071,-70.2514306,"1"
230050006001,600,1,1407,43.6623343,-70.2606898,"1"
230050006002,600,2,968,43.6591043,-70.2643339,"1"
230050006003,600,3,1035,43.6560303,-70.2665312,"1"
230050010001,1000,1,1506,43.6578576,-70.2710172,"1"
230050010002,1000,2,1319,43.6534063,-70.2699007,"1"
230050011001,1100,1,824,43.6485784,-70.2615545,"1"
230050011002,1100,2,792,43.6508236,-70.2653907,"1"
230050011003,1100,3,961,43.651192,-70.2607424,"1"
230050012001,1200,1,759,43.6475817,-70.265916,"1"
230050012002,1200,2,638,43.6495805,-70.2679802,"1"
230050013001,1300,1,913,43.6477756,-70.2732053,"1"
230050013002,1300,2,1589,43.6519085,-70.277242,"1"
230050013003,1300,3,1298,43.6455638,-70.2686308,"1"
230050015001,1500,1,993,43.665643,-70.2724739,"1"
230050015002,1500,2,1469,43.6609585,-70.2780188,"1"
230050015003,1500,3,1056,43.6646488,-70.281941,"1"
230050017001,1700,1,1152,43.6658843,-70.2883355,"1"
230050017002,1700,2,1574,43.6646564,-70.2997105,"1"
230050017003,1700,3,697,43.6669417,-70.3056947,"1"
230050017004,1700,4,947,43.6679886,-70.2937402,"1"
230050018001,1800,1,1166,43.6767813,-70.2790123,"1"
230050018002,1800,2,1207,43.6715625,-70.282067,"1"
230050018003,1800,3,717,43.6836716,-70.2786835,"1"
230050018004,1800,4,656,43.6808703,-70.2697341,"1"
230050019001,1900,1,1220,43.6762489,-70.2905087,"1"
230050019002,1900,2,1033,43.6719619,-70.2932636,"1"
230050019003,1900,3,1292,43.6732251,-70.3027839,"1"
