"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
260010001001,100,1,636,44.7847889,-83.472043,"13"
260010001002,100,2,1054,44.8218139,-83.5162953,"13"
260019701001,970100,1,1037,44.7626844,-83.3729438,"13"
260019701002,970100,2,1303,44.6436787,-83.317856,"13"
260019704001,970400,1,1463,44.6876018,-83.4488177,"13"
260019704002,970400,2,1370,44.5947816,-83.5103859,"13"
260019705001,970500,1,663,44.6083666,-83.7878056,"13"
260019705002,970500,2,607,44.7407529,-83.740513,"13"
260019705003,970500,3,653,44.5587476,-83.666778,"13"
260019706001,970600,1,760,44.5504286,-83.3311906,"13"
260019706002,970600,2,621,44.5499024,-83.3913491,"13"
260030001001,100,1,930,46.5408709,-86.2090818,"4"
260030001002,100,2,1476,46.373931,-86.5047718,"4"
260030001003,100,3,916,46.4270613,-86.6573725,"4"
260030002001,200,1,1351,46.427526,-86.9937754,"4"
260030002002,200,2,1223,46.4557394,-86.7433593,"4"
260030003001,300,1,988,46.2713492,-86.9937377,"4"
260030003002,300,2,1958,46.2261454,-86.72307,"4"
260050302001,30200,1,1182,42.7504101,-86.1624037,"2"
260050302002,30200,2,1386,42.7537582,-86.1862067,"2"
260050302003,30200,3,998,42.729023,-86.1793251,"2"
260050303011,30301,1,1530,42.7167925,-85.9919307,"2"
260050303012,30301,2,1603,42.7314143,-85.9342879,"2"
260050303021,30302,1,2592,42.7278834,-85.8757673,"2"
260050303022,30302,2,2487,42.7202228,-85.8060993,"2"
260050304021,30402,1,3104,42.7499546,-85.6319327,"12"
260050304022,30402,2,2379,42.7478655,-85.5723791,"12"
260050304023,30402,3,1391,42.7018504,-85.6068087,"12"
260050304031,30403,1,2670,42.7501941,-85.717273,"2"
260050304032,30403,2,1632,42.715632,-85.6889469,"2"
260050304041,30404,1,1797,42.7290815,-85.7375765,"2"
260050304042,30404,2,1823,42.7033776,-85.7365961,"2"
260050305011,30501,1,1844,42.6466568,-85.586623,"12"
260050305012,30501,2,1346,42.6124331,-85.6127895,"12"
260050305021,30502,1,2302,42.6570178,-85.6569198,"12"
260050305022,30502,2,2643,42.6769735,-85.6178925,"12"
260050306001,30600,1,2046,42.6455463,-85.855008,"2"
260050306002,30600,2,1938,42.6305538,-85.774474,"2"
260050306003,30600,3,1212,42.6311145,-85.7120056,"2"
260050307021,30702,1,2175,42.5477673,-85.9303503,"2"
260050307022,30702,2,1955,42.6725924,-85.9540535,"2"
260050307023,30702,3,1337,42.6314935,-85.9318447,"2"
260050307031,30703,1,1608,42.5825986,-86.070152,"2"
260050307032,30703,2,1051,42.5392094,-86.058502,"2"
260050307041,30704,1,2241,42.6620461,-86.0692797,"2"
260050307042,30704,2,1642,42.5993804,-86.1000623,"2"
260050307043,30704,3,1266,42.6231174,-86.0389191,"2"
260050308011,30801,1,965,42.6453509,-86.2139656,"2"
260050308012,30801,2,1311,42.666805,-86.1835664,"2"
260050308021,30802,1,1985,42.6275386,-86.1683032,"2"
260050308022,30802,2,630,42.6423544,-86.2018802,"2"
260050308023,30802,3,795,42.6133315,-86.201055,"2"
260050309011,30901,1,1007,42.4792736,-86.1746521,"2"
260050309012,30901,2,920,42.4458378,-86.2474308,"2"
260050309013,30901,3,873,42.437663,-86.1846991,"2"
260050309021,30902,1,879,42.5234769,-86.1936379,"2"
260050309022,30902,2,744,42.5676832,-86.2115635,"2"
260050309023,30902,3,951,42.5609643,-86.1585417,"2"
260050310011,31001,1,1366,42.4648886,-86.1206218,"2"
260050310012,31001,2,1384,42.4871743,-86.0645736,"2"
260050310021,31002,1,1401,42.4566916,-86.0272134,"6"
260050310022,31002,2,1166,42.4851567,-85.9461328,"6"
260050310023,31002,3,699,42.4369637,-85.9418109,"6"
260050311011,31101,1,1111,42.4889169,-85.8867411,"6"
260050311012,31101,2,1435,42.5620295,-85.8660413,"2"
260050311013,31101,3,972,42.4381812,-85.8272815,"6"
260050311021,31102,1,719,42.5287565,-85.8044997,"6"
260050311022,31102,2,1437,42.4848136,-85.821528,"6"
260050311023,31102,3,1004,42.5742846,-85.8297519,"2"
260050312001,31200,1,1381,42.5444382,-85.8577448,"2"
