"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
270017701001,770100,1,813,46.8763449,-93.2082035,"7"
270017701002,770100,2,818,46.6721228,-93.4348,"7"
270017701003,770100,3,613,46.5858078,-93.5884389,"7"
270017702001,770200,1,798,46.9181539,-93.5478041,"7"
270017702002,770200,2,665,46.6963525,-93.6297396,"7"
270017702003,770200,3,815,47.0113984,-93.6028486,"7"
270017703001,770300,1,1323,46.5298966,-93.6754568,"7"
270017703002,770300,2,873,46.563092,-93.7608075,"7"
270017703003,770300,3,1102,46.514177,-93.7384297,"7"
270017704011,770401,1,1308,46.6897902,-93.2308043,"7"
270017704021,770402,1,895,46.5595007,-93.26105,"7"
270017704022,770402,2,667,46.3680484,-93.1181408,"7"
270017905011,790501,1,746,46.3061509,-93.3658892,"7"
270017905012,790501,2,1141,46.384464,-93.5007167,"7"
270017905031,790503,1,570,46.4557545,-93.6645906,"7"
270017905032,790503,2,471,46.460174,-93.7516429,"7"
270017905033,790503,3,708,46.3865777,-93.7874136,"7"
270017905041,790504,1,393,46.3290231,-93.7676463,"7"
270017905042,790504,2,978,46.3824251,-93.6280049,"7"
270030501071,50107,1,1740,45.4078839,-93.4020635,"7"
270030501072,50107,2,1368,45.3915155,-93.4538546,"7"
270030501081,50108,1,2725,45.3988005,-93.3276147,"7"
270030501082,50108,2,1278,45.4007713,-93.2891517,"7"
270030501083,50108,3,1507,45.400923,-93.3641865,"7"
270030501091,50109,1,1866,45.3897833,-93.2436709,"7"
270030501092,50109,2,1285,45.3957072,-93.165725,"7"
270030501093,50109,3,1184,45.3532039,-93.2176595,"7"
270030501094,50109,4,1175,45.3819086,-93.2224419,"7"
270030501101,50110,1,1300,45.3370745,-93.249533,"7"
270030501102,50110,2,1361,45.3131106,-93.2240786,"7"
270030501111,50111,1,1547,45.3373099,-93.1787446,"7"
270030501112,50111,2,1523,45.314261,-93.1807239,"7"
270030501113,50111,3,545,45.302004,-93.1538508,"7"
270030501141,50114,1,1636,45.3479882,-93.3815125,"7"
270030501142,50114,2,1427,45.3310355,-93.3614905,"7"
270030501151,50115,1,1305,45.3622315,-93.2940271,"7"
270030501152,50115,2,1967,45.3622917,-93.3427312,"7"
270030501153,50115,3,994,45.3135326,-93.328212,"7"
270030501154,50115,4,1600,45.3245771,-93.2936271,"7"
270030501161,50116,1,1522,45.3451743,-93.4841455,"7"
270030501162,50116,2,1215,45.3163752,-93.4241577,"7"
270030501163,50116,3,1799,45.3464742,-93.4273225,"7"
270030502081,50208,1,1172,45.2177035,-93.348388,"1"
270030502082,50208,2,15,45.2157514,-93.2903833,"7"
270030502083,50208,3,829,45.2173219,-93.3334627,"1"
270030502084,50208,4,1175,45.2146703,-93.3214605,"1"
270030502101,50210,1,1428,45.3117192,-93.0933699,"7"
270030502102,50210,2,843,45.2549138,-93.1076781,"7"
270030502103,50210,3,1069,45.2324729,-93.0409781,"7"
270030502104,50210,4,819,45.2741539,-93.0618873,"7"
270030502151,50215,1,1879,45.2291718,-93.2245581,"7"
270030502152,50215,2,1167,45.225264,-93.2513065,"7"
270030502153,50215,3,1087,45.245585,-93.2599519,"7"
270030502161,50216,1,1877,45.2458278,-93.1599468,"7"
270030502162,50216,2,705,45.2254668,-93.1981711,"7"
270030502163,50216,3,1169,45.2532049,-93.2123104,"7"
270030502164,50216,4,1054,45.2188155,-93.1809703,"7"
270030502165,50216,5,1237,45.2378099,-93.2019154,"7"
270030502171,50217,1,2360,45.277596,-93.2972325,"7"
270030502172,50217,2,1139,45.2778358,-93.3398251,"7"
270030502181,50218,1,1425,45.2723028,-93.3581656,"7"
270030502182,50218,2,968,45.2767827,-93.3770723,"7"
270030502183,50218,3,827,45.270371,-93.3935449,"7"
270030502191,50219,1,1269,45.2464944,-93.3612935,"1"
270030502192,50219,2,1678,45.2320201,-93.3670451,"1"
270030502201,50220,1,2283,45.240557,-93.3302206,"7"
270030502202,50220,2,1584,45.2260423,-93.3466656,"1"
270030502203,50220,3,1226,45.2301434,-93.3332461,"1"
270030502204,50220,4,1734,45.2243153,-93.3182767,"1"
270030502221,50222,1,1302,45.230345,-93.2985497,"7"
270030502222,50222,2,1133,45.2233712,-93.2998006,"7"
270030502223,50222,3,1262,45.2287768,-93.2831303,"7"
270030502224,50222,4,1884,45.2261333,-93.2734027,"7"
270030502231,50223,1,721,45.2817419,-93.5025122,"1"
270030502232,50223,2,976,45.2453901,-93.476207,"1"
270030502233,50223,3,1275,45.2599443,-93.4880604,"1"
270030502241,50224,1,1321,45.2879164,-93.4706129,"1"
270030502242,50224,2,2565,45.2600195,-93.4522328,"1"
270030502261,50226,1,1356,45.2410392,-93.4046226,"1"
270030502262,50226,2,1803,45.2394019,-93.3906029,"1"
270030502271,50227,1,1284,45.22466,-93.4220038,"1"
270030502272,50227,2,1022,45.242284,-93.4196447,"1"
270030502273,50227,3,760,45.226723,-93.401822,"1"
270030502274,50227,4,1521,45.232998,-93.410004,"1"
270030502281,50228,1,2578,45.2358499,-93.4591116,"1"
270030502282,50228,2,911,45.2554964,-93.432681,"1"
270030502283,50228,3,1131,45.2415378,-93.4360948,"1"
270030502284,50228,4,781,45.2446726,-93.4602773,"1"
270030502285,50228,5,1366,45.2312039,-93.4765789,"1"
270030502291,50229,1,837,45.1618259,-93.1279967,"7"
270030502292,50229,2,317,45.1785787,-93.1254124,"7"
270030502293,50229,3,1534,45.1999984,-93.1372967,"7"
270030502294,50229,4,1180,45.1603184,-93.1379138,"7"
270030502295,50229,5,1648,45.1744198,-93.1276145,"7"
270030502301,50230,1,1851,45.1369631,-93.0395871,"6"
270030502302,50230,2,1040,45.1892382,-93.035448,"7"
270030502321,50232,1,1889,45.1570462,-93.0500189,"7"
270030502322,50232,2,1082,45.1690797,-93.0435908,"7"
270030502323,50232,3,925,45.1717363,-93.0567528,"7"
270030502331,50233,1,1108,45.2064915,-93.0758485,"7"
270030502332,50233,2,553,45.2043021,-93.1054304,"7"
270030502333,50233,3,1426,45.190217,-93.1148722,"7"
270030502341,50234,1,1075,45.2742133,-93.2122725,"7"
270030502342,50234,2,1034,45.2732977,-93.1657856,"7"
270030502343,50234,3,1186,45.2881458,-93.1691123,"7"
270030502351,50235,1,940,45.2895181,-93.2210874,"7"
270030502352,50235,2,2054,45.2746128,-93.2525782,"7"
270030502361,50236,1,1380,45.1340638,-93.113689,"6"
270030502362,50236,2,1810,45.1375845,-93.09673,"6"
270030502363,50236,3,1131,45.1359235,-93.0737887,"6"
270030502371,50237,1,1791,45.1319078,-93.1389345,"5"
270030502372,50237,2,1738,45.1713018,-93.0999197,"7"
270030502373,50237,3,873,45.1526301,-93.0731586,"7"
270030502374,50237,4,1182,45.1466629,-93.0954501,"6"
270030502381,50238,1,789,45.2378287,-93.3110282,"7"
270030502382,50238,2,2575,45.2547772,-93.299362,"7"
270030502383,50238,3,1121,45.2538474,-93.3109905,"7"
270030502391,50239,1,1816,45.2425691,-93.2947584,"7"
270030502392,50239,2,1035,45.2476048,-93.2750365,"7"
270030502401,50240,1,2318,45.2534097,-93.4163144,"1"
270030502402,50240,2,997,45.2538976,-93.4000496,"1"
270030502411,50241,1,2024,45.2754741,-93.4198157,"1"
270030502412,50241,2,936,45.2912749,-93.4058498,"7"
270030504011,50401,1,1632,45.2091419,-93.3991393,"1"
270030504013,50401,3,1380,45.2179168,-93.3948653,"1"
270030504021,50402,1,627,45.2028575,-93.4024164,"1"
270030504022,50402,2,715,45.1956349,-93.39567,"1"
270030504023,50402,3,1526,45.2101538,-93.4158898,"1"
270030504024,50402,4,717,45.199383,-93.4062328,"1"
270030505011,50501,1,812,45.1933788,-93.3810208,"1"
270030505012,50501,2,1251,45.1897304,-93.3861785,"1"
270030505013,50501,3,1121,45.2025836,-93.3844527,"1"
270030505041,50504,1,1144,45.1851865,-93.3762101,"1"
270030505042,50504,2,1403,45.1977992,-93.372156,"1"
270030505051,50505,1,1285,45.2129485,-93.3698066,"1"
270030505052,50505,2,920,45.2176176,-93.3745542,"1"
270030505053,50505,3,2020,45.224185,-93.3833618,"1"
270030505054,50505,4,1368,45.2076061,-93.3735818,"1"
270030506021,50602,1,1223,45.1855583,-93.3291744,"1"
270030506022,50602,2,1317,45.1794743,-93.3269804,"1"
270030506051,50605,1,1474,45.1775856,-93.3592045,"1"
270030506052,50605,2,1282,45.1573252,-93.3249288,"1"
270030506053,50605,3,1356,45.1625643,-93.3298092,"1"
270030506054,50605,4,1686,45.1669918,-93.3414953,"1"
270030506061,50606,1,1201,45.144424,-93.3043519,"1"
270030506062,50606,2,809,45.1542238,-93.3134534,"1"
270030506071,50607,1,977,45.1737404,-93.3347461,"1"
270030506072,50607,2,1441,45.1734118,-93.3244548,"1"
270030506073,50607,3,811,45.1674303,-93.3250229,"1"
270030506074,50607,4,1310,45.1686029,-93.3137471,"1"
270030506081,50608,1,882,45.1570815,-93.2972313,"1"
270030506082,50608,2,1529,45.1658931,-93.3072763,"1"
270030506083,50608,3,754,45.1683049,-93.2979593,"1"
270030506084,50608,4,1645,45.176174,-93.3117814,"1"
270030506091,50609,1,1359,45.2087797,-93.3565762,"1"
270030506092,50609,2,1028,45.2098318,-93.3387075,"1"
270030506093,50609,3,23,45.2008778,-93.3546677,"1"
270030506094,50609,4,1509,45.1925057,-93.3438385,"1"
270030506111,50611,1,1504,45.1830634,-93.360278,"1"
270030506112,50611,2,2126,45.1798296,-93.3454438,"1"
270030506121,50612,1,1185,45.1897384,-93.3562746,"1"
270030506122,50612,2,1688,45.1917819,-93.3661015,"1"
270030507021,50702,1,832,45.1753123,-93.2691886,"1"
270030507022,50702,2,724,45.1821238,-93.2784196,"1"
270030507023,50702,3,1638,45.1831004,-93.2879069,"1"
270030507042,50704,2,1759,45.1728248,-93.2876651,"1"
270030507043,50704,3,1115,45.1686352,-93.2723512,"1"
270030507044,50704,4,836,45.1650862,-93.2908614,"1"
270030507045,50704,5,1069,45.1704683,-93.2791795,"1"
270030507061,50706,1,1204,45.1594528,-93.270566,"1"
270030507062,50706,2,783,45.1594451,-93.2781023,"1"
270030507063,50706,3,691,45.1361342,-93.2683359,"5"
270030507064,50706,4,825,45.1491896,-93.2692468,"1"
270030507071,50707,1,1262,45.2029643,-93.3123465,"1"
270030507072,50707,2,2170,45.2039996,-93.2990091,"1"
270030507073,50707,3,1524,45.2023288,-93.3251831,"1"
270030507074,50707,4,1277,45.2113059,-93.3213813,"1"
270030507091,50709,1,1289,45.1348158,-93.289546,"1"
270030507092,50709,2,1230,45.1268005,-93.2840803,"1"
