"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
290019501001,950100,1,1400,40.2961345,-92.510067,"6"
290019501002,950100,2,1411,40.199811,-92.4461476,"6"
290019501003,950100,3,895,40.0922838,-92.4252288,"6"
290019502001,950200,1,805,40.2796832,-92.6914408,"6"
290019502002,950200,2,753,40.2298138,-92.7816931,"6"
290019502003,950200,3,1253,40.087435,-92.6849809,"6"
290019503001,950300,1,706,40.2271907,-92.6168687,"6"
290019503002,950300,2,662,40.2040689,-92.5854786,"6"
290019503003,950300,3,746,40.1996599,-92.581079,"6"
290019503004,950300,4,811,40.1943428,-92.5817431,"6"
290019504001,950400,1,1587,40.2392757,-92.5627147,"6"
290019504002,950400,2,1676,40.2171982,-92.5593205,"6"
290019504003,950400,3,930,40.1991726,-92.5562136,"6"
290019505011,950501,1,1512,40.1832817,-92.5890179,"6"
290019505012,950501,2,746,40.1946354,-92.5886614,"6"
290019505013,950501,3,1665,40.1747998,-92.6334454,"6"
290019505021,950502,1,861,40.1639712,-92.5636888,"6"
290019505022,950502,2,943,40.1854667,-92.5734349,"6"
290019505023,950502,3,1459,40.1597927,-92.5954207,"6"
290019509001,950900,1,849,40.1977667,-92.5730876,"6"
290019509002,950900,2,732,40.1920152,-92.5723105,"6"
290019509003,950900,3,568,40.1912544,-92.5817832,"6"
290019510001,951000,1,2344,40.1851462,-92.5806204,"6"
290030101001,10100,1,1757,39.8720507,-94.8182725,"3"
290030101002,10100,2,1949,39.8277388,-94.82653,"3"
290030101003,10100,3,1661,39.8316494,-94.8001373,"3"
290030101004,10100,4,845,39.846587,-94.6752701,"3"
290030102011,10201,1,882,39.9430682,-94.8622316,"3"
290030102012,10201,2,1136,39.91566,-94.856016,"3"
290030102013,10201,3,1944,39.9253568,-94.808222,"3"
290030102021,10202,1,1150,39.98432,-94.8548235,"3"
290030102022,10202,2,1789,39.9709322,-94.8026688,"3"
290030103001,10300,1,845,40.0498472,-94.9654931,"3"
290030103002,10300,2,1130,39.9112995,-94.9242586,"3"
290030104001,10400,1,948,40.066607,-94.8441648,"3"
290030104002,10400,2,809,40.0547238,-94.69823,"3"
290030104003,10400,3,1290,39.9295126,-94.6974888,"3"
290059501001,950100,1,676,40.4299603,-95.3016125,"3"
290059501002,950100,2,802,40.3279709,-95.4064673,"3"
290059501003,950100,3,683,40.4544998,-95.3744221,"3"
290059501004,950100,4,897,40.4267456,-95.3945909,"3"
290059502001,950200,1,897,40.3434962,-95.5298268,"3"
290059502002,950200,2,477,40.5087132,-95.5842374,"3"
290059502003,950200,3,873,40.4173823,-95.486233,"3"
290079501001,950100,1,697,39.2992363,-91.4567865,"6"
290079501002,950100,2,2137,39.3151177,-91.4878207,"6"
290079501003,950100,3,962,39.3009941,-91.5266179,"6"
290079502001,950200,1,840,39.2813006,-91.8265125,"6"
290079502002,950200,2,532,39.2322531,-91.6483675,"6"
290079502003,950200,3,1208,39.2141061,-91.5501107,"6"
290079502004,950200,4,567,39.1872132,-91.7679832,"6"
290079502005,950200,5,1644,39.097936,-91.7820881,"6"
290079503001,950300,1,1534,39.2960327,-92.2002907,"6"
290079503002,950300,2,858,39.2597208,-92.0169967,"6"
290079503003,950300,3,1242,39.1311921,-92.0259971,"6"
290079504001,950400,1,983,39.2094289,-91.8694915,"6"
290079504002,950400,2,908,39.1854041,-91.8483203,"6"
290079504003,950400,3,829,39.1698714,-91.8342381,"6"
290079505001,950500,1,1688,39.206481,-91.9042506,"6"
290079505002,950500,2,740,39.1949951,-91.8880579,"6"
290079505003,950500,3,590,39.1753263,-91.8852825,"6"
290079505004,950500,4,706,39.17554,-91.8957095,"6"
290079506001,950600,1,1031,39.1564486,-91.9332795,"6"
290079506002,950600,2,1617,39.1468196,-91.9144719,"6"
290079507001,950700,1,786,39.1679474,-91.8888794,"6"
290079507002,950700,2,666,39.1632089,-91.8900323,"6"
290079507003,950700,3,1005,39.1334016,-91.9011544,"6"
290079507004,950700,4,1192,39.143421,-91.8517599,"6"
290099601011,960101,1,1126,36.7941638,-93.6651903,"4"
290099601012,960101,2,1812,36.8762268,-93.740629,"4"
290099601021,960102,1,1026,36.6848355,-93.6945661,"4"
290099601022,960102,2,727,36.594924,-93.7231672,"4"
290099601023,960102,3,907,36.6011958,-93.6414189,"4"
290099602011,960201,1,832,36.7711873,-94.0542919,"4"
290099602012,960201,2,1823,36.8373215,-94.002654,"4"
290099602021,960202,1,1151,36.875643,-93.8620944,"4"
290099602022,960202,2,2083,36.7816025,-93.835968,"4"
290099603011,960301,1,1007,36.9253892,-93.9146767,"4"
290099603012,960301,2,747,36.9229668,-93.9255392,"4"
290099603013,960301,3,1168,36.924635,-93.9445155,"4"
290099603014,960301,4,818,36.9209904,-93.932337,"4"
290099603021,960302,1,1629,36.9060755,-93.9519916,"4"
290099603022,960302,2,1397,36.890195,-93.9290867,"4"
290099604011,960401,1,1731,36.5220005,-93.8459928,"4"
290099604012,960401,2,1206,36.5642514,-94.0237524,"4"
290099604013,960401,3,1025,36.585144,-93.9251472,"4"
290099604021,960402,1,1032,36.7358199,-93.919309,"4"
290099604022,960402,2,1339,36.6914645,-94.0178574,"4"
290099604023,960402,3,1232,36.658054,-93.9338325,"4"
290099605001,960500,1,1554,36.613739,-93.8332148,"4"
290099605002,960500,2,842,36.7048525,-93.8482337,"4"
290099605003,960500,3,1167,36.6922893,-93.8828176,"4"
290099605004,960500,4,1333,36.6858494,-93.8543729,"4"
290099605005,960500,5,1254,36.6653291,-93.8627634,"4"
290099606001,960600,1,998,36.530601,-93.589853,"4"
290099606002,960600,2,1568,36.5371295,-93.6604066,"4"
290119601001,960100,1,1407,37.5537343,-94.17055,"4"
290119601002,960100,2,758,37.4031009,-94.1990356,"4"
290119601003,960100,3,700,37.3734368,-94.0898134,"4"
290119602001,960200,1,707,37.422929,-94.4002023,"4"
290119602002,960200,2,1102,37.6011414,-94.4421618,"4"
290119602003,960200,3,729,37.5508283,-94.5086463,"4"
290119602004,960200,4,1266,37.5173398,-94.5299558,"4"
290119603001,960300,1,1082,37.4753805,-94.2892764,"4"
290119603002,960300,2,959,37.5077487,-94.2539776,"4"
290119603003,960300,3,1548,37.4758317,-94.2486422,"4"
290119603004,960300,4,812,37.5108665,-94.2908344,"4"
290119603005,960300,5,567,37.4980752,-94.2752987,"4"
290130701001,70100,1,1928,38.3865142,-94.3031003,"1"
290130701002,70100,2,1232,38.3112459,-94.1731248,"1"
290130701003,70100,3,1825,38.3963302,-94.3429537,"1"
290130702001,70200,1,913,38.2695327,-94.4722802,"1"
290130702002,70200,2,1220,38.1502958,-94.4995567,"1"
290130702003,70200,3,790,38.3488072,-94.5241268,"1"
290130702004,70200,4,1132,38.4350332,-94.5130614,"1"
290130703001,70300,1,1085,38.2619446,-94.3202238,"1"
290130703002,70300,2,1385,38.2750872,-94.344263,"1"
290130703003,70300,3,906,38.2346938,-94.343499,"1"
290130703004,70300,4,1094,38.2547563,-94.336155,"1"
290130704001,70400,1,750,38.1654519,-94.2288531,"1"
290130704002,70400,2,1293,38.0948769,-94.3660275,"1"
290130704003,70400,3,489,38.085096,-94.2044583,"4"
290154601001,460100,1,1217,38.438942,-93.2545551,"8"
290154601002,460100,2,859,38.453338,-93.1227042,"8"
290154601003,460100,3,1154,38.4630578,-93.1986414,"8"
290154602001,460200,1,1143,38.440951,-93.4012306,"8"
290154602002,460200,2,1240,38.4120864,-93.3338734,"8"
290154603001,460300,1,1320,38.2561364,-93.3757969,"8"
290154603002,460300,2,1128,38.2492628,-93.3635332,"8"
290154603003,460300,3,870,38.3209815,-93.3224479,"8"
290154603004,460300,4,1285,38.3296515,-93.4217904,"8"
290154604001,460400,1,559,38.290352,-93.2931501,"8"
290154604002,460400,2,667,38.3122513,-93.2487379,"8"
290154604003,460400,3,978,38.3016635,-93.1718555,"8"
290154607011,460701,1,614,38.2273512,-93.3964145,"8"
290154607012,460701,2,646,38.1256544,-93.4361686,"8"
290154607021,460702,1,1611,38.2496406,-93.4713712,"8"
290154608011,460801,1,805,38.1308138,-93.1542054,"8"
290154608012,460801,2,828,38.2216865,-93.1833861,"8"
290154608021,460802,1,912,38.2560122,-93.309218,"8"
290154608022,460802,2,1558,38.1487153,-93.3091709,"8"
290179501001,950100,1,1215,37.5384525,-89.9283566,"2"
290179501002,950100,2,721,37.5489916,-90.0893083,"2"
290179501003,950100,3,1134,37.4188323,-90.0704566,"2"
290179501004,950100,4,1045,37.4342812,-89.9304687,"2"
290179502001,950200,1,1380,37.3432088,-90.006861,"2"
290179502002,950200,2,951,37.289911,-90.0293538,"2"
290179502003,950200,3,818,37.2700774,-89.9667325,"2"
290179502004,950200,4,709,37.3286304,-89.9695682,"2"
290179503001,950300,1,1227,37.1932179,-89.9737449,"2"
290179503002,950300,2,884,37.1870585,-90.1509394,"2"
290179503003,950300,3,483,37.0911847,-90.0540011,"2"
290190002001,200,1,651,38.9594887,-92.3136631,"6"
290190002002,200,2,1047,38.9537726,-92.3166681,"6"
290190003001,300,1,552,38.948773,-92.3195668,"6"
290190003002,300,2,1025,38.9442456,-92.3195882,"6"
290190003003,300,3,1045,38.9440674,-92.3117283,"6"
290190005001,500,1,2495,38.9456697,-92.3338032,"6"
290190005002,500,2,1508,38.9463691,-92.3270625,"6"
290190005003,500,3,1223,38.9489311,-92.3237259,"6"
290190006001,600,1,1076,38.9450105,-92.3383636,"6"
290190006002,600,2,949,38.946039,-92.3488485,"6"
290190006003,600,3,1254,38.9502911,-92.3633458,"6"
290190006004,600,4,1279,38.9425742,-92.3616224,"6"
290190007001,700,1,670,38.9617922,-92.3483606,"6"
290190007002,700,2,1425,38.958732,-92.3572776,"6"
290190007003,700,3,1250,38.9552621,-92.3475787,"6"
290190009001,900,1,749,38.9645381,-92.3235173,"6"
290190009002,900,2,640,38.9653441,-92.3407649,"6"
290190010011,1001,1,761,38.9443223,-92.3015581,"6"
290190010012,1001,2,994,38.9577127,-92.3043007,"6"
290190010013,1001,3,583,38.9389612,-92.2962839,"6"
290190010014,1001,4,641,38.9333901,-92.3042469,"6"
290190010015,1001,5,2063,38.9232133,-92.3013137,"6"
290190010031,1003,1,2319,38.9546216,-92.2583605,"6"
290190010032,1003,2,1789,38.9512655,-92.281263,"6"
290190010041,1004,1,995,38.9200571,-92.2754199,"6"
290190010042,1004,2,872,38.9011659,-92.2757037,"6"
290190010043,1004,3,2303,38.9340681,-92.2801118,"6"
290190011051,1105,1,1330,38.9180638,-92.3258323,"6"
290190011052,1105,2,603,38.9296949,-92.3316555,"6"
290190011053,1105,3,409,38.9292445,-92.3172234,"6"
290190011054,1105,4,1008,38.9190271,-92.3113903,"6"
290190011061,1106,1,1417,38.8951657,-92.3234636,"6"
290190011062,1106,2,1178,38.9103934,-92.3086279,"6"
290190011063,1106,3,1606,38.9090207,-92.299591,"6"
290190011064,1106,4,2233,38.8979875,-92.293355,"6"
290190011071,1107,1,1003,38.9158235,-92.3844117,"6"
290190011072,1107,2,1248,38.9124991,-92.3399669,"6"
290190011073,1107,3,1661,38.9154017,-92.3625213,"6"
290190011081,1108,1,1457,38.9207043,-92.3545581,"6"
290190011082,1108,2,732,38.9191583,-92.3377432,"6"
290190011083,1108,3,712,38.9290974,-92.3454124,"6"
290190011091,1109,1,677,38.9056818,-92.3638606,"6"
290190011092,1109,2,1333,38.8939157,-92.355074,"6"
290190011093,1109,3,1463,38.894389,-92.3402919,"6"
290190011094,1109,4,2338,38.9037982,-92.340425,"6"
290190011101,1110,1,2893,38.8857241,-92.3693295,"6"
290190011102,1110,2,1611,38.8812524,-92.3519157,"6"
290190011103,1110,3,3219,38.882683,-92.3919319,"8"
290190012011,1201,1,1100,38.9505066,-92.3770605,"6"
290190012012,1201,2,1053,38.9392573,-92.3740023,"6"
290190012013,1201,3,1881,38.9412605,-92.3908042,"6"
290190012014,1201,4,2030,38.9515883,-92.3893606,"6"
290190012021,1202,1,1874,38.925764,-92.3953481,"6"
290190012022,1202,2,1129,38.9273719,-92.3750462,"6"
290190012023,1202,3,1286,38.9336904,-92.3613813,"6"
290190012024,1202,4,1026,38.9310276,-92.3833783,"6"
290190013001,1300,1,1163,38.9600625,-92.3668489,"6"
