"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
280010001011,101,1,1601,31.5368332,-91.2955374,"4"
280010001012,101,2,1622,31.5896449,-91.2231122,"4"
280010001013,101,3,857,31.4863728,-91.1817633,"4"
280010001021,102,1,1438,31.5088012,-91.3573709,"4"
280010001022,102,2,1055,31.4054498,-91.2915001,"4"
280010002001,200,1,1154,31.6760995,-91.3147908,"4"
280010002002,200,2,1006,31.6100794,-91.4746499,"4"
280010002003,200,3,1454,31.587522,-91.359356,"4"
280010003001,300,1,871,31.5708362,-91.3924108,"4"
280010003002,300,2,475,31.5742904,-91.3818461,"4"
280010003003,300,3,442,31.5702483,-91.3802893,"4"
280010004001,400,1,900,31.5598339,-91.3894691,"4"
280010004002,400,2,776,31.5625097,-91.3770887,"4"
280010004003,400,3,1107,31.566446,-91.3662603,"4"
280010005001,500,1,624,31.5670762,-91.3566177,"4"
280010005002,500,2,813,31.5768545,-91.3520099,"4"
280010005003,500,3,913,31.5835564,-91.3342999,"4"
280010005004,500,4,575,31.5702193,-91.3432623,"4"
280010005005,500,5,771,31.568188,-91.3190266,"4"
280010006001,600,1,571,31.5508005,-91.3703457,"4"
280010006002,600,2,965,31.5456362,-91.3867972,"4"
280010006003,600,3,582,31.5515229,-91.3935088,"4"
280010007001,700,1,585,31.5647003,-91.3987179,"4"
280010007002,700,2,1118,31.5557791,-91.4051499,"4"
280010008001,800,1,810,31.5338728,-91.4232231,"4"
280010008002,800,2,513,31.5070084,-91.4326688,"4"
280010008003,800,3,1430,31.4749919,-91.4426819,"4"
280010008004,800,4,513,31.3529246,-91.4615901,"4"
280010009001,900,1,1051,31.5198106,-91.3829465,"4"
280010009002,900,2,1261,31.5294681,-91.3941964,"4"
280010009003,900,3,789,31.5402008,-91.3706125,"4"
280010009004,900,4,896,31.5322655,-91.3750548,"4"
280039501001,950100,1,1486,34.9726985,-88.412762,"1"
280039501002,950100,2,1044,34.9476238,-88.4715114,"1"
280039501003,950100,3,1729,34.9426849,-88.4213488,"1"
280039501004,950100,4,1184,34.9191743,-88.4632471,"1"
280039502011,950201,1,733,34.9384431,-88.5123081,"1"
280039502012,950201,2,1303,34.9405101,-88.4995298,"1"
280039502013,950201,3,1205,34.9290602,-88.4917817,"1"
280039502021,950202,1,1653,34.9686114,-88.4944649,"1"
280039502022,950202,2,1204,34.9666353,-88.5176001,"1"
280039502023,950202,3,756,34.9488458,-88.5067528,"1"
280039503001,950300,1,1413,34.975115,-88.5582511,"1"
280039503002,950300,2,915,34.9520186,-88.550925,"1"
280039503003,950300,3,954,34.9421487,-88.5202848,"1"
280039504011,950401,1,1562,34.8998883,-88.6201045,"1"
280039504012,950401,2,1302,34.890312,-88.7488788,"1"
280039504021,950402,1,710,34.959061,-88.6345323,"1"
280039504022,950402,2,1235,34.958368,-88.7613299,"1"
280039505011,950501,1,1854,34.899965,-88.5659622,"1"
280039505012,950501,2,1173,34.8849993,-88.4839046,"1"
280039505013,950501,3,955,34.8758016,-88.5313415,"1"
280039505021,950502,1,882,34.9312465,-88.5271065,"1"
280039505022,950502,2,695,34.9230111,-88.5098618,"1"
280039505023,950502,3,933,34.9195237,-88.5341975,"1"
280039506001,950600,1,1349,34.8959048,-88.4080556,"1"
280039506002,950600,2,1374,34.8382638,-88.4433321,"1"
280039506003,950600,3,1071,34.7968572,-88.4116888,"1"
280039507001,950700,1,1208,34.8039065,-88.5202427,"1"
280039507002,950700,2,1627,34.8346614,-88.6550038,"1"
280039507003,950700,3,1231,34.7849558,-88.650032,"1"
280059501001,950100,1,819,31.2950384,-90.5829029,"4"
280059501002,950100,2,1016,31.2784448,-90.670013,"4"
280059501003,950100,3,1311,31.2672614,-90.7693681,"4"
280059501004,950100,4,650,31.1604558,-90.7917956,"4"
280059501005,950100,5,1081,31.1923611,-90.642707,"4"
280059502001,950200,1,944,31.2635714,-90.8618583,"4"
280059502002,950200,2,1106,31.2693234,-90.9805489,"4"
280059502003,950200,3,1351,31.1777212,-91.012346,"4"
280059503011,950301,1,1085,31.1414626,-90.9762075,"4"
280059503012,950301,2,979,31.0708984,-90.9464233,"4"
280059503021,950302,1,840,31.1207995,-90.6236293,"4"
280059503022,950302,2,711,31.0839219,-90.7884954,"4"
280059503023,950302,3,827,31.0319784,-90.6456565,"4"
280070601001,60100,1,1225,33.1909156,-89.409463,"2"
280070601002,60100,2,1199,33.1153674,-89.4966339,"2"
280070602001,60200,1,1357,33.1880368,-89.6508647,"2"
280070602002,60200,2,951,33.1002789,-89.6848814,"2"
280070603001,60300,1,1116,33.0033436,-89.6521446,"2"
280070603002,60300,2,965,33.0385908,-89.7697411,"2"
280070603003,60300,3,1014,32.9444661,-89.8052579,"2"
280070604001,60400,1,564,33.0038593,-89.3919496,"2"
280070604002,60400,2,1539,33.0202523,-89.5284834,"2"
280070604003,60400,3,632,32.9570016,-89.5277691,"2"
280070605001,60500,1,782,33.0425236,-89.5827355,"2"
280070605002,60500,2,857,33.062542,-89.5823131,"2"
280070605003,60500,3,1499,33.0664304,-89.5675819,"2"
280070605004,60500,4,788,33.0507355,-89.5817397,"2"
280070606001,60600,1,1043,33.0497059,-89.6088588,"2"
280070606002,60600,2,734,33.0533791,-89.5956143,"2"
280070606003,60600,3,1624,33.0696778,-89.6037569,"2"
280099501011,950101,1,1804,34.9286421,-89.2910813,"1"
280099501012,950101,2,860,34.8051296,-89.2500325,"1"
280099501021,950102,1,862,34.9603609,-89.121604,"1"
280099501022,950102,2,592,34.8608207,-89.117402,"1"
280099501023,950102,3,1304,34.7999561,-89.1610227,"1"
280099502001,950200,1,812,34.7086454,-89.201524,"1"
280099502002,950200,2,1412,34.6292701,-89.1876051,"1"
280119501001,950100,1,1167,34.0240792,-90.7230367,"1"
280119501002,950100,2,1468,33.9328556,-90.768992,"2"
280119501003,950100,3,453,34.0091998,-90.8891437,"1"
280119502001,950200,1,889,33.8604798,-90.9393448,"2"
280119502002,950200,2,1114,33.8473825,-90.9941356,"2"
280119502003,950200,3,513,33.8418931,-91.0444705,"2"
280119503001,950300,1,489,33.8964394,-90.7256532,"2"
280119503002,950300,2,891,33.8681643,-90.7193191,"2"
280119503003,950300,3,922,33.8697656,-90.7352352,"2"
280119503004,950300,4,602,33.8614631,-90.7870695,"2"
280119504001,950400,1,999,33.7087783,-90.9343593,"2"
280119504002,950400,2,534,33.6350016,-91.004573,"2"
280119504003,950400,3,326,33.5902388,-91.0548249,"2"
280119504004,950400,4,1267,33.5657615,-90.812633,"2"
280119504005,950400,5,658,33.6102317,-90.7791931,"2"
280119505001,950500,1,1963,33.797763,-90.7281567,"2"
280119505002,950500,2,1695,33.7110267,-90.7706173,"2"
280119505003,950500,3,1446,33.6819849,-90.7025434,"2"
280119506011,950601,1,1611,33.7268698,-90.743939,"2"
280119506012,950601,2,1230,33.7429745,-90.7282952,"2"
280119506021,950602,1,1259,33.757546,-90.7465918,"2"
280119506022,950602,2,1298,33.7402652,-90.7522373,"2"
280119506023,950602,3,1224,33.741827,-90.7376333,"2"
280119507011,950701,1,1261,33.75509,-90.7122793,"2"
280119507012,950701,2,1107,33.7441253,-90.7119075,"2"
280119507013,950701,3,1685,33.7375781,-90.7034383,"2"
280119507021,950702,1,1739,33.7264125,-90.719426,"2"
280119507022,950702,2,1175,33.7372707,-90.71743,"2"
280139501001,950100,1,1289,33.9912923,-89.234354,"1"
280139501002,950100,2,1020,34.1065213,-89.3663307,"1"
280139501003,950100,3,1289,34.0192369,-89.4331077,"1"
280139502001,950200,1,941,33.9891448,-89.3347297,"1"
280139502002,950200,2,575,33.9898843,-89.3490371,"1"
280139503001,950300,1,1105,33.9091328,-89.4138567,"1"
280139503002,950300,2,1100,33.8394434,-89.4145703,"1"
280139503003,950300,3,738,33.7674039,-89.3535041,"2"
280139504001,950400,1,1202,33.8782714,-89.1770144,"1"
280139504002,950400,2,1062,33.9112701,-89.2301207,"1"
280139504003,950400,3,541,33.8080078,-89.2064903,"1"
280139505001,950500,1,1020,33.8571936,-89.2928934,"1"
280139505002,950500,2,803,33.8623375,-89.309513,"1"
280139505003,950500,3,581,33.8479521,-89.3275684,"1"
280159501001,950100,1,1393,33.5824206,-89.8511768,"2"
280159501002,950100,2,802,33.6279129,-90.0084532,"2"
280159501003,950100,3,1499,33.5388215,-89.9819664,"2"
280159501004,950100,4,1229,33.5207855,-89.9144129,"2"
280159502011,950201,1,924,33.4232855,-89.8581491,"2"
280159502012,950201,2,1019,33.3275235,-89.9298566,"2"
280159502013,950201,3,1051,33.3329704,-89.7568714,"2"
280159502014,950201,4,638,33.362804,-89.6778038,"2"
280159502021,950202,1,1443,33.3915841,-90.0711056,"2"
280179501001,950100,1,1040,34.0138193,-88.7972205,"1"
280179501002,950100,2,619,34.0165285,-88.7590203,"1"
280179501003,950100,3,841,33.9844853,-88.7457358,"1"
280179501004,950100,4,1151,34.0085732,-88.7393123,"1"
280179502001,950200,1,953,34.039927,-89.0280846,"1"
280179502002,950200,2,1405,33.993235,-89.093988,"1"
280179502003,950200,3,1148,34.0001669,-88.970659,"1"
280179503001,950300,1,1155,33.9332767,-88.9475579,"1"
280179503002,950300,2,946,33.9236373,-89.0274238,"1"
280179503003,950300,3,1211,33.8931012,-88.9651636,"1"
280179503004,950300,4,1471,33.8905049,-89.020855,"1"
280179504011,950401,1,1369,33.9026128,-88.8618752,"1"
280179504012,950401,2,852,33.8775389,-88.7655266,"1"
280179504021,950402,1,1187,33.8715798,-89.0674965,"1"
280179504022,950402,2,907,33.7788447,-89.1018828,"1"
280179504023,950402,3,851,33.8012127,-88.9689776,"1"
280199501001,950100,1,908,33.4694093,-89.1279884,"2"
280199501002,950100,2,593,33.4829338,-89.2356706,"2"
280199501003,950100,3,957,33.3935966,-89.3239152,"2"
280199502001,950200,1,840,33.3132146,-89.4012619,"2"
280199502002,950200,2,1074,33.3265452,-89.2663551,"2"
280199502003,950200,3,1078,33.2996473,-89.1463645,"2"
280199502004,950200,4,1113,33.1808125,-89.2663858,"2"
280199503001,950300,1,1053,33.3255487,-89.1537978,"2"
280199503002,950300,2,630,33.3025977,-89.1763707,"2"
280219501001,950100,1,1189,32.0541286,-90.7873127,"4"
280219501002,950100,2,1190,32.0259692,-90.9616409,"4"
280219501003,950100,3,754,31.9765309,-91.114701,"4"
280219502001,950200,1,710,31.9612337,-90.9821534,"4"
280219502002,950200,2,484,31.9475732,-90.9778446,"4"
280219503001,950300,1,1205,31.8816184,-91.165143,"4"
280219503002,950300,2,1229,31.9264543,-91.0713487,"4"
280219503003,950300,3,1360,31.8862143,-90.942549,"4"
280219503004,950300,4,1014,31.8680428,-90.8248139,"4"
280239501001,950100,1,877,32.1919478,-88.5973103,"2"
280239501002,950100,2,1333,32.1174343,-88.5678001,"2"
280239501003,950100,3,520,31.998535,-88.5295707,"2"
280239501004,950100,4,695,32.0153086,-88.6481666,"2"
280239501005,950100,5,585,31.8893513,-88.6456349,"2"
280239502011,950201,1,1037,32.2003257,-88.7316476,"2"
280239502012,950201,2,1619,32.1773749,-88.8565561,"2"
280239502013,950201,3,1283,32.1450279,-88.7998134,"2"
280239502021,950202,1,844,32.0914863,-88.7371036,"2"
280239502022,950202,2,945,32.0712392,-88.8210617,"2"
280239503001,950300,1,930,31.9910434,-88.8694861,"2"
280239503002,950300,2,1388,31.9480323,-88.7413158,"2"
280239503003,950300,3,443,31.8657491,-88.7090488,"2"
280239503004,950300,4,453,31.8717329,-88.8267337,"2"
280239504001,950400,1,989,32.0577758,-88.7334485,"2"
280239504002,950400,2,906,32.055245,-88.7008859,"2"
280239504003,950400,3,768,32.0107258,-88.7160309,"2"
280259501001,950100,1,1292,33.7341969,-88.7792723,"1"
280259501002,950100,2,915,33.6504655,-88.8026866,"2"
280259501003,950100,3,1324,33.598977,-88.7439538,"2"
280259501004,950100,4,1715,33.6450272,-88.6759788,"2"
280259502001,950200,1,1261,33.7176259,-88.9057041,"2"
