"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
300010001001,100,1,578,45.5728694,-113.4119222,"2"
300010001002,100,2,661,44.8088707,-112.658532,"2"
300010002001,200,1,935,45.2765508,-112.6409177,"2"
300010002002,200,2,991,45.3578769,-112.5772396,"2"
300010002003,200,3,981,44.9948002,-112.5708965,"2"
300010002004,200,4,1033,45.3607136,-112.8818137,"2"
300010003001,300,1,1080,45.2307972,-112.6055304,"2"
300010003002,300,2,809,45.2089471,-112.659815,"2"
300010003003,300,3,964,45.2110816,-112.6436249,"2"
300010003004,300,4,1339,45.2103776,-112.6039822,"2"
300030001001,100,1,1131,45.7331533,-107.6044652,"1"
300030001002,100,2,1933,45.7298502,-107.6364006,"1"
300030001003,100,3,970,45.7278012,-107.616092,"1"
300030001004,100,4,630,45.843087,-107.5347703,"1"
300039404001,940400,1,1780,45.1629157,-106.7917678,"1"
300039405001,940500,1,654,45.2668182,-107.8683118,"1"
300039405002,940500,2,777,45.4215146,-108.1657974,"1"
300039406001,940600,1,1512,45.5934504,-107.5068167,"1"
300039406002,940600,2,1566,45.6228731,-107.2508913,"1"
300039407001,940700,1,1213,45.2073046,-107.4031079,"1"
300039407002,940700,2,958,45.3151566,-107.3708535,"1"
300050001001,100,1,1493,48.7620266,-108.6250542,"1"
300050002001,200,1,1024,48.3323779,-109.2584806,"1"
300050002002,200,2,1282,48.5916069,-109.2349668,"1"
300059401001,940100,1,1656,48.3601602,-108.655007,"1"
300059402001,940200,1,758,48.0760432,-108.8509869,"1"
300059402002,940200,2,831,48.1398587,-108.5664933,"1"
300070001001,100,1,990,46.3765242,-111.498727,"1"
300070001002,100,2,1093,46.3041141,-111.5247507,"1"
300070002001,200,1,2122,46.1914503,-111.6368356,"2"
300070002002,200,2,1461,46.4265064,-111.3745215,"1"
300070002003,200,3,1108,46.4811079,-111.6080177,"2"
300090001001,100,1,721,45.4945159,-109.0532175,"1"
300090001002,100,2,645,45.487669,-108.9630277,"1"
300090001003,100,3,1321,45.5348048,-108.8898389,"1"
300090002001,200,1,968,45.3027877,-109.002906,"1"
300090002002,200,2,795,45.3108396,-108.9188751,"1"
300090003001,300,1,1308,45.2186424,-109.2519133,"1"
300090003002,300,2,576,45.1871934,-109.2462903,"1"
300090003003,300,3,622,45.2016971,-109.223087,"1"
300090004001,400,1,1071,45.3721603,-109.2776352,"1"
300090004002,400,2,549,45.2938685,-109.3876899,"1"
300090004003,400,3,589,45.0870548,-109.5583917,"1"
300090005001,500,1,1308,45.1886615,-108.750405,"1"
300110003001,300,1,777,45.9540128,-104.6787214,"1"
300110003002,300,2,638,45.4142288,-104.51724,"1"
300130001001,100,1,1697,47.5099149,-111.2312705,"1"
300130001002,100,2,888,47.524302,-111.2307877,"1"
300130002001,200,1,970,47.5182932,-111.2546203,"1"
300130002002,200,2,1140,47.5088897,-111.2467373,"1"
300130002003,200,3,1448,47.5089387,-111.2580947,"1"
300130003001,300,1,826,47.5157553,-111.2728006,"1"
300130003002,300,2,1091,47.5112107,-111.2728884,"1"
300130003003,300,3,734,47.5084832,-111.2729058,"1"
300130003004,300,4,766,47.5062724,-111.2729375,"1"
300130004001,400,1,978,47.5156718,-111.2859006,"1"
300130004002,400,2,739,47.5074152,-111.2859656,"1"
300130007001,700,1,1081,47.5008788,-111.2938524,"1"
300130007002,700,2,983,47.4987068,-111.3034813,"1"
300130008001,800,1,932,47.5024648,-111.2860088,"1"
300130008002,800,2,803,47.4970004,-111.2860567,"1"
300130009001,900,1,752,47.5023818,-111.268624,"1"
300130009002,900,2,674,47.4969079,-111.2686753,"1"
300130009003,900,3,1336,47.4969545,-111.2773591,"1"
300130009004,900,4,621,47.5024265,-111.2773054,"1"
300130010001,1000,1,1079,47.5017294,-111.2468146,"1"
300130010002,1000,2,996,47.4962818,-111.2530004,"1"
300130010003,1000,3,648,47.500138,-111.2581828,"1"
300130010004,1000,4,648,47.5034334,-111.2581432,"1"
300130011001,1100,1,901,47.4997474,-111.2148876,"1"
300130011002,1100,2,997,47.4995614,-111.2217843,"1"
300130011003,1100,3,1091,47.4967688,-111.2355549,"1"
300130011004,1100,4,1308,47.5031378,-111.2343976,"1"
300130012011,1201,1,244,47.5093943,-111.2092631,"1"
300130012012,1201,2,1550,47.5157811,-111.207126,"1"
300130012021,1202,1,1027,47.5108494,-111.1991482,"1"
300130012022,1202,2,1337,47.5034806,-111.1738994,"1"
300130016001,1600,1,818,47.5113792,-111.325419,"2"
300130016002,1600,2,1059,47.5052723,-111.3228514,"1"
300130016003,1600,3,939,47.5092781,-111.3340978,"2"
300130016004,1600,4,738,47.4994783,-111.3267469,"2"
300130016005,1600,5,714,47.5143837,-111.3356845,"2"
300130017001,1700,1,579,47.5170605,-111.3877053,"2"
300130017002,1700,2,911,47.5034855,-111.3503381,"2"
300130017003,1700,3,561,47.4929088,-111.3449333,"2"
300130018001,1800,1,716,47.5212385,-111.300611,"1"
300130018002,1800,2,867,47.5263451,-111.3170744,"1"
300130018003,1800,3,692,47.5304466,-111.3194608,"2"
300130018004,1800,4,1367,47.5284666,-111.3330482,"2"
300130019001,1900,1,1485,47.5344331,-111.2918879,"1"
300130019002,1900,2,2187,47.5292901,-111.3029439,"1"
300130019003,1900,3,2997,47.5447419,-111.3047908,"1"
300130021001,2100,1,1510,47.4689697,-111.2120808,"1"
300130021002,2100,2,1219,47.4897723,-111.2463901,"1"
300130021003,2100,3,2201,47.4853039,-111.2615718,"1"
300130021004,2100,4,936,47.491204,-111.2661295,"1"
300130022011,2201,1,1220,47.4741937,-111.3128702,"1"
300130022012,2201,2,1987,47.4548419,-111.2934917,"1"
300130022021,2202,1,761,47.4880059,-111.2898603,"1"
300130022022,2202,2,1385,47.4785551,-111.2839683,"1"
300130022023,2202,3,1313,47.4905627,-111.2793326,"1"
300130023011,2301,1,2599,47.4562147,-111.3136,"1"
300130023012,2301,2,1179,47.4842833,-111.3334738,"2"
300130023013,2301,3,1484,47.4800665,-111.3204557,"1"
300130023021,2302,1,2420,47.4415045,-111.3685391,"2"
300130101001,10100,1,1752,47.5345915,-111.4883659,"2"
300130101002,10100,2,951,47.5277484,-111.2599563,"1"
300130101003,10100,3,1234,47.631766,-111.3288702,"2"
300130104001,10400,1,667,47.2890392,-111.7446235,"2"
300130104002,10400,2,503,47.2892206,-111.872686,"2"
300130104003,10400,3,631,47.0748475,-111.6883679,"2"
300130106001,10600,1,1188,47.1664851,-111.1065228,"1"
300130106002,10600,2,903,47.3986634,-110.8987119,"1"
300130106003,10600,3,759,47.3524709,-111.1720507,"1"
300130106004,10600,4,1082,47.3620667,-110.9267816,"1"
300130107001,10700,1,1931,47.4520645,-111.5595519,"2"
300130107002,10700,2,1326,47.543198,-111.6414495,"2"
300130107003,10700,3,1579,47.4650513,-111.8564082,"2"
300130108001,10800,1,896,47.5107429,-111.3034641,"1"
300130108002,10800,2,1166,47.5090708,-111.2975894,"1"
300130108003,10800,3,717,47.5058627,-111.298198,"1"
300150102001,10200,1,647,47.9399021,-110.9984915,"1"
300150102002,10200,2,1463,47.829236,-110.651153,"1"
300150103001,10300,1,637,48.1972892,-110.1013457,"1"
300150103002,10300,2,1121,47.6851046,-110.3689734,"1"
300150103003,10300,3,666,48.0527038,-110.070308,"1"
300150103004,10300,4,1361,48.2311348,-109.8511498,"1"
300179613001,961300,1,1215,46.087899,-105.5542429,"1"
300179613002,961300,2,844,46.5547018,-105.6053107,"1"
300179615001,961500,1,759,46.4140001,-105.857917,"1"
300179615002,961500,2,968,46.4254345,-105.8280112,"1"
300179616001,961600,1,974,46.4059349,-105.8163747,"1"
300179616002,961600,2,685,46.4099798,-105.8320756,"1"
300179616003,961600,3,685,46.4187885,-105.8104611,"1"
300179618001,961800,1,805,46.4014017,-105.838253,"1"
300179618002,961800,2,731,46.4058367,-105.8388605,"1"
300179619001,961900,1,924,46.3920632,-105.8405156,"1"
300179619002,961900,2,1105,46.3903484,-105.8195736,"1"
300179620001,962000,1,688,46.4028897,-105.8538457,"1"
300179620002,962000,2,734,46.4097242,-105.8470935,"1"
300179620003,962000,3,750,46.4134742,-105.838343,"1"
300190203001,20300,1,590,48.794429,-105.5417385,"1"
300190203002,20300,2,1071,48.7512492,-105.4987826,"1"
300210001001,100,1,701,47.1062275,-104.9987824,"1"
300210001002,100,2,691,47.4726391,-104.9809765,"1"
300210002001,200,1,820,47.1194072,-104.7318357,"1"
300210002002,200,2,746,47.094885,-104.7470597,"1"
300210002003,200,3,1187,47.0731595,-104.8026143,"1"
300210003001,300,1,2030,47.1097668,-104.6725384,"1"
300210003002,300,2,650,47.1079134,-104.714367,"1"
300210003003,300,3,672,47.1046441,-104.7087153,"1"
300210003004,300,4,739,47.0909844,-104.7213646,"1"
300210003005,300,5,704,47.073541,-104.7007838,"1"
300230003001,300,1,1102,46.0746433,-112.9034625,"2"
300230003002,300,2,955,46.1283425,-112.9454549,"2"
300230003003,300,3,965,46.1245939,-112.9495222,"2"
300230004001,400,1,1021,46.1074661,-112.9915308,"2"
300230004002,400,2,800,46.1326918,-112.9636652,"2"
300230004003,400,3,866,46.1297451,-112.9577816,"2"
300230004004,400,4,718,46.1265143,-112.9589654,"2"
300230005001,500,1,946,46.2099326,-112.7875345,"2"
300230005002,500,2,797,46.0175935,-113.1768441,"2"
300230005003,500,3,486,46.1179052,-112.8250213,"2"
300230005004,500,4,765,46.1505169,-113.0176761,"2"
300250001001,100,1,1038,46.3181841,-104.4057182,"1"
300250001002,100,2,1158,46.3578306,-104.3015644,"1"
300250001003,100,3,853,46.3394411,-104.2523521,"1"
300270301001,30100,1,1165,47.3653049,-109.6481601,"1"
300270301002,30100,2,1276,47.33043,-108.875161,"1"
300270301003,30100,3,1217,47.091352,-109.2369171,"1"
300270301004,30100,4,1422,46.8865245,-109.5095544,"1"
300270302011,30201,1,945,47.0728593,-109.4195265,"1"
300270302012,30201,2,1060,47.0581242,-109.4206057,"1"
300270302013,30201,3,1295,47.0382049,-109.4360515,"1"
300270302021,30202,1,1017,47.0645977,-109.4314363,"1"
300270302022,30202,2,1162,47.0625689,-109.4504016,"1"
