"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
370010201001,20100,1,1329,36.0991247,-79.4483765,"9"
370010201002,20100,2,1255,36.0922109,-79.4507937,"9"
370010201003,20100,3,789,36.0835374,-79.4454912,"9"
370010201004,20100,4,667,36.0938695,-79.4366101,"9"
370010202001,20200,1,1020,36.0889142,-79.4121205,"9"
370010202002,20200,2,678,36.0993598,-79.4265346,"9"
370010202003,20200,3,944,36.0884811,-79.42369,"9"
370010202004,20200,4,1495,36.0949595,-79.4202312,"9"
370010203011,20301,1,976,36.1128451,-79.4080483,"9"
370010203012,20301,2,1312,36.1018853,-79.4130232,"9"
370010203013,20301,3,1925,36.1012353,-79.4005162,"9"
370010203021,20302,1,1560,36.0990988,-79.3914377,"9"
370010203022,20302,2,2414,36.0898606,-79.388836,"9"
370010204001,20400,1,2394,36.1290653,-79.4352619,"9"
370010204002,20400,2,1494,36.1144038,-79.4210175,"9"
370010204003,20400,3,702,36.107535,-79.428617,"9"
370010204004,20400,4,882,36.1031513,-79.4258333,"9"
370010204005,20400,5,1084,36.1102971,-79.4395788,"9"
370010205011,20501,1,2667,36.1185305,-79.4787097,"9"
370010205012,20501,2,1298,36.1051544,-79.4792253,"9"
370010205021,20502,1,2567,36.1143709,-79.4515972,"9"
370010205022,20502,2,1022,36.1035555,-79.4405978,"9"
370010205023,20502,3,710,36.1096227,-79.4602229,"9"
370010206011,20601,1,887,36.0956641,-79.4825504,"9"
370010206012,20601,2,921,36.0922417,-79.4903921,"9"
370010206013,20601,3,1362,36.085411,-79.4751228,"9"
370010206021,20602,1,688,36.1039902,-79.4587156,"9"
370010206022,20602,2,1821,36.0941794,-79.4652879,"9"
370010207011,20701,1,906,36.0787292,-79.4871056,"9"
370010207012,20701,2,1520,36.0759593,-79.470947,"9"
370010207013,20701,3,1100,36.0714897,-79.4827722,"9"
370010207014,20701,4,1492,36.0623713,-79.4817997,"9"
370010207021,20702,1,1393,36.0778925,-79.4581525,"9"
370010207022,20702,2,1311,36.0736811,-79.4512964,"9"
370010207023,20702,3,1342,36.069547,-79.4607082,"9"
370010207024,20702,4,1017,36.056576,-79.4625633,"9"
370010208011,20801,1,1930,36.0490131,-79.4493095,"9"
370010208021,20802,1,797,36.0866571,-79.4314481,"9"
370010208022,20802,2,1210,36.0837529,-79.4356526,"9"
370010208023,20802,3,1335,36.0752756,-79.4308761,"9"
370010208024,20802,4,883,36.0781998,-79.4248183,"9"
370010208025,20802,5,802,36.0806445,-79.4176261,"9"
370010208026,20802,6,1148,36.0719305,-79.420369,"9"
370010209011,20901,1,1414,36.0663562,-79.4071378,"9"
370010209012,20901,2,1029,36.0540081,-79.4073212,"9"
370010209013,20901,3,1428,36.052597,-79.4244212,"9"
370010209021,20902,1,2336,36.0295019,-79.4190372,"9"
370010209022,20902,2,1551,36.0365091,-79.4036694,"9"
370010210001,21000,1,1145,36.0741823,-79.3940845,"9"
370010210002,21000,2,1909,36.0800423,-79.3965913,"9"
370010210003,21000,3,1037,36.0734185,-79.4065332,"9"
370010211011,21101,1,599,36.0746165,-79.3807681,"9"
370010211012,21101,2,2707,36.0659711,-79.371313,"9"
370010211013,21101,3,678,36.0626783,-79.3874283,"9"
370010211021,21102,1,1193,36.0563564,-79.3894359,"9"
370010211022,21102,2,1171,36.047635,-79.3831212,"9"
