"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
310019654001,965400,1,1505,40.6589823,-98.3654445,"2"
310019654002,965400,2,1391,40.6342432,-98.6149964,"2"
310019654003,965400,3,1638,40.6009459,-98.4896833,"2"
310019655001,965500,1,1520,40.6154654,-98.4092742,"2"
310019655002,965500,2,880,40.5970574,-98.387831,"2"
310019655003,965500,3,1024,40.5977447,-98.3965782,"2"
310019655004,965500,4,914,40.5926323,-98.3983537,"2"
310019656001,965600,1,874,40.6092642,-98.3589775,"2"
310019656002,965600,2,1657,40.5929855,-98.3582642,"2"
310019656003,965600,3,1502,40.5874475,-98.3558143,"2"
310019656004,965600,4,1466,40.5887086,-98.3789437,"2"
310019657001,965700,1,703,40.5868341,-98.3892208,"2"
310019657002,965700,2,581,40.5916178,-98.3892735,"2"
310019658001,965800,1,749,40.5884465,-98.4007065,"2"
310019658002,965800,2,755,40.585062,-98.4046952,"2"
310019658003,965800,3,864,40.5870396,-98.4152863,"2"
310019659001,965900,1,1219,40.6074774,-98.4355447,"2"
310019659002,965900,2,1101,40.5933798,-98.4064134,"2"
310019659003,965900,3,958,40.5935135,-98.4158472,"2"
310019659004,965900,4,1163,40.5884568,-98.4421406,"2"
310019660001,966000,1,865,40.5805167,-98.4010326,"2"
310019660002,966000,2,924,40.5779027,-98.3872497,"2"
310019660003,966000,3,1495,40.5563181,-98.370985,"2"
310019660004,966000,4,1358,40.5611415,-98.4293413,"2"
310019661001,966100,1,1198,40.5778726,-98.3745324,"2"
310019661002,966100,2,656,40.5628416,-98.3424011,"2"
310019662001,966200,1,796,40.4018709,-98.5431223,"2"
310019662002,966200,2,1449,40.4884367,-98.4868644,"2"
310039796001,979600,1,588,42.1978629,-98.0192003,"2"
310039796002,979600,2,557,42.3571111,-97.9414621,"2"
310039796003,979600,3,878,42.3566836,-98.1555061,"2"
310039797001,979700,1,716,42.1259887,-98.0077784,"2"
310039797002,979700,2,967,42.1341662,-98.0382691,"2"
310039798001,979800,1,657,42.0960684,-98.1934257,"2"
310039798002,979800,2,1005,41.9641659,-98.1618107,"2"
310039798003,979800,3,927,41.996784,-97.9402238,"2"
310059583001,958300,1,434,41.5719297,-101.6959166,"2"
310079540001,954000,1,674,41.5397495,-103.7262626,"2"
310099724001,972400,1,431,41.931945,-99.9964074,"2"
310119601001,960100,1,805,41.7443597,-98.0436009,"2"
310119601002,960100,2,679,41.8300878,-98.1950167,"2"
310119601003,960100,3,571,41.5791845,-98.0174926,"2"
310119601004,960100,4,616,41.5898041,-98.1938687,"2"
310119601005,960100,5,777,41.5587768,-97.876388,"2"
310119602001,960200,1,1098,41.693256,-98.0266008,"2"
310119602002,960200,2,833,41.663438,-98.0250448,"2"
310139511001,951100,1,1384,42.3409165,-103.1230508,"2"
310139511002,951100,2,833,42.1378993,-103.1120886,"2"
310139512001,951200,1,781,42.1075626,-102.8895763,"2"
310139512002,951200,2,1048,42.1317286,-102.89482,"2"
310139512003,951200,3,1049,42.1278761,-102.8668407,"2"
310139512004,951200,4,983,42.108606,-102.8672899,"2"
310139512005,951200,5,875,42.140126,-102.766178,"2"
310139513001,951300,1,1114,42.0980877,-102.8743325,"2"
310139513002,951300,2,554,42.0807409,-102.8892514,"2"
310139513003,951300,3,710,42.0489458,-102.8043106,"2"
310139513004,951300,4,1511,42.101772,-102.8664168,"2"
310159758001,975800,1,1082,42.889868,-98.5595244,"2"
310159758002,975800,2,728,42.9324308,-99.052511,"2"
310179750001,975000,1,1533,42.6780084,-99.9291608,"2"
310179750002,975000,2,1370,42.3595618,-99.9239198,"2"
310199689001,968900,1,839,40.9343776,-98.8966011,"2"
310199689002,968900,2,750,41.0398903,-98.902293,"2"
310199689003,968900,3,771,41.0170384,-98.9068656,"2"
310199689004,968900,4,1402,40.9653351,-99.2128201,"2"
310199690001,969000,1,1461,40.8081076,-99.1292287,"2"
310199690002,969000,2,639,40.8200985,-99.3048658,"2"
310199690003,969000,3,1227,40.7245434,-99.3871607,"2"
310199690004,969000,4,1395,40.7173514,-99.2582513,"2"
310199691001,969100,1,1048,40.8144776,-98.9055068,"2"
310199691002,969100,2,670,40.7091378,-98.8649796,"2"
310199691003,969100,3,1093,40.7788725,-98.7408153,"2"
310199691004,969100,4,1974,40.7498381,-98.8455678,"2"
310199692021,969202,1,2395,40.7065619,-99.1062518,"2"
310199692022,969202,2,1013,40.7093744,-99.0911513,"2"
310199692031,969203,1,3977,40.7385945,-99.0317884,"2"
310199692032,969203,2,1218,40.7211212,-99.0695858,"2"
310199692033,969203,3,1512,40.7218202,-99.0797849,"2"
310199692041,969204,1,2872,40.7393585,-99.0933917,"2"
310199692042,969204,2,1859,40.7396199,-99.1123928,"2"
310199692043,969204,3,1321,40.7073675,-99.145596,"2"
310199693001,969300,1,795,40.7056522,-99.0227593,"2"
310199693002,969300,2,1553,40.7090255,-99.0582495,"2"
310199694001,969400,1,1035,40.7103835,-99.0681403,"2"
310199694002,969400,2,727,40.6996914,-99.0725778,"2"
310199694003,969400,3,1159,40.7100807,-99.0777393,"2"
310199694004,969400,4,1072,40.7045167,-99.0707924,"2"
310199695001,969500,1,716,40.7020123,-99.0802477,"2"
310199695002,969500,2,690,40.702086,-99.0857107,"2"
310199695003,969500,3,816,40.6939915,-99.0831654,"2"
310199696001,969600,1,1097,40.7026987,-99.0935941,"2"
310199696002,969600,2,1412,40.6995916,-99.0950936,"2"
310199696003,969600,3,728,40.6959459,-99.0954052,"2"
310199696004,969600,4,2223,40.6972541,-99.1117107,"2"
310199697001,969700,1,656,40.6920528,-99.0301475,"2"
310199697002,969700,2,1582,40.6876103,-99.0769977,"2"
310199697003,969700,3,2105,40.6893779,-99.0960447,"2"
310199697004,969700,4,2282,40.672953,-99.08682,"2"
310219632001,963200,1,825,41.7937633,-96.4350555,"3"
310219632002,963200,2,1397,41.8373623,-96.4510805,"3"
310219633001,963300,1,1520,41.839447,-96.2190428,"3"
310219633002,963300,2,1032,41.734349,-96.2174529,"3"
310219634001,963400,1,1077,41.9522559,-96.3567917,"3"
310219634002,963400,2,871,41.9471131,-96.4527559,"3"
310239676001,967600,1,1097,41.3283394,-96.9943728,"2"
310239676002,967600,2,1245,41.3480861,-97.2489915,"2"
310239676003,967600,3,868,41.2577156,-97.2672525,"2"
310239677001,967700,1,1847,41.2521572,-97.0905576,"2"
310239677002,967700,2,1319,41.2520079,-97.1471208,"2"
310239678001,967800,1,1118,41.1258347,-96.9951887,"2"
310239678002,967800,2,875,41.1264289,-97.2252,"2"
310259656001,965600,1,1296,40.9878963,-95.9254723,"1"
310259656002,965600,2,763,41.0269778,-95.9047554,"3"
310259656003,965600,3,953,41.0314737,-95.887696,"3"
310259656004,965600,4,758,41.0116075,-95.8876964,"3"
310259657001,965700,1,2420,41.0294344,-96.0273203,"1"
310259657002,965700,2,1177,40.9556908,-96.07088,"1"
310259657003,965700,3,1960,41.0013724,-96.1589886,"1"
310259658001,965800,1,1252,40.9034287,-96.3427992,"1"
310259658002,965800,2,995,40.9919335,-96.2846004,"1"
310259658003,965800,3,949,40.9768115,-96.3997549,"1"
310259659001,965900,1,625,40.8401969,-96.1115472,"1"
310259659002,965900,2,1179,40.8816879,-96.1678627,"1"
310259659003,965900,3,1062,40.8338468,-96.283532,"1"
310259659004,965900,4,2136,40.8056154,-96.3981225,"1"
310259660001,966000,1,644,40.8931657,-95.9734771,"1"
310259660002,966000,2,2129,40.8970779,-95.8574553,"1"
310259660003,966000,3,1071,40.8264011,-95.9497134,"1"
310259660004,966000,4,674,40.9241098,-95.9044358,"1"
310259661001,966100,1,1471,40.9624029,-95.8683352,"3"
310259661002,966100,2,1538,40.9891238,-95.9027405,"3"
310259661003,966100,3,775,41.0056671,-95.8954682,"3"
310259661004,966100,4,771,41.004627,-95.8875265,"3"
310279771001,977100,1,1217,42.7081653,-97.1479547,"2"
310279771002,977100,2,767,42.599772,-97.2961354,"2"
310279771003,977100,3,639,42.7728464,-97.4167711,"2"
310279771004,977100,4,852,42.7212443,-97.3523291,"2"
310279771005,977100,5,983,42.635711,-97.3008225,"2"
310279772001,977200,1,888,42.4751578,-97.1389007,"2"
310279772002,977200,2,1046,42.4376647,-97.0907391,"2"
310279772003,977200,3,930,42.5204413,-97.3580771,"2"
310279772004,977200,4,1058,42.416952,-97.3187056,"2"
310299619001,961900,1,600,40.6195618,-101.717632,"2"
310299619002,961900,2,969,40.5058294,-101.6389191,"2"
310299619003,961900,3,1122,40.4048044,-101.5757728,"2"
