"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
330019651001,965100,1,1040,43.7027754,-71.5104427,"1"
330019651002,965100,2,1178,43.6511696,-71.6135268,"2"
330019651003,965100,3,1199,43.5849693,-71.6826051,"2"
330019652001,965200,1,1246,43.6533674,-71.4325376,"1"
330019652002,965200,2,883,43.6618789,-71.4876332,"1"
330019652003,965200,3,853,43.6691439,-71.5055759,"1"
330019653001,965300,1,1030,43.5878624,-71.5769608,"1"
330019653002,965300,2,1460,43.6327335,-71.5122837,"1"
330019653003,965300,3,1190,43.6458672,-71.4970972,"1"
330019654001,965400,1,979,43.5267505,-71.5288905,"1"
330019654002,965400,2,2047,43.5296334,-71.6143217,"2"
330019655981,965598,1,1361,43.4471884,-71.6079499,"2"
330019655982,965598,2,1341,43.4645379,-71.5959725,"2"
330019655983,965598,3,1260,43.4792656,-71.5462631,"1"
330019656001,965600,1,1349,43.3952459,-71.4061354,"1"
330019656002,965600,2,1564,43.4254815,-71.3673555,"1"
330019656003,965600,3,1032,43.45631,-71.3224466,"1"
330019657001,965700,1,2230,43.3730428,-71.2260242,"1"
330019657002,965700,2,1505,43.3312469,-71.2328296,"1"
330019657003,965700,3,1180,43.3815767,-71.2947998,"1"
330019658011,965801,1,1041,43.4581286,-71.506397,"1"
330019658012,965801,2,1435,43.4961936,-71.484772,"1"
330019658013,965801,3,763,43.4829652,-71.5141276,"1"
330019658021,965802,1,1931,43.479148,-71.4496499,"1"
330019658022,965802,2,818,43.4370013,-71.4956818,"1"
330019658023,965802,3,1326,43.4353879,-71.4558139,"1"
330019659001,965900,1,985,43.5096502,-71.4525335,"1"
330019659002,965900,2,756,43.5259749,-71.4650176,"1"
330019659003,965900,3,1002,43.5296223,-71.4631123,"1"
330019659004,965900,4,1349,43.5234614,-71.456214,"1"
330019660001,966000,1,992,43.5147993,-71.4656836,"1"
330019660002,966000,2,623,43.5171026,-71.4745342,"1"
330019660003,966000,3,963,43.5265654,-71.4747909,"1"
330019660004,966000,4,1114,43.5343073,-71.4860355,"1"
330019660005,966000,5,1360,43.5755904,-71.5084002,"1"
330019661001,966100,1,1017,43.5320916,-71.4681695,"1"
330019661002,966100,2,1224,43.544821,-71.4784835,"1"
330019661003,966100,3,841,43.5650835,-71.46474,"1"
330019661004,966100,4,606,43.5962417,-71.4871869,"1"
330019661005,966100,5,805,43.5982384,-71.4737471,"1"
330019662001,966200,1,1445,43.5918678,-71.4528247,"1"
330019662002,966200,2,1789,43.5447261,-71.4589467,"1"
330019664011,966401,1,1460,43.6110999,-71.3675435,"1"
330019664031,966403,1,1107,43.5473439,-71.4474548,"1"
330019664032,966403,2,1300,43.5598119,-71.4179363,"1"
330019664033,966403,3,1550,43.5588817,-71.3560635,"1"
330019664041,966404,1,864,43.5285418,-71.4237126,"1"
330019664042,966404,2,1418,43.5194993,-71.3758377,"1"
330019665011,966501,1,1517,43.4017925,-71.21898,"1"
330019665012,966501,2,1565,43.5125601,-71.2948927,"1"
330019665021,966502,1,1456,43.4981303,-71.2053916,"1"
330019665022,966502,2,794,43.5166875,-71.2412074,"1"
330019665023,966502,3,562,43.5320705,-71.2604928,"1"
330039551011,955101,1,2062,44.1721655,-71.2549813,"1"
330039551021,955102,1,792,44.1107245,-71.1586658,"1"
330039551022,955102,2,1037,44.0474989,-71.234278,"1"
330039551023,955102,3,537,44.1053585,-71.1158186,"1"
330039553011,955301,1,792,44.0405495,-71.0600612,"1"
330039553012,955301,2,946,44.0657729,-71.1263818,"1"
330039553013,955301,3,590,44.127498,-71.0606912,"1"
330039553014,955301,4,451,44.0503867,-71.1211222,"1"
330039553021,955302,1,1066,44.0370373,-71.15126,"1"
330039553022,955302,2,544,44.0246879,-71.1300866,"1"
330039553023,955302,3,1360,44.0062072,-71.1050752,"1"
330039554011,955401,1,687,43.9890455,-71.1327269,"1"
330039554012,955401,2,661,43.9696925,-71.132024,"1"
330039554013,955401,3,963,43.9452571,-71.1013141,"1"
330039554021,955402,1,718,43.9526656,-71.0430376,"1"
330039554022,955402,2,1385,43.979257,-71.0129382,"1"
330039555001,955500,1,1490,43.8931671,-71.0829631,"1"
330039555002,955500,2,1052,43.9259135,-71.131951,"1"
330039555003,955500,3,428,43.921573,-71.1804251,"1"
330039556011,955601,1,1283,43.7990664,-71.2901231,"1"
330039556012,955601,2,1466,43.8385644,-71.443132,"1"
330039556021,955602,1,1480,43.8918137,-71.2713128,"1"
330039556022,955602,2,808,43.9594503,-71.2742511,"1"
330039558011,955801,1,1014,43.7340984,-71.029959,"1"
330039558012,955801,2,677,43.7713429,-71.0289904,"1"
330039558021,955802,1,614,43.8240194,-71.0089415,"1"
330039558022,955802,2,360,43.7989843,-71.1307103,"1"
330039558023,955802,3,715,43.8306294,-71.1096929,"1"
330039559011,955901,1,1153,43.7626723,-71.2143576,"1"
330039559012,955901,2,1038,43.7820282,-71.1521007,"1"
330039559021,955902,1,1195,43.6809557,-71.0820499,"1"
330039559022,955902,2,986,43.7139285,-71.1464437,"1"
330039560001,956000,1,1182,43.6513992,-70.9978288,"1"
330039560002,956000,2,684,43.5282038,-70.9987149,"1"
330039560003,956000,3,587,43.5698275,-70.975369,"1"
330039560004,956000,4,1272,43.5708393,-71.0768206,"1"
330039560005,956000,5,1227,43.6149281,-71.0314091,"1"
330039560006,956000,6,1004,43.5228828,-71.0191718,"1"
330039561011,956101,1,1194,43.6499791,-71.179177,"1"
330039561012,956101,2,1005,43.6036311,-71.2324038,"1"
330039561013,956101,3,610,43.5819644,-71.2283981,"1"
330039561014,956101,4,663,43.5867096,-71.2647779,"1"
330039561021,956102,1,751,43.6433328,-71.1138176,"1"
330039561022,956102,2,850,43.5928449,-71.1574605,"1"
330039561023,956102,3,1343,43.564945,-71.1763161,"1"
330039563011,956301,1,796,43.7510385,-71.4462988,"1"
330039563012,956301,2,1443,43.6821896,-71.3798047,"1"
330039563021,956302,1,1327,43.7247587,-71.3445035,"1"
330039563022,956302,2,779,43.7337498,-71.3716094,"1"
330039563023,956302,3,573,43.763826,-71.3993339,"1"
330039564001,956400,1,1043,43.731589,-71.2550505,"1"
330039564002,956400,2,978,43.6492194,-71.2412118,"1"
330039564003,956400,3,446,43.6246189,-71.3074865,"1"
330059701001,970100,1,1572,43.0155603,-72.2911576,"2"
330059701002,970100,2,918,43.0917418,-72.3103211,"2"
330059701003,970100,3,946,43.1538054,-72.3194502,"2"
330059701004,970100,4,749,43.1385439,-72.2087693,"2"
330059702001,970200,1,932,43.1508385,-72.4360397,"2"
330059702002,970200,2,1471,43.0939602,-72.4004014,"2"
330059702003,970200,3,1230,43.0411079,-72.4074892,"2"
330059704011,970401,1,984,42.9485356,-72.068986,"2"
330059704012,970401,2,1532,42.8892794,-72.0698494,"2"
