"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
340010001001,100,1,1094,39.3599093,-74.4575124,"11"
340010001002,100,2,1240,39.3553378,-74.4660709,"11"
340010002001,200,1,1171,39.3457246,-74.458172,"11"
340010002002,200,2,986,39.3485957,-74.4626122,"11"
340010002003,200,3,740,39.3459939,-74.4641654,"11"
340010003001,300,1,1497,39.3550749,-74.4527964,"11"
340010003002,300,2,1535,39.3532616,-74.4524383,"11"
340010003003,300,3,995,39.3512741,-74.4584755,"11"
340010004001,400,1,1275,39.35058,-74.4515953,"11"
340010004002,400,2,858,39.3474601,-74.4545262,"11"
340010004003,400,3,1110,39.3530448,-74.444969,"11"
340010005001,500,1,946,39.3574809,-74.4456789,"11"
340010005002,500,2,2066,39.3573721,-74.4481225,"11"
340010011001,1100,1,1052,39.3667396,-74.4327388,"11"
340010011002,1100,2,969,39.3648097,-74.4354407,"11"
340010012001,1200,1,784,39.3689335,-74.4362396,"11"
340010012002,1200,2,1195,39.3718595,-74.4401842,"11"
340010012003,1200,3,855,39.3658608,-74.4409544,"11"
340010013001,1300,1,607,39.3743186,-74.4456767,"11"
340010013002,1300,2,1294,39.3911182,-74.4539964,"11"
340010014001,1400,1,1281,39.3804669,-74.4270847,"11"
340010014002,1400,2,1160,39.3723225,-74.4255333,"11"
340010014003,1400,3,1446,39.3701418,-74.4294633,"11"
340010015001,1500,1,1294,39.3672813,-74.4283122,"11"
340010015002,1500,2,618,39.3691188,-74.423531,"11"
340010019001,1900,1,848,39.3638111,-74.4146534,"11"
340010019002,1900,2,476,39.3651329,-74.4097537,"11"
340010023001,2300,1,837,39.3540562,-74.4364019,"11"
340010023002,2300,2,1921,39.3607607,-74.4423531,"11"
340010024001,2400,1,745,39.363456,-74.4316233,"11"
340010024002,2400,2,628,39.3580786,-74.4204812,"11"
340010024003,2400,3,417,39.3603282,-74.432539,"11"
340010024004,2400,4,630,39.3631389,-74.4255422,"11"
340010025001,2500,1,906,39.3670453,-74.4199729,"11"
340010025002,2500,2,1028,39.366682,-74.4143711,"11"
340010025003,2500,3,628,39.3694248,-74.4124576,"11"
340010025004,2500,4,1365,39.3742882,-74.416105,"11"
340010101011,10101,1,818,39.4167772,-74.365631,"11"
340010101012,10101,2,476,39.4115773,-74.3596758,"11"
340010101013,10101,3,875,39.4154378,-74.3735027,"11"
340010101014,10101,4,808,39.421252,-74.3715728,"11"
340010101021,10102,1,604,39.3969431,-74.3747789,"11"
340010101022,10102,2,349,39.4063153,-74.3664126,"11"
340010101023,10102,3,388,39.4029486,-74.3732437,"11"
340010101041,10104,1,482,39.387375,-74.3898958,"11"
340010101042,10104,2,716,39.3926138,-74.3902534,"11"
340010101051,10105,1,696,39.3825673,-74.4066733,"11"
340010101052,10105,2,827,39.385601,-74.4030972,"11"
340010101053,10105,3,677,39.3886057,-74.3999826,"11"
340010102001,10200,1,2168,39.4356453,-74.4938365,"11"
340010102002,10200,2,1423,39.4072399,-74.4916886,"11"
340010102003,10200,3,794,39.4291922,-74.5026693,"11"
340010102004,10200,4,1177,39.4399897,-74.5038325,"11"
340010102005,10200,5,1044,39.4403584,-74.511888,"11"
340010103001,10300,1,1314,39.4263153,-74.5174399,"11"
340010103002,10300,2,1217,39.4204871,-74.5063038,"11"
340010104011,10401,1,1533,39.5311,-74.6164954,"11"
340010104012,10401,2,3216,39.5302289,-74.5614399,"11"
340010104013,10401,3,1030,39.5020127,-74.5487731,"11"
340010104031,10403,1,2036,39.4759613,-74.5634208,"11"
340010104032,10403,2,2165,39.4647509,-74.5582794,"11"
340010104033,10403,3,3112,39.4716028,-74.5425955,"11"
340010105011,10501,1,1576,39.498958,-74.4696459,"11"
340010105012,10501,2,1028,39.5240527,-74.4808977,"11"
340010105013,10501,3,2103,39.485077,-74.4808114,"11"
340010105014,10501,4,2833,39.4885116,-74.3985611,"11"
340010105031,10503,1,2241,39.4883997,-74.4974358,"11"
340010105032,10503,2,1889,39.4781969,-74.5014417,"11"
340010105033,10503,3,1737,39.496251,-74.4975202,"11"
340010105034,10503,4,1682,39.4915308,-74.5141005,"11"
340010105051,10505,1,802,39.4313704,-74.4367916,"11"
340010105052,10505,2,2184,39.4627815,-74.4748948,"11"
340010105061,10506,1,2026,39.4528102,-74.5201458,"11"
340010105062,10506,2,1719,39.4648817,-74.5205875,"11"
340010105063,10506,3,1508,39.4597192,-74.5016695,"11"
340010106001,10600,1,955,39.5661317,-74.5902618,"11"
340010106002,10600,2,1354,39.5262306,-74.637279,"11"
340010106003,10600,3,1170,39.5311916,-74.6495596,"11"
340010106004,10600,4,917,39.5352749,-74.6448447,"11"
