"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
350010001071,107,1,1727,35.1254592,-106.4851056,"1"
350010001072,107,2,966,35.1194742,-106.4936911,"1"
350010001081,108,1,1121,35.1252315,-106.507874,"1"
350010001082,108,2,1564,35.1278582,-106.5091079,"1"
350010001091,109,1,1129,35.127108,-106.5201041,"1"
350010001092,109,2,1272,35.1270663,-106.5289177,"1"
350010001101,110,1,1550,35.1193801,-106.519285,"1"
350010001102,110,2,1289,35.1215386,-106.5272917,"1"
350010001103,110,3,659,35.1180564,-106.5283512,"1"
350010001111,111,1,1781,35.1201201,-106.5033714,"1"
350010001112,111,2,1039,35.1192811,-106.5118432,"1"
350010001121,112,1,1105,35.1123394,-106.4932402,"1"
350010001122,112,2,891,35.1069429,-106.4841376,"1"
350010001131,113,1,1616,35.1124929,-106.5020975,"1"
350010001132,113,2,1390,35.1125589,-106.511055,"1"
350010001141,114,1,1598,35.1126057,-106.5288325,"1"
350010001142,114,2,1476,35.1125781,-106.5200426,"1"
350010001151,115,1,1134,35.1070648,-106.5287605,"1"
350010001152,115,2,844,35.1034459,-106.5285614,"1"
350010001153,115,3,1285,35.1052381,-106.5198987,"1"
350010001161,116,1,1412,35.1050664,-106.5018059,"1"
350010001162,116,2,1513,35.1050416,-106.5109396,"1"
350010001171,117,1,1153,35.1272257,-106.5467335,"1"
350010001172,117,2,1164,35.1269442,-106.5379299,"1"
350010001181,118,1,1760,35.1267793,-106.5555765,"1"
350010001182,118,2,934,35.1270759,-106.5641887,"1"
350010001191,119,1,1106,35.1199342,-106.5644581,"1"
350010001192,119,2,701,35.1196521,-106.5552272,"1"
350010001201,120,1,1213,35.1198549,-106.5376799,"1"
350010001202,120,2,1568,35.1199687,-106.5464922,"1"
350010001211,121,1,1435,35.1126537,-106.5376132,"1"
350010001212,121,2,1171,35.1054349,-106.5374917,"1"
350010001213,121,3,1121,35.107034,-106.5472523,"1"
350010001214,121,4,1457,35.1128008,-106.5464818,"1"
350010001215,121,5,698,35.1038547,-106.5453662,"1"
350010001221,122,1,935,35.1088002,-106.5537561,"1"
350010001222,122,2,869,35.1128046,-106.5582904,"1"
350010001223,122,3,990,35.1127932,-106.5655486,"1"
350010001224,122,4,1490,35.1051276,-106.5625044,"1"
350010001231,123,1,660,35.1000354,-106.5374108,"1"
350010001232,123,2,1024,35.0951888,-106.5365894,"1"
350010001233,123,3,963,35.0902505,-106.5385123,"1"
350010001234,123,4,1065,35.0918535,-106.5464522,"1"
350010001235,123,5,1241,35.0982696,-106.5462794,"1"
350010001241,124,1,651,35.100699,-106.572652,"1"
350010001242,124,2,870,35.0987416,-106.5637381,"1"
350010001243,124,3,639,35.0983117,-106.5576355,"1"
350010001244,124,4,1179,35.0963749,-106.5536325,"1"
350010001251,125,1,1307,35.0920487,-106.4838147,"1"
350010001252,125,2,1570,35.0918165,-106.4927602,"1"
350010001253,125,3,1129,35.0987926,-106.4923072,"1"
350010001261,126,1,1420,35.0976215,-106.50213,"1"
350010001262,126,2,1365,35.097474,-106.5109087,"1"
350010001271,127,1,726,35.0974973,-106.5176734,"1"
350010001272,127,2,989,35.0977566,-106.5229659,"1"
350010001273,127,3,1122,35.0985034,-106.5286994,"1"
350010001281,128,1,686,35.0902487,-106.5304352,"1"
350010001282,128,2,929,35.0928878,-106.5254288,"1"
350010001283,128,3,685,35.0907336,-106.5178821,"1"
350010001284,128,4,815,35.0887771,-106.5226012,"1"
350010001291,129,1,1677,35.0903918,-106.4995832,"1"
350010001292,129,2,1665,35.0901567,-106.510646,"1"
350010001293,129,3,910,35.0900665,-106.504068,"1"
350010002031,203,1,1108,35.1275552,-106.572787,"1"
350010002032,203,2,1012,35.1276237,-106.5842661,"1"
350010002041,204,1,1602,35.1271179,-106.5908875,"1"
350010002042,204,2,1371,35.1271261,-106.5996904,"1"
350010002051,205,1,897,35.1180645,-106.5908305,"1"
350010002052,205,2,612,35.1183903,-106.6000971,"1"
350010002053,205,3,683,35.1217326,-106.5997946,"1"
350010002054,205,4,1069,35.1213661,-106.591309,"1"
350010002061,206,1,1657,35.1204128,-106.5817449,"1"
350010002062,206,2,1249,35.1203681,-106.5733821,"1"
350010002071,207,1,1177,35.112762,-106.5732135,"1"
350010002072,207,2,934,35.1057642,-106.5775126,"1"
350010002073,207,3,1101,35.1127699,-106.5819517,"1"
350010002081,208,1,758,35.1128881,-106.6011312,"1"
350010002082,208,2,858,35.1101526,-106.5976094,"1"
350010002083,208,3,1074,35.1101169,-106.5901266,"1"
350010003001,300,1,1265,35.1026514,-106.609327,"1"
350010003002,300,2,754,35.0969308,-106.6082369,"1"
350010003003,300,3,721,35.0922281,-106.6076352,"1"
350010003004,300,4,772,35.0900736,-106.6114401,"1"
350010003005,300,5,1240,35.0982097,-106.6165003,"1"
350010003006,300,6,1111,35.1032268,-106.6173316,"1"
350010004011,401,1,1435,35.0988827,-106.5822893,"1"
350010004012,401,2,1073,35.0995567,-106.5906243,"1"
350010004013,401,3,1762,35.099378,-106.5994645,"1"
350010004021,402,1,1108,35.0910275,-106.5818727,"1"
350010004022,402,2,715,35.0910456,-106.5890725,"1"
350010004023,402,3,781,35.0918199,-106.5950611,"1"
350010004024,402,4,944,35.0905532,-106.6004373,"1"
350010005011,501,1,1949,35.0823269,-106.581763,"1"
350010005012,501,2,819,35.075066,-106.5819768,"1"
350010005031,503,1,1511,35.0833395,-106.5997364,"1"
350010005032,503,2,1839,35.0828342,-106.5906923,"1"
350010005041,504,1,1287,35.0759658,-106.5957285,"1"
350010006011,601,1,996,35.0896204,-106.5570867,"1"
350010006012,601,2,960,35.0927457,-106.5657257,"1"
350010006013,601,3,1125,35.0909723,-106.573144,"1"
350010006014,601,4,773,35.0971417,-106.5736429,"1"
350010006031,603,1,2444,35.0836271,-106.5551879,"1"
350010006032,603,2,2272,35.076134,-106.5558647,"1"
350010006051,605,1,1128,35.0845471,-106.5642945,"1"
350010006052,605,2,743,35.0767896,-106.5640162,"1"
350010006053,605,3,640,35.0741714,-106.5660712,"1"
350010006054,605,4,912,35.07996,-106.5642819,"1"
350010006055,605,5,696,35.0753065,-106.5735995,"1"
350010007041,704,1,741,35.0770727,-106.5101847,"1"
350010007042,704,2,921,35.0830148,-106.5106602,"1"
350010007043,704,3,2353,35.0836706,-106.524644,"1"
350010007111,711,1,2335,35.0800494,-106.4872284,"1"
350010007112,711,2,945,35.0770434,-106.490911,"1"
350010007113,711,3,992,35.0711459,-106.4904968,"1"
350010007121,712,1,2115,35.0750479,-106.5010481,"1"
350010007122,712,2,2074,35.0827828,-106.5016692,"1"
350010007131,713,1,1414,35.0670931,-106.503398,"1"
350010007132,713,2,1409,35.0665477,-106.5123419,"1"
350010007133,713,3,872,35.0602884,-106.5130952,"1"
350010007134,713,4,1814,35.062253,-106.5044233,"1"
350010007141,714,1,730,35.0539889,-106.5289637,"1"
350010007142,714,2,1579,35.0642765,-106.5197978,"1"
350010007143,714,3,1408,35.0556087,-106.5202306,"1"
350010007144,714,4,1325,35.0596137,-106.5211593,"1"
350010007151,715,1,2151,35.0701709,-106.5420203,"1"
