"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
320019501001,950100,1,1015,39.5843947,-118.1114752,"2"
320019501002,950100,2,1449,39.1998096,-118.5425149,"2"
320019503011,950301,1,859,39.4716902,-118.7736973,"2"
320019503012,950301,2,1550,39.4808704,-118.7666312,"2"
320019503013,950301,3,1741,39.4661424,-118.7692567,"2"
320019503021,950302,1,1665,39.466442,-118.7920363,"2"
320019503022,950302,2,789,39.4721489,-118.7862214,"2"
320019503023,950302,3,1540,39.4823611,-118.7873458,"2"
320019503024,950302,4,608,39.468116,-118.7794592,"2"
320019503025,950302,5,924,39.4769591,-118.7897327,"2"
320019504001,950400,1,291,39.4224362,-118.7047462,"2"
320019505001,950500,1,886,39.5386619,-118.6178804,"2"
320019505002,950500,2,641,39.602799,-118.7422743,"2"
320019506001,950600,1,2059,39.7934997,-118.9516281,"2"
320019506002,950600,2,1909,39.554463,-118.8095573,"2"
320019506003,950600,3,1768,39.4844305,-118.8107138,"2"
320019507001,950700,1,1648,39.2845189,-118.843309,"2"
320019507002,950700,2,1500,39.4697958,-118.8162157,"2"
320019507003,950700,3,937,39.499234,-119.0201357,"2"
320019507004,950700,4,1737,39.4636392,-118.8355049,"2"
320030001011,101,1,1293,36.1790576,-115.1833817,"1"
320030001012,101,2,1765,36.1776265,-115.1997647,"1"
320030001013,101,3,644,36.1847095,-115.1979105,"1"
320030001014,101,4,2062,36.1842462,-115.1858921,"1"
320030001015,101,5,905,36.1859094,-115.1812565,"1"
320030001031,103,1,1064,36.1648077,-115.2373233,"1"
320030001032,103,2,1299,36.1646954,-115.2285437,"1"
320030001033,103,3,2225,36.1612944,-115.2379438,"1"
320030001034,103,4,1329,36.1610752,-115.2287043,"1"
320030001051,105,1,1088,36.1705266,-115.1987632,"1"
320030001052,105,2,1722,36.1649078,-115.1992098,"3"
320030001053,105,3,1152,36.1611465,-115.1993382,"3"
320030001061,106,1,1132,36.168186,-115.2109787,"1"
320030001062,106,2,2438,36.1701536,-115.219595,"1"
320030001063,106,3,957,36.1718759,-115.210446,"1"
320030001071,107,1,1654,36.1646526,-115.2149104,"1"
320030001072,107,2,2355,36.1611605,-115.2148962,"3"
320030001081,108,1,1407,36.1770989,-115.2081478,"1"
320030001082,108,2,2341,36.1845817,-115.2105934,"1"
320030001091,109,1,1107,36.1754216,-115.217414,"1"
320030001092,109,2,861,36.1785898,-115.2123322,"1"
320030001093,109,3,1623,36.1788933,-115.2194883,"1"
320030002011,201,1,2396,36.184752,-115.1743624,"1"
320030002012,201,2,1207,36.1792291,-115.1738439,"1"
320030002013,201,3,1184,36.18178,-115.1657918,"4"
320030002031,203,1,1388,36.1735386,-115.1681807,"3"
320030002032,203,2,786,36.1685246,-115.1689107,"3"
320030002033,203,3,449,36.162582,-115.1667566,"3"
320030002034,203,4,1364,36.1698565,-115.163106,"3"
320030002041,204,1,409,36.1563567,-115.1670224,"3"
320030002042,204,2,545,36.1505849,-115.1665981,"3"
320030003011,301,1,1899,36.1921117,-115.1474003,"4"
320030003012,301,2,140,36.1711239,-115.1539122,"4"
320030003013,301,3,957,36.1847333,-115.1466336,"4"
320030003021,302,1,1033,36.1920945,-115.1653033,"1"
320030003022,302,2,1427,36.1877958,-115.1556982,"4"
320030003023,302,3,687,36.1830269,-115.1564995,"4"
320030003024,302,4,1147,36.1926708,-115.1570554,"4"
320030003025,302,5,894,36.1792411,-115.1560723,"4"
320030004011,401,1,666,36.178622,-115.138909,"4"
320030004012,401,2,1797,36.1847567,-115.1376254,"4"
320030004021,402,1,1477,36.1824139,-115.12969,"4"
320030004022,402,2,624,36.1755392,-115.1271759,"4"
320030004023,402,3,1164,36.175557,-115.1333505,"4"
