"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
360010001001,100,1,944,42.6637545,-73.7369092,"2"
360010001002,100,2,1129,42.6739886,-73.7409837,"2"
360010002011,201,1,791,42.6600676,-73.7544079,"2"
360010002012,201,2,1448,42.6584451,-73.7554372,"2"
360010002013,201,3,886,42.6564868,-73.755763,"2"
360010002021,202,1,1614,42.6621371,-73.753277,"2"
360010002022,202,2,984,42.6680627,-73.7492342,"2"
360010003011,301,1,1662,42.6702756,-73.7738087,"2"
360010003012,301,2,1528,42.6750673,-73.7796038,"2"
360010003021,302,1,2317,42.6849396,-73.8001417,"2"
360010003022,302,2,1179,42.6786274,-73.7596871,"2"
360010004011,401,1,2216,42.7026692,-73.8668421,"2"
360010004031,403,1,1380,42.676655,-73.7912588,"2"
360010004032,403,2,1406,42.6714101,-73.7961108,"2"
360010004033,403,3,667,42.6731431,-73.8000793,"2"
360010004034,403,4,965,42.6783768,-73.811412,"2"
360010004041,404,1,5194,42.690637,-73.828426,"2"
360010005011,501,1,1099,42.6669405,-73.7782576,"2"
360010005012,501,2,652,42.6699734,-73.7812791,"2"
360010005013,501,3,666,42.6724095,-73.7845415,"2"
360010005014,501,4,1023,42.6725091,-73.7863646,"2"
360010005021,502,1,1386,42.6653059,-73.7838499,"2"
360010005022,502,2,1455,42.6690256,-73.7901505,"2"
360010006001,600,1,585,42.6631036,-73.7698705,"2"
360010006002,600,2,1062,42.6645485,-73.7721939,"2"
360010006003,600,3,1853,42.6651756,-73.7757182,"2"
360010007001,700,1,1227,42.6736823,-73.7689613,"2"
360010007002,700,2,839,42.6669939,-73.7674022,"2"
360010007003,700,3,1134,42.6649089,-73.7608394,"2"
360010007004,700,4,996,42.6638159,-73.7646691,"2"
360010008001,800,1,700,42.6588013,-73.762596,"2"
360010008002,800,2,938,42.6601164,-73.7648492,"2"
360010008003,800,3,578,42.6616868,-73.7673809,"2"
360010011001,1100,1,1826,42.6525522,-73.7500591,"2"
360010014001,1400,1,1156,42.65467,-73.7637187,"2"
360010014002,1400,2,1069,42.6552555,-73.7659806,"2"
360010014003,1400,3,839,42.6576148,-73.7697519,"2"
360010014004,1400,4,754,42.6534346,-73.7615704,"2"
360010015001,1500,1,1684,42.660501,-73.7782489,"2"
360010015002,1500,2,1125,42.6584806,-73.7805998,"2"
360010015003,1500,3,973,42.6566764,-73.782512,"2"
360010015004,1500,4,746,42.6545067,-73.7851517,"2"
360010016001,1600,1,1707,42.6618608,-73.785266,"2"
360010016002,1600,2,858,42.6599823,-73.7886401,"2"
360010016003,1600,3,766,42.6565922,-73.7897254,"2"
360010016004,1600,4,959,42.6564311,-73.7939099,"2"
360010017001,1700,1,1026,42.6654243,-73.7959152,"2"
360010017002,1700,2,1052,42.6618546,-73.7950303,"2"
360010017003,1700,3,1938,42.6581838,-73.8019368,"2"
360010018021,1802,1,905,42.6709791,-73.8130368,"2"
360010018022,1802,2,1417,42.6658357,-73.8214068,"2"
360010018023,1802,3,1406,42.6735475,-73.823996,"2"
360010018031,1803,1,690,42.6682647,-73.8040425,"2"
360010018032,1803,2,1562,42.6641735,-73.8077608,"2"
360010018033,1803,3,980,42.6581713,-73.8171738,"2"
360010018041,1804,1,1359,42.6539884,-73.8086713,"2"
360010018042,1804,2,1162,42.6460318,-73.8221262,"2"
360010018043,1804,3,952,42.6500251,-73.8403138,"2"
360010019011,1901,1,1238,42.6521466,-73.7966194,"2"
360010019012,1901,2,1276,42.6495154,-73.7890265,"2"
360010019021,1902,1,763,42.6452198,-73.7916042,"2"
360010019022,1902,2,795,42.6486824,-73.7995936,"2"
360010019023,1902,3,1008,42.6430283,-73.7966652,"2"
360010020001,2000,1,1648,42.6437145,-73.7793466,"2"
360010020002,2000,2,1066,42.6402237,-73.7800359,"2"
360010020003,2000,3,909,42.6377581,-73.7802066,"2"
360010020004,2000,4,868,42.6407426,-73.7876649,"2"
360010020005,2000,5,1469,42.6315263,-73.7902799,"2"
360010021001,2100,1,1245,42.6526741,-73.770575,"2"
360010021002,2100,2,1490,42.6488194,-73.7784384,"2"
360010021003,2100,3,1202,42.6546512,-73.7771817,"2"
360010022001,2200,1,1405,42.6514733,-73.7652285,"2"
360010022002,2200,2,894,42.6491881,-73.765776,"2"
360010023001,2300,1,969,42.6422921,-73.7627221,"2"
360010023002,2300,2,1178,42.6450868,-73.7637113,"2"
360010025001,2500,1,757,42.6404438,-73.7527156,"2"
360010025002,2500,2,669,42.6446994,-73.7545158,"2"
360010025003,2500,3,983,42.6423388,-73.7567274,"2"
360010025004,2500,4,799,42.6390098,-73.760459,"2"
360010026001,2600,1,1360,42.6418066,-73.7742986,"2"
360010026002,2600,2,1351,42.6415644,-73.7681223,"2"
360010026003,2600,3,1561,42.6362697,-73.7691453,"2"
360010026004,2600,4,907,42.6294088,-73.7603889,"2"
360010127001,12700,1,1604,42.7757501,-73.6869031,"24"
360010127002,12700,2,1030,42.7696247,-73.6855503,"2"
360010127003,12700,3,757,42.7633729,-73.6909775,"2"
360010128001,12800,1,774,42.7616751,-73.698708,"2"
360010128002,12800,2,759,42.7635673,-73.7021217,"2"
360010128003,12800,3,1198,42.7685432,-73.7016944,"2"
360010128004,12800,4,1066,42.7722564,-73.7028603,"2"
360010129001,12900,1,1692,42.7882809,-73.710327,"24"
360010129002,12900,2,1118,42.7768701,-73.7039996,"24"
360010129003,12900,3,540,42.7775786,-73.7070864,"24"
360010129004,12900,4,581,42.7792547,-73.7093622,"24"
360010130001,13000,1,819,42.7879534,-73.7240206,"24"
360010130002,13000,2,1414,42.7818675,-73.7240588,"24"
360010130003,13000,3,934,42.7733255,-73.7088457,"2"
360010130004,13000,4,2027,42.7671152,-73.7165227,"2"
360010130005,13000,5,1834,42.7757078,-73.7214655,"2"
360010131001,13100,1,1164,42.7515838,-73.6927065,"2"
360010131002,13100,2,840,42.7461883,-73.6939382,"2"
360010131003,13100,3,930,42.740713,-73.6950592,"2"
360010132001,13200,1,683,42.7239995,-73.7024894,"2"
360010132002,13200,2,987,42.7265181,-73.7029845,"2"
360010132003,13200,3,1710,42.731954,-73.7008515,"2"
360010133001,13300,1,1940,42.731279,-73.7128539,"2"
360010133002,13300,2,993,42.724444,-73.7088304,"2"
360010133003,13300,3,1464,42.7347596,-73.7080295,"2"
360010134001,13400,1,641,42.7103143,-73.7116836,"2"
360010134002,13400,2,827,42.713851,-73.7086268,"2"
360010134003,13400,3,1130,42.7151114,-73.7063321,"2"
360010135031,13503,1,1010,42.7633314,-73.7416304,"2"
360010135032,13503,2,2110,42.7900699,-73.7328603,"24"
360010135033,13503,3,2164,42.7574967,-73.716101,"2"
360010135051,13505,1,957,42.7427141,-73.7579185,"2"
360010135052,13505,2,1847,42.7359486,-73.744075,"2"
360010135071,13507,1,1897,42.743481,-73.7696602,"2"
360010135072,13507,2,819,42.7502275,-73.78846,"2"
360010135091,13509,1,973,42.7431189,-73.7055608,"2"
360010135092,13509,2,2719,42.7475846,-73.7282908,"2"
360010135101,13510,1,1762,42.7486051,-73.7414539,"2"
360010135102,13510,2,1735,42.7508013,-73.7537392,"2"
360010135111,13511,1,2683,42.8025665,-73.7409958,"24"
360010135112,13511,2,1004,42.7642693,-73.7640173,"2"
360010135121,13512,1,2032,42.7626687,-73.7803235,"2"
360010135122,13512,2,1826,42.7754022,-73.7889539,"2"
360010136021,13602,1,1219,42.6895952,-73.7198324,"2"
360010136022,13602,2,1826,42.6915162,-73.7337511,"2"
360010136023,13602,3,1509,42.6814576,-73.7373918,"2"
360010136031,13603,1,1682,42.7036986,-73.7388984,"2"
360010136032,13603,2,1469,42.7109956,-73.7154503,"2"
360010136041,13604,1,1165,42.7293335,-73.7553748,"2"
360010136042,13604,2,3775,42.7207112,-73.7393374,"2"
360010136043,13604,3,2258,42.7291957,-73.7249349,"2"
360010137031,13703,1,2101,42.7453514,-73.8147594,"2"
360010137061,13706,1,2087,42.6996786,-73.7650276,"2"
360010137071,13707,1,2015,42.7103012,-73.7726053,"2"
360010137072,13707,2,1214,42.7243554,-73.7830871,"2"
360010137073,13707,3,1399,42.7226449,-73.7679797,"2"
360010137074,13707,4,1438,42.7293985,-73.7867045,"2"
360010137081,13708,1,1373,42.7047146,-73.7874853,"2"
360010137082,13708,2,2121,42.7150817,-73.795669,"2"
360010137091,13709,1,1640,42.6906328,-73.7697994,"2"
360010137092,13709,2,1673,42.6941426,-73.7817247,"2"
360010138021,13802,1,2096,42.7561169,-73.8464301,"2"
360010138022,13802,2,911,42.7662659,-73.8341544,"2"
360010138023,13802,3,1480,42.7652547,-73.8519164,"2"
360010138031,13803,1,644,42.7530704,-73.8620969,"2"
360010138032,13803,2,1037,42.7611518,-73.8721473,"2"
360010138033,13803,3,1666,42.7574558,-73.8902857,"2"
360010138041,13804,1,2096,42.7418258,-73.8509472,"2"
360010138042,13804,2,571,42.7354047,-73.8602868,"2"
360010138043,13804,3,567,42.7455779,-73.8676869,"2"
360010138044,13804,4,663,42.7386836,-73.884287,"2"
360010139011,13901,1,938,42.7073619,-73.8347354,"2"
360010139012,13901,2,1458,42.7196958,-73.844432,"2"
360010139021,13902,1,1355,42.7305763,-73.8404999,"2"
360010139022,13902,2,1047,42.7254501,-73.8330882,"2"
360010139023,13902,3,1459,42.7162566,-73.8220982,"2"
360010139024,13902,4,1524,42.7243157,-73.8214434,"2"
360010140011,14001,1,673,42.6945022,-73.81301,"2"
360010140012,14001,2,799,42.7034157,-73.8232728,"2"
360010140013,14001,3,1714,42.7054388,-73.8101131,"2"
360010140014,14001,4,1014,42.7073848,-73.8155702,"2"
360010140021,14002,1,747,42.6940739,-73.8018193,"2"
360010140022,14002,2,1654,42.6982004,-73.7994088,"2"
360010140023,14002,3,1092,42.68948,-73.7861086,"2"
360010140024,14002,4,883,42.6898926,-73.7941359,"2"
360010141001,14100,1,1518,42.6657514,-73.8375301,"2"
360010141002,14100,2,1396,42.656397,-73.8389631,"2"
360010141003,14100,3,1731,42.6330767,-73.8304836,"2"
360010141004,14100,4,983,42.6451346,-73.8588747,"2"
360010142011,14201,1,1319,42.6267958,-73.8095429,"2"
360010142012,14201,2,1222,42.6188537,-73.8130476,"2"
360010142013,14201,3,2326,42.6063176,-73.8040071,"2"
