"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
390017701001,770100,1,1267,38.9972607,-83.3467733,"15"
390017701002,770100,2,1270,38.9535223,-83.4220192,"15"
390017701003,770100,3,1261,38.9637853,-83.3862436,"15"
390017701004,770100,4,944,38.9184922,-83.3359309,"15"
390017702001,770200,1,1271,38.9837219,-83.4812766,"15"
390017702002,770200,2,1299,38.9911245,-83.5965068,"15"
390017702003,770200,3,1084,38.942318,-83.5588668,"15"
390017702004,770200,4,1060,38.9434656,-83.6419158,"15"
390017703011,770301,1,1589,38.8344683,-83.4780816,"15"
390017703012,770301,2,2399,38.8807359,-83.5673097,"15"
390017703021,770302,1,1508,38.8658485,-83.6527284,"15"
390017703022,770302,2,1569,38.7587673,-83.6527781,"8"
390017704001,770400,1,755,38.790613,-83.4803152,"15"
390017704002,770400,2,1262,38.8106489,-83.5432348,"15"
390017704003,770400,3,1079,38.7684772,-83.5098536,"15"
390017704004,770400,4,1589,38.7614093,-83.5680175,"15"
390017705001,770500,1,1358,38.8280432,-83.3755328,"15"
390017705002,770500,2,950,38.7103836,-83.3120775,"15"
390017705003,770500,3,730,38.7059488,-83.3943394,"15"
390017706001,770600,1,673,38.7184001,-83.5312188,"15"
390017706002,770600,2,1001,38.676882,-83.650165,"8"
390017706003,770600,3,770,38.689143,-83.6101879,"15"
390017706004,770600,4,789,38.6900733,-83.6012072,"15"
390030101001,10100,1,1660,40.8875931,-83.9116802,"13"
390030101002,10100,2,1335,40.9142205,-83.890771,"13"
390030101003,10100,3,1131,40.8701841,-83.8901791,"14"
390030102001,10200,1,772,40.8316957,-84.0897575,"7"
390030102002,10200,2,1012,40.8740698,-83.931266,"7"
390030102003,10200,3,1009,40.8643572,-84.0609143,"7"
390030102004,10200,4,1019,40.8442975,-83.9847892,"7"
390030103001,10300,1,796,40.796269,-84.1654438,"7"
390030103002,10300,2,804,40.8386815,-84.1746483,"7"
390030106001,10600,1,1216,40.7395807,-84.3717739,"7"
390030106002,10600,2,1432,40.750284,-84.29584,"7"
390030106003,10600,3,1324,40.7102648,-84.292469,"7"
390030106004,10600,4,1156,40.6965506,-84.3347176,"7"
390030108011,10801,1,1367,40.7962574,-84.1987963,"7"
390030108012,10801,2,1239,40.7615919,-84.1758391,"7"
390030108013,10801,3,1847,40.7782432,-84.1952059,"7"
390030108021,10802,1,2023,40.7615856,-84.2037716,"7"
390030108022,10802,2,1579,40.7336821,-84.1969949,"7"
390030109001,10900,1,1234,40.7571762,-84.155969,"7"
390030109002,10900,2,1116,40.7443966,-84.155198,"7"
390030109003,10900,3,2195,40.7312168,-84.1584415,"7"
390030110001,11000,1,1392,40.7791113,-84.1172221,"7"
390030110002,11000,2,1543,40.7749866,-84.131222,"7"
390030110003,11000,3,1035,40.7621373,-84.1356577,"7"
390030110004,11000,4,1467,40.774936,-84.1589464,"7"
390030112001,11200,1,1521,40.7832226,-84.0980973,"7"
390030112002,11200,2,1322,40.7823566,-84.0783177,"7"
390030113011,11301,1,1024,40.742411,-84.0697106,"7"
390030113012,11301,2,1829,40.7567999,-84.023214,"7"
390030113013,11301,3,1685,40.7365735,-84.0361025,"7"
390030113021,11302,1,1465,40.8010533,-84.0343388,"7"
390030113022,11302,2,1306,40.7728631,-84.0340979,"7"
390030114001,11400,1,1415,40.7958576,-83.9442173,"7"
390030114002,11400,2,1728,40.7536602,-83.9304366,"7"
390030115001,11500,1,1736,40.6862761,-83.9666858,"7"
390030115002,11500,2,1021,40.6949298,-83.9067121,"7"
390030116001,11600,1,1172,40.7095471,-84.0318594,"7"
390030116002,11600,2,711,40.6839805,-84.0603933,"7"
390030116003,11600,3,696,40.6607072,-84.0776402,"7"
390030118001,11800,1,1135,40.7169758,-84.1332179,"7"
390030118002,11800,2,1163,40.7171482,-84.1567208,"7"
390030119001,11900,1,885,40.6748024,-84.1420577,"7"
390030119002,11900,2,615,40.6617164,-84.1439266,"7"
390030119003,11900,3,992,40.6995544,-84.1423989,"7"
390030119004,11900,4,597,40.6756757,-84.1152172,"7"
390030120001,12000,1,1445,40.714478,-84.1716528,"7"
390030120002,12000,2,1148,40.6966244,-84.1692696,"7"
390030121001,12100,1,2295,40.6841607,-84.1711679,"7"
390030121002,12100,2,1143,40.6785897,-84.2141162,"7"
390030122001,12200,1,1377,40.7650696,-84.1116013,"7"
