"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
400013766001,376600,1,941,36.1124876,-94.7257286,"2"
400013766002,376600,2,1390,36.1236996,-94.5981613,"2"
400013767001,376700,1,783,36.026135,-94.6065178,"2"
400013767002,376700,2,1122,35.9526767,-94.6185287,"2"
400013767003,376700,3,709,36.0241309,-94.7417304,"2"
400013767004,376700,4,716,36.0067166,-94.5561921,"2"
400013767005,376700,5,1324,35.9714236,-94.558034,"2"
400013768001,376800,1,1345,35.698852,-94.7402423,"2"
400013768002,376800,2,681,35.9236046,-94.7090102,"2"
400013768003,376800,3,1077,35.8751113,-94.7372325,"2"
400013768004,376800,4,745,35.8123264,-94.7571439,"2"
400013769001,376900,1,2163,35.8187084,-94.6601459,"2"
400013769002,376900,2,1066,35.7948423,-94.647172,"2"
400013769003,376900,3,1076,35.8084387,-94.6074052,"2"
400013770001,377000,1,1324,35.6694705,-94.5804254,"2"
400013770002,377000,2,1181,35.8723839,-94.59763,"2"
400013770003,377000,3,796,35.8469388,-94.5269362,"2"
400013770004,377000,4,1056,35.7484734,-94.5442607,"2"
400039556001,955600,1,557,36.9119954,-98.3503608,"4"
400039556002,955600,2,888,36.7653099,-98.2436996,"4"
400039557001,955700,1,1342,36.7430512,-98.4407255,"3"
400039560001,956000,1,2912,36.5606474,-98.3171198,"3"
400055876001,587600,1,1022,34.6024989,-95.9396317,"2"
400055876002,587600,2,751,34.4445218,-95.9048716,"2"
400055877001,587700,1,613,34.4306231,-96.1426147,"5"
400055877002,587700,2,1259,34.3547415,-96.1416911,"5"
400055877003,587700,3,664,34.3869939,-96.0862469,"5"
400055877004,587700,4,1597,34.3853459,-96.1367639,"5"
400055878001,587800,1,1225,34.3299771,-96.2025722,"5"
400055878002,587800,2,1249,34.2960891,-96.3245209,"5"
400055878003,587800,3,1507,34.2221592,-96.1951541,"5"
400055879001,587900,1,906,34.312138,-95.9058194,"5"
400055879002,587900,2,1966,34.2240908,-95.9198819,"5"
400055879003,587900,3,1384,34.2600683,-96.0877739,"5"
400079516001,951600,1,780,36.9129867,-100.3280415,"3"
400079516002,951600,2,1251,36.9170161,-100.8090294,"3"
400079516003,951600,3,560,36.7831886,-100.8917709,"3"
400079517001,951700,1,454,36.6471003,-100.2616055,"3"
400079517002,951700,2,609,36.6382017,-100.7117752,"3"
400079518001,951800,1,539,36.8061629,-100.5125911,"3"
400079518002,951800,2,856,36.8083319,-100.5416595,"3"
400099661001,966100,1,1269,35.411166,-99.3793675,"3"
400099661002,966100,2,2275,35.3455904,-99.3903304,"3"
400099661003,966100,3,597,35.4093399,-99.4041582,"3"
400099661004,966100,4,673,35.4150447,-99.4128769,"3"
400099661005,966100,5,881,35.4276227,-99.4119966,"3"
400099661006,966100,6,911,35.4726109,-99.3906974,"3"
400099661007,966100,7,787,35.4168291,-99.4041204,"3"
400099662001,966200,1,1177,35.4472148,-99.516439,"3"
400099662002,966200,2,1513,35.340913,-99.4798154,"3"
400099662003,966200,3,822,35.4001661,-99.4261441,"3"
400099662004,966200,4,1218,35.415042,-99.4211504,"3"
400099662005,966200,5,1269,35.4144026,-99.4298943,"3"
400099662006,966200,6,1079,35.4256401,-99.4392748,"3"
400099665001,966500,1,723,35.2276245,-99.8748282,"3"
400099665002,966500,2,947,35.2117905,-99.8677361,"3"
400099668001,966800,1,1969,35.2518895,-99.5612733,"3"
400099668002,966800,2,3038,35.2684051,-99.6202178,"3"
400099668003,966800,3,1262,35.3009377,-99.624599,"3"
400119586001,958600,1,820,36.0987576,-98.3945676,"3"
400119586002,958600,2,580,36.0797379,-98.2549042,"3"
400119587001,958700,1,750,36.1083789,-98.5387377,"3"
400119587002,958700,2,738,36.0004922,-98.5711563,"3"
400119588001,958800,1,1135,35.7903215,-98.3220226,"3"
400119589001,958900,1,644,35.8548327,-98.4430132,"3"
400119589002,958900,2,667,35.8484624,-98.3750817,"3"
400119589003,958900,3,849,35.8414059,-98.4149871,"3"
400119589004,958900,4,870,35.850075,-98.4084984,"3"
400119590001,959000,1,661,35.6383382,-98.5194426,"3"
400119590002,959000,2,1021,35.6311076,-98.3576402,"3"
400137956001,795600,1,1452,34.000816,-95.9944063,"5"
400137956002,795600,2,1027,33.874518,-96.155242,"5"
400137957001,795700,1,1610,34.0640993,-96.2135936,"5"
400137957002,795700,2,777,34.0278282,-96.144731,"5"
400137957003,795700,3,1140,34.1325148,-96.2598086,"5"
400137959001,795900,1,856,33.7532712,-96.3400466,"5"
400137959002,795900,2,751,33.8314631,-96.371671,"5"
400137960021,796002,1,1994,33.9467079,-96.45563,"5"
400137960022,796002,2,1862,33.9042874,-96.3109626,"5"
400137960023,796002,3,1449,33.9278911,-96.4071544,"5"
400137960031,796003,1,2137,34.1157515,-96.4164029,"5"
400137960032,796003,2,1252,34.0154801,-96.4826907,"5"
400137960033,796003,3,1136,34.0321611,-96.5595127,"5"
400137960041,796004,1,1684,33.9739484,-96.5393691,"5"
400137961011,796101,1,968,34.0488188,-96.399786,"5"
400137961012,796101,2,1493,34.0029502,-96.3952399,"5"
400137961013,796101,3,2958,34.0316796,-96.3926443,"5"
400137961021,796102,1,937,34.0133325,-96.4369421,"5"
400137961022,796102,2,2567,34.0141903,-96.4091607,"5"
400137961023,796102,3,1323,33.9835961,-96.4372496,"5"
400137962001,796200,1,1710,34.0123835,-96.3825068,"5"
400137962002,796200,2,798,34.0031768,-96.3725436,"5"
400137962003,796200,3,1889,34.0045264,-96.3827726,"5"
400137963001,796300,1,1836,33.9952363,-96.38165,"5"
400137964001,796400,1,2550,33.973438,-96.4000179,"5"
400137965001,796500,1,1455,34.0152074,-96.3401723,"5"
400137965002,796500,2,540,33.9726689,-96.3487972,"5"
400137965003,796500,3,544,33.9893662,-96.3713685,"5"
400137966001,796600,1,3130,33.8669256,-96.4730089,"5"
400137966002,796600,2,1003,33.90657,-96.5564754,"5"
400137966003,796600,3,1239,33.8612127,-96.5545866,"5"
400151616011,161601,1,5284,35.4712988,-98.3460313,"3"
400151616021,161602,1,994,35.398657,-98.4032513,"3"
400151616022,161602,2,606,35.31414,-98.2076973,"3"
400151616023,161602,3,562,35.2863446,-98.3728345,"3"
400151617001,161700,1,937,35.4270891,-98.5541292,"3"
400151617002,161700,2,688,35.5440662,-98.570658,"3"
400151618001,161800,1,563,35.242023,-98.541306,"3"
400151618002,161800,2,972,35.1479825,-98.5603934,"3"
400151618003,161800,3,1091,34.9824361,-98.5601517,"3"
400151619001,161900,1,796,35.1137756,-98.4350396,"3"
400151619002,161900,2,604,35.1066899,-98.4543563,"3"
400151620001,162000,1,636,35.1390299,-98.2213828,"3"
400151620002,162000,2,727,35.0039359,-98.2954412,"3"
400151620003,162000,3,554,35.0214858,-98.167232,"3"
400151620004,162000,4,884,35.2303375,-98.2212182,"3"
400151621011,162101,1,1626,35.0571405,-98.2894385,"3"
400151621012,162101,2,812,35.0949366,-98.2741689,"3"
400151621013,162101,3,562,35.0694325,-98.250806,"3"
400151621021,162102,1,714,35.0969695,-98.1916083,"3"
400151621022,162102,2,656,35.0615025,-98.2188092,"3"
400151621023,162102,3,537,35.0731869,-98.2374224,"3"
400151621024,162102,4,601,35.0756083,-98.2439498,"3"
400151621025,162102,5,829,35.0637621,-98.2468603,"3"
400151622001,162200,1,697,34.9334105,-98.4247622,"3"
400151622002,162200,2,862,34.8794875,-98.3305019,"3"
400151622003,162200,3,642,34.9040471,-98.3600366,"3"
400151623001,162300,1,1124,34.9129037,-98.2294342,"3"
400151623002,162300,2,1385,34.9361253,-98.1661483,"3"
400173001001,300100,1,622,35.6590043,-98.1999319,"3"
400173001002,300100,2,851,35.5353202,-98.2035348,"3"
400173001003,300100,3,949,35.4322583,-98.222788,"3"
400173002011,300201,1,1790,35.6716938,-97.8603705,"3"
400173002012,300201,2,1451,35.6457008,-97.7698528,"3"
400173002013,300201,3,1264,35.6751535,-97.7021777,"3"
400173002014,300201,4,1901,35.7067011,-97.7237634,"3"
400173002021,300202,1,927,35.5582351,-97.9003047,"3"
400173002022,300202,2,664,35.6892007,-98.0353098,"3"
400173002023,300202,3,1476,35.5937671,-97.982254,"3"
400173002024,300202,4,1280,35.5210116,-97.8877266,"3"
400173003001,300300,1,1172,35.5324933,-97.9411872,"3"
400173003002,300300,2,833,35.5329655,-97.9498989,"3"
400173003003,300300,3,1281,35.5255929,-97.9458401,"3"
400173004001,300400,1,602,35.5434541,-97.964706,"3"
400173004002,300400,2,581,35.5345309,-97.9638271,"3"
400173005001,300500,1,610,35.5267882,-97.9557331,"3"
400173005002,300500,2,735,35.5309185,-97.9647859,"3"
400173005003,300500,3,866,35.5270714,-97.9647926,"3"
400173005004,300500,4,747,35.5241958,-97.9666555,"3"
400173006001,300600,1,1095,35.5147014,-97.9532849,"3"
400173006002,300600,2,2290,35.5145491,-97.9654813,"3"
400173007011,300701,1,521,35.5167554,-97.9790295,"3"
400173007012,300701,2,1327,35.5267457,-97.9844573,"3"
400173007021,300702,1,946,35.488572,-97.9764901,"3"
400173007022,300702,2,1724,35.4271896,-97.877254,"3"
400173007023,300702,3,1147,35.4389535,-98.0146618,"3"
400173007024,300702,4,1217,35.5275622,-98.0074606,"3"
400173008021,300802,1,2010,35.5866662,-97.7190971,"3"
400173008022,300802,2,1596,35.5875985,-97.7398634,"3"
400173008031,300803,1,1319,35.6215026,-97.7658016,"3"
400173008032,300803,2,1169,35.5907026,-97.7865988,"3"
400173008033,300803,3,825,35.5428276,-97.7835331,"3"
400173008041,300804,1,3769,35.5583811,-97.736147,"3"
400173008051,300805,1,2588,35.6165172,-97.6887716,"3"
400173008052,300805,2,898,35.6457581,-97.6918167,"3"
400173008053,300805,3,2291,35.6144522,-97.7199995,"3"
400173008054,300805,4,1314,35.64635,-97.7353797,"3"
400173008061,300806,1,1317,35.5739496,-97.7023804,"3"
400173008062,300806,2,3287,35.5583696,-97.700611,"3"
400173009011,300901,1,1295,35.529186,-97.6929636,"3"
400173009012,300901,2,1693,35.5301866,-97.7160452,"3"
400173009013,300901,3,1809,35.5150709,-97.7380446,"3"
400173009014,300901,4,1967,35.516265,-97.7313326,"3"
400173009021,300902,1,1258,35.4998816,-97.7313265,"3"
400173009022,300902,2,1165,35.5027567,-97.7277784,"3"
400173009041,300904,1,3102,35.4946188,-97.6884476,"3"
400173009042,300904,2,1056,35.4820214,-97.675461,"3"
400173009043,300904,3,1787,35.4820183,-97.6850065,"3"
400173009051,300905,1,2481,35.502864,-97.7202248,"3"
400173009052,300905,2,1213,35.5106176,-97.710844,"3"
