"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
410019501001,950100,1,837,44.546804,-118.1781784,"1"
410019501002,950100,2,864,44.9562277,-118.0519082,"1"
410019501003,950100,3,1143,44.8472102,-118.1087551,"1"
410019502001,950200,1,1029,44.7764594,-117.8821056,"1"
410019502002,950200,2,1223,44.7753666,-117.834967,"1"
410019502003,950200,3,939,44.7868777,-117.8608477,"1"
410019503001,950300,1,954,44.7496991,-117.8632336,"1"
410019503002,950300,2,1197,44.6787169,-117.6616761,"1"
410019503003,950300,3,594,44.4345,-117.4547032,"1"
410019504001,950400,1,1493,44.7928995,-117.8139218,"1"
410019504002,950400,2,733,44.779366,-117.821973,"1"
410019504003,950400,3,862,44.7751503,-117.8221816,"1"
410019505001,950500,1,1865,44.9044089,-117.7863816,"1"
410019505002,950500,2,884,44.7889311,-117.8460592,"1"
410019506001,950600,1,553,44.9622004,-117.0595503,"1"
410019506002,950600,2,622,44.8856427,-117.1114345,"1"
410019506003,950600,3,876,44.7469353,-117.3429909,"1"
410030001011,101,1,1389,44.5497071,-123.261264,"4"
410030001012,101,2,1475,44.5457476,-123.2718071,"4"
410030001013,101,3,1480,44.5408192,-123.260739,"4"
410030001021,102,1,1597,44.5338392,-123.2617881,"4"
410030001022,102,2,1812,44.5290776,-123.2600147,"4"
410030002021,202,1,1481,44.5369043,-123.2954811,"4"
410030002022,202,2,1691,44.5503054,-123.3007465,"4"
410030002023,202,3,2084,44.5364064,-123.3220021,"4"
410030004011,401,1,1814,44.5885686,-123.2944111,"4"
410030004012,401,2,1154,44.5893807,-123.2827695,"4"
410030004021,402,1,2097,44.5965842,-123.2728451,"4"
410030004022,402,2,1203,44.5973863,-123.2916091,"4"
410030004023,402,3,1769,44.6061039,-123.2819548,"4"
410030005001,500,1,1001,44.6070835,-123.254436,"4"
410030005002,500,2,1345,44.6379906,-123.2668822,"4"
410030005003,500,3,1070,44.6328784,-123.2482861,"4"
410030006001,600,1,1891,44.6037769,-123.2414433,"4"
410030006002,600,2,1095,44.610372,-123.1979735,"4"
410030006003,600,3,2229,44.5842042,-123.2435514,"4"
410030009001,900,1,837,44.5820896,-123.2877144,"4"
410030009002,900,2,841,44.5752936,-123.2855666,"4"
410030009003,900,3,2412,44.5800912,-123.3025354,"4"
410030009004,900,4,1077,44.5875079,-123.3195046,"4"
410030009005,900,5,830,44.5751189,-123.2912567,"4"
410030010011,1001,1,1202,44.5943529,-123.2557908,"4"
410030010012,1001,2,1392,44.584166,-123.259066,"4"
410030010013,1001,3,1470,44.5910465,-123.2615355,"4"
410030010021,1002,1,933,44.5825102,-123.2795258,"4"
410030010022,1002,2,1460,44.5806237,-123.26922,"4"
410030010023,1002,3,850,44.5856351,-123.2687178,"4"
410030011011,1101,1,874,44.5758654,-123.2810402,"4"
410030011012,1101,2,995,44.5755818,-123.2771358,"4"
410030011013,1101,3,1052,44.5704562,-123.276994,"4"
410030011014,1101,4,947,44.5715103,-123.2809645,"4"
410030011021,1102,1,903,44.5751123,-123.2656099,"4"
410030011022,1102,2,1473,44.568933,-123.266249,"4"
410030011023,1102,3,974,44.5721987,-123.2712327,"4"
410030011024,1102,4,1208,44.569001,-123.2723545,"4"
410030101011,10101,1,865,44.6565439,-123.0930058,"4"
410030101012,10101,2,1343,44.6516693,-123.1311272,"4"
410030101013,10101,3,1807,44.6438544,-123.1177234,"4"
410030101021,10102,1,3315,44.6748992,-123.1346641,"4"
410030101022,10102,2,1786,44.6732037,-123.1698992,"4"
410030101023,10102,3,2157,44.6653941,-123.11468,"4"
410030102001,10200,1,2157,44.6836995,-123.2484349,"4"
410030102002,10200,2,1167,44.655627,-123.3625911,"4"
410030102003,10200,3,1016,44.6252777,-123.5133877,"4"
410030103001,10300,1,1360,44.4958772,-123.3831754,"4"
410030103002,10300,2,992,44.456511,-123.5592921,"4"
410030103003,10300,3,891,44.3559348,-123.5820534,"4"
410030104001,10400,1,658,44.4657695,-123.2776345,"4"
410030104002,10400,2,812,44.3655297,-123.4069971,"4"
410030104003,10400,3,964,44.3275726,-123.2652702,"4"
410030104004,10400,4,1525,44.3500919,-123.3262405,"4"
410030106011,10601,1,1549,44.5649943,-123.2611923,"4"
410030106012,10601,2,1525,44.5577568,-123.2707097,"4"
410030106021,10602,1,1004,44.5632104,-123.268103,"4"
410030106022,10602,2,2763,44.5638703,-123.2755878,"4"
410030107021,10702,1,1462,44.5673114,-123.2986887,"4"
410030107022,10702,2,1972,44.5649478,-123.2847503,"4"
410030107023,10702,3,787,44.5581393,-123.2830016,"4"
410030108001,10800,1,747,44.535642,-123.3625963,"4"
410030108002,10800,2,1054,44.5332497,-123.3493661,"4"
410030108003,10800,3,2058,44.5476086,-123.3638202,"4"
410030109001,10900,1,2313,44.5883161,-123.3633863,"4"
410030109002,10900,2,1642,44.5591004,-123.3214924,"4"
410030109003,10900,3,2086,44.5548455,-123.3158853,"4"
410050201011,20101,1,1088,45.4285834,-122.7019517,"2"
410050201012,20101,2,1493,45.4287788,-122.6872585,"2"
410050201021,20102,1,925,45.4218095,-122.6687371,"2"
410050201022,20102,2,1541,45.4294316,-122.6668132,"2"
410050202011,20201,1,1224,45.4183482,-122.6735327,"2"
410050202012,20201,2,1832,45.415582,-122.689929,"2"
410050202013,20201,3,1079,45.4169138,-122.6599804,"2"
410050202021,20202,1,1042,45.4112067,-122.7151212,"2"
410050202022,20202,2,1463,45.4189243,-122.6991991,"2"
410050203021,20302,1,1127,45.4151665,-122.7287001,"2"
410050203022,20302,2,1396,45.4109517,-122.73926,"2"
410050203023,20302,3,1451,45.4058172,-122.7351062,"2"
410050203031,20303,1,1958,45.4296716,-122.7202808,"2"
410050203032,20303,2,552,45.4304072,-122.7108047,"2"
410050203033,20303,3,1398,45.4230631,-122.7125525,"2"
410050203034,20303,4,1480,45.4220142,-122.7184943,"2"
410050203041,20304,1,2258,45.4253875,-122.7388948,"2"
410050203042,20304,2,1433,45.4296396,-122.7295303,"2"
410050203043,20304,3,2064,45.4226523,-122.7277821,"2"
410050204011,20401,1,1304,45.400075,-122.721796,"2"
410050204012,20401,2,902,45.3995999,-122.7334555,"2"
410050204013,20401,3,1560,45.3911139,-122.7369347,"2"
410050204014,20401,4,1866,45.3887222,-122.726599,"2"
410050204031,20403,1,1610,45.388564,-122.7029814,"2"
410050204032,20403,2,2317,45.3934633,-122.7103361,"2"
410050204041,20404,1,1875,45.4004051,-122.693439,"2"
410050204042,20404,2,2065,45.4069758,-122.6872735,"2"
410050205031,20503,1,1514,45.4032324,-122.6737469,"2"
