"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
420010301011,30101,1,1043,40.0417045,-77.1190174,"17"
420010301012,30101,2,1603,40.0051064,-77.0706862,"17"
420010301031,30103,1,2375,39.9747338,-77.0284326,"17"
420010301041,30104,1,1109,39.940761,-77.0071292,"17"
420010301042,30104,2,2315,39.9355824,-77.0699731,"17"
420010302001,30200,1,1922,39.9955874,-77.1468067,"17"
420010302002,30200,2,2268,39.9524978,-77.1580593,"17"
420010302003,30200,3,1156,40.0092713,-77.1269028,"17"
420010303001,30300,1,2145,39.9717354,-77.3234176,"17"
420010303002,30300,2,2292,39.993708,-77.2336555,"17"
420010304001,30400,1,1414,39.9306152,-77.4034052,"17"
420010304002,30400,2,907,39.918683,-77.3008947,"17"
420010304003,30400,3,1205,39.8806358,-77.3038962,"17"
420010304004,30400,4,1232,39.8652238,-77.3611597,"17"
420010304005,30400,5,785,39.8772665,-77.4167438,"17"
420010305001,30500,1,2140,39.9306185,-77.2196471,"17"
420010305002,30500,2,1635,39.9237042,-77.264857,"17"
420010306001,30600,1,1495,39.8716712,-77.1865613,"17"
420010306002,30600,2,1328,39.8954106,-77.1455814,"17"
420010306003,30600,3,2028,39.8337643,-77.1873374,"17"
420010307001,30700,1,1446,39.8635269,-77.0912929,"17"
420010307002,30700,2,2158,39.8062657,-77.102834,"17"
420010307003,30700,3,1758,39.8104256,-77.1362597,"17"
420010307004,30700,4,1062,39.8285667,-77.1489695,"17"
420010308011,30801,1,1704,39.8763906,-76.989103,"17"
420010308012,30801,2,1721,39.8571844,-76.993596,"17"
420010308021,30802,1,829,39.9338478,-76.9755604,"17"
420010308022,30802,2,713,39.9396823,-76.9833085,"17"
420010308031,30803,1,1252,39.9042991,-76.9956219,"17"
420010308032,30803,2,1462,39.8953183,-77.0366786,"17"
420010309011,30901,1,1868,39.863001,-77.0554775,"17"
420010309012,30901,2,1699,39.8722861,-77.0603087,"17"
420010309021,30902,1,1981,39.859856,-77.0369144,"17"
420010309022,30902,2,2256,39.8427623,-77.0395388,"17"
420010310001,31000,1,2310,39.8156325,-77.013614,"17"
420010311011,31101,1,1353,39.8014098,-77.0251252,"17"
420010311012,31101,2,1724,39.8051798,-77.0158027,"17"
420010311013,31101,3,2100,39.8039432,-77.0052281,"17"
420010311021,31102,1,3465,39.7856329,-77.0271584,"17"
420010312011,31201,1,1834,39.7901727,-77.155608,"17"
420010312012,31201,2,385,39.726643,-77.2207431,"17"
420010312013,31201,3,1570,39.7527699,-77.1827173,"17"
420010312021,31202,1,1344,39.7266208,-77.076873,"17"
420010312022,31202,2,1500,39.7452462,-77.1298816,"17"
420010312031,31203,1,1717,39.7417975,-77.0272405,"17"
420010312032,31203,2,1338,39.7664913,-77.0660345,"17"
420010313001,31300,1,1465,39.7468923,-77.0965577,"17"
420010313002,31300,2,1815,39.747576,-77.0833852,"17"
420010313003,31300,3,1523,39.7398024,-77.0926813,"17"
420010314011,31401,1,1077,39.8399934,-77.2715299,"17"
420010314012,31401,2,1192,39.8670055,-77.2312613,"17"
420010314013,31401,3,1452,39.8655537,-77.2534052,"17"
420010314014,31401,4,1024,39.8297873,-77.2810552,"17"
420010314021,31402,1,1008,39.8044219,-77.2523329,"17"
420010314022,31402,2,1280,39.7591493,-77.2456382,"17"
420010315011,31501,1,2100,39.837241,-77.2397233,"17"
420010315012,31501,2,1057,39.8355459,-77.2268221,"17"
420010315021,31502,1,1092,39.8316836,-77.2399785,"17"
420010315022,31502,2,955,39.8265269,-77.2393255,"17"
420010315023,31502,3,734,39.8215425,-77.2352426,"17"
420010315024,31502,4,1168,39.8292286,-77.2254399,"17"
420010316001,31600,1,997,39.8203635,-77.3286389,"17"
420010316002,31600,2,825,39.7580986,-77.2970225,"17"
420010316003,31600,3,1144,39.7288495,-77.4091588,"17"
420010316004,31600,4,1974,39.7575386,-77.3418621,"17"
420010316005,31600,5,2198,39.7501912,-77.386854,"17"
420010317001,31700,1,1139,39.802578,-77.4345286,"17"
420010317002,31700,2,1687,39.7592097,-77.4202567,"17"
420030103011,10301,1,1807,40.4340503,-79.9864299,"2"
420030103021,10302,1,3326,40.4368797,-79.9903769,"2"
420030103022,10302,2,749,40.437053,-79.9808185,"2"
420030201001,20100,1,1763,40.4396954,-80.0061777,"2"
420030201002,20100,2,1134,40.44297,-80.0038877,"7"
420030201003,20100,3,710,40.4413687,-79.9991048,"2"
420030201004,20100,4,144,40.4381256,-79.9968423,"2"
420030201005,20100,5,978,40.4454007,-79.9971407,"7"
420030203001,20300,1,1845,40.4544996,-79.9812762,"7"
420030305001,30500,1,1238,40.4444829,-79.9854147,"2"
420030305002,30500,2,1055,40.440391,-79.9813877,"2"
420030305003,30500,3,748,40.4406854,-79.9891394,"2"
420030402001,40200,1,1044,40.4381815,-79.968388,"2"
420030402002,40200,2,1490,40.4412437,-79.9626108,"2"
420030404001,40400,1,685,40.4458252,-79.9484485,"2"
420030404002,40400,2,1535,40.4482769,-79.9500083,"2"
420030405001,40500,1,1867,40.4406749,-79.9542207,"2"
420030405002,40500,2,1914,40.4382254,-79.9582155,"2"
420030406001,40600,1,1174,40.4379038,-79.951784,"2"
420030406002,40600,2,880,40.4354562,-79.9528492,"2"
420030409001,40900,1,1606,40.4355089,-79.9626926,"2"
420030409002,40900,2,1096,40.4318349,-79.9556755,"2"
420030409003,40900,3,624,40.4308074,-79.9518013,"2"
420030501001,50100,1,893,40.4459724,-79.9776953,"2"
420030501002,50100,2,864,40.4488258,-79.9698175,"7"
420030506001,50600,1,685,40.4553953,-79.958044,"7"
420030506002,50600,2,1038,40.451157,-79.9599096,"2"
420030509001,50900,1,1386,40.4510143,-79.974385,"7"
420030510001,51000,1,896,40.4419374,-79.9712169,"2"
420030510002,51000,2,807,40.4458721,-79.9652652,"2"
420030511001,51100,1,617,40.4415541,-79.9764371,"2"
420030603001,60300,1,1012,40.4621186,-79.9609721,"7"
420030603002,60300,2,1629,40.4686987,-79.9653909,"7"
420030605001,60500,1,665,40.4570301,-79.9693477,"7"
420030605002,60500,2,536,40.4586056,-79.961281,"7"
420030703001,70300,1,692,40.452724,-79.9334902,"2"
420030703002,70300,2,799,40.45023,-79.9325808,"2"
420030703003,70300,3,752,40.4501627,-79.9374007,"2"
420030705001,70500,1,1267,40.4551545,-79.927519,"2"
420030705002,70500,2,752,40.4539089,-79.9307306,"2"
420030705003,70500,3,1021,40.4574217,-79.9293781,"2"
420030706001,70600,1,998,40.4546022,-79.9234925,"2"
420030706002,70600,2,1196,40.4519412,-79.9274585,"2"
420030708001,70800,1,1257,40.4584206,-79.9220091,"2"
420030708002,70800,2,1596,40.4551027,-79.9181947,"2"
420030709001,70900,1,1903,40.4544392,-79.9379457,"2"
420030709002,70900,2,786,40.4510924,-79.9473004,"2"
420030709003,70900,3,762,40.4489125,-79.9431796,"2"
420030709004,70900,4,1536,40.4525514,-79.9436227,"2"
420030802001,80200,1,1037,40.4593318,-79.9510077,"7"
420030802002,80200,2,581,40.46172,-79.9522413,"7"
420030804001,80400,1,990,40.4574303,-79.9441129,"7"
420030804002,80400,2,684,40.4551219,-79.9478971,"7"
420030806001,80600,1,1324,40.4615947,-79.9396143,"7"
420030806002,80600,2,684,40.4582793,-79.9397404,"7"
420030807001,80700,1,824,40.4627928,-79.933593,"7"
420030807002,80700,2,1139,40.4592964,-79.9351049,"7"
420030809001,80900,1,997,40.462378,-79.9463542,"7"
420030809002,80900,2,827,40.464524,-79.942963,"7"
420030901001,90100,1,1091,40.4767724,-79.9604315,"7"
420030901002,90100,2,947,40.4736328,-79.9630772,"7"
420030902001,90200,1,855,40.4694635,-79.9592921,"7"
420030902002,90200,2,1194,40.4692759,-79.9555792,"7"
420030902003,90200,3,629,40.4664652,-79.9570577,"7"
420030903001,90300,1,873,40.4643666,-79.9503692,"7"
420030903002,90300,2,668,40.4643354,-79.9548793,"7"
420031005001,100500,1,784,40.476048,-79.934335,"7"
420031005002,100500,2,1229,40.4781905,-79.9394122,"7"
420031011001,101100,1,1234,40.4796385,-79.9516903,"7"
420031011002,101100,2,616,40.4837135,-79.9541965,"7"
420031011003,101100,3,544,40.48181,-79.947774,"7"
420031014001,101400,1,1105,40.4870565,-79.9262215,"7"
420031014002,101400,2,672,40.4844952,-79.9284287,"7"
420031014003,101400,3,754,40.4750326,-79.9299701,"7"
420031014004,101400,4,721,40.4799173,-79.9300799,"7"
420031018001,101800,1,953,40.4829399,-79.9336443,"7"
420031018002,101800,2,1461,40.4847864,-79.938583,"7"
420031019001,101900,1,998,40.4703739,-79.9393306,"7"
420031019002,101900,2,867,40.4672423,-79.94337,"7"
