"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
440010301001,30100,1,1555,41.7548932,-71.3354602,"1"
440010301002,30100,2,867,41.7408466,-71.3355372,"1"
440010301003,30100,3,1287,41.7403251,-71.346911,"1"
440010301004,30100,4,1092,41.7520835,-71.34596,"1"
440010302001,30200,1,1161,41.7593931,-71.3256026,"1"
440010302002,30200,2,1377,41.7441342,-71.3233179,"1"
440010302003,30200,3,1042,41.7407993,-71.3099251,"1"
440010303001,30300,1,1426,41.7483916,-71.2918514,"1"
440010303002,30300,2,1787,41.7521104,-71.3015637,"1"
440010303003,30300,3,1562,41.7578038,-71.307633,"1"
440010304001,30400,1,1154,41.7304941,-71.2924232,"1"
440010304002,30400,2,1636,41.7143862,-71.3015021,"1"
440010304003,30400,3,1207,41.7257043,-71.3374715,"1"
440010305001,30500,1,829,41.7354863,-71.2824955,"1"
440010305002,30500,2,1192,41.7284808,-71.275392,"1"
440010305003,30500,3,1453,41.7303421,-71.2858517,"1"
440010306011,30601,1,931,41.7470486,-71.2711449,"1"
440010306012,30601,2,1365,41.733781,-71.2570592,"1"
440010306013,30601,3,1257,41.7099594,-71.2369662,"1"
440010306021,30602,1,1191,41.7232989,-71.2705343,"1"
440010306022,30602,2,1000,41.716473,-71.2630637,"1"
440010306023,30602,3,1306,41.7166647,-71.274885,"1"
440010306024,30602,4,623,41.7122836,-71.2882229,"1"
440010307001,30700,1,927,41.6760909,-71.2720968,"1"
440010307002,30700,2,999,41.6732937,-71.270906,"1"
440010307003,30700,3,811,41.6694587,-71.2704613,"1"
440010307004,30700,4,1115,41.6722299,-71.2791751,"1"
440010308001,30800,1,2034,41.6713557,-71.2637594,"1"
440010308002,30800,2,786,41.6490649,-71.2686186,"1"
440010308003,30800,3,2770,41.6657483,-71.2441264,"1"
440010309011,30901,1,1897,41.707763,-71.258023,"1"
440010309012,30901,2,2680,41.6939975,-71.2501698,"1"
440010309013,30901,3,1508,41.6885536,-71.2204898,"1"
440010309021,30902,1,1385,41.702338,-71.2727921,"1"
440010309022,30902,2,1812,41.6971208,-71.2918125,"1"
440010309023,30902,3,1299,41.6644828,-71.2984746,"1"
440010309024,30902,4,2470,41.6815258,-71.2729425,"1"
440030201011,20101,1,2593,41.679867,-71.5076281,"1"
440030201012,20101,2,1555,41.6676996,-71.5169748,"1"
440030201013,20101,3,1219,41.6785329,-71.5179344,"1"
440030201014,20101,4,1490,41.6757857,-71.524501,"1"
440030201021,20102,1,1604,41.6907116,-71.5055892,"1"
440030201022,20102,2,1378,41.6843201,-71.5256532,"1"
440030201023,20102,3,2066,41.691168,-71.5157891,"1"
440030202001,20200,1,1774,41.7089335,-71.5161354,"1"
440030202002,20200,2,1432,41.6995981,-71.518909,"1"
440030202003,20200,3,1906,41.6920814,-71.528252,"1"
440030203001,20300,1,863,41.7173639,-71.5301725,"1"
440030203002,20300,2,1594,41.7115304,-71.5266853,"1"
440030203003,20300,3,1281,41.7065682,-71.5272062,"1"
440030203004,20300,4,1079,41.7028695,-71.526874,"1"
440030203005,20300,5,1401,41.7006196,-71.5307198,"1"
440030204001,20400,1,714,41.7266966,-71.5202981,"1"
440030204002,20400,2,921,41.7194051,-71.5236591,"1"
440030204003,20400,3,1628,41.7263403,-71.5288758,"1"
440030205001,20500,1,1502,41.728582,-71.4988703,"1"
440030205002,20500,2,3012,41.7207787,-71.5045073,"1"
440030206011,20601,1,1613,41.7265432,-71.5441629,"1"
440030206012,20601,2,1586,41.713356,-71.5414787,"1"
440030206013,20601,3,1578,41.7139535,-71.5674599,"1"
440030206014,20601,4,1654,41.7198697,-71.5508729,"1"
440030206021,20602,1,1819,41.6961034,-71.5686558,"1"
440030206022,20602,2,1693,41.689468,-71.5810915,"1"
440030206031,20603,1,2445,41.6698725,-71.5491445,"1"
440030206032,20603,2,1114,41.6784584,-71.5616483,"1"
440030206033,20603,3,1356,41.6695572,-71.5602285,"1"
440030206034,20603,4,1876,41.6684309,-71.5782526,"1"
440030206041,20604,1,1690,41.7006858,-71.5524193,"1"
440030206042,20604,2,1161,41.699068,-71.5381956,"1"
440030206043,20604,3,2590,41.6889214,-71.5406382,"1"
440030207011,20701,1,1894,41.6902987,-71.7440319,"1"
440030207021,20702,1,1712,41.6875135,-71.6264004,"1"
440030207022,20702,2,2883,41.6882939,-71.6653675,"1"
440030207031,20703,1,2910,41.7188984,-71.606742,"1"
440030207032,20703,2,1343,41.665108,-71.5996635,"1"
440030207033,20703,3,2771,41.6890246,-71.6021403,"1"
440030208001,20800,1,1916,41.6555061,-71.5805706,"1"
440030208002,20800,2,2422,41.6277773,-71.6145061,"1"
440030208003,20800,3,2190,41.6253373,-71.7264075,"1"
440030209011,20901,1,1385,41.6579604,-71.4494208,"1"
440030209012,20901,2,925,41.6486256,-71.4661224,"1"
440030209013,20901,3,1281,41.6557909,-71.4588924,"1"
440030209031,20903,1,2858,41.6554702,-71.5197673,"1"
440030209032,20903,2,1549,41.6249344,-71.5008988,"1"
440030209033,20903,3,2469,41.622811,-71.5320809,"1"
440030209041,20904,1,1978,41.6563371,-71.4772348,"1"
440030209042,20904,2,1867,41.6350309,-71.4830438,"1"
440030210011,21001,1,1275,41.762824,-71.4099025,"1"
440030210012,21001,2,1146,41.7568433,-71.4152716,"1"
440030210021,21002,1,1106,41.7632973,-71.3935913,"1"
440030210022,21002,2,1296,41.7532478,-71.3854852,"1"
440030210023,21002,3,2284,41.7559026,-71.3991202,"1"
440030211001,21100,1,1738,41.7561998,-71.4244932,"1"
440030211002,21100,2,1336,41.7514228,-71.4355313,"1"
440030211003,21100,3,1296,41.7374217,-71.4240834,"1"
440030211004,21100,4,1010,41.7352438,-71.4418541,"1"
440030212001,21200,1,1377,41.7469511,-71.4194441,"1"
440030212002,21200,2,2280,41.7482999,-71.4102333,"1"
440030213001,21300,1,995,41.7427803,-71.379754,"1"
440030213002,21300,2,1587,41.7318588,-71.3787559,"1"
440030213003,21300,3,830,41.7481515,-71.3981568,"1"
440030213004,21300,4,1212,41.7419803,-71.4011109,"1"
440030214011,21401,1,1887,41.7151945,-71.4064218,"1"
440030214012,21401,2,1005,41.7248195,-71.415435,"1"
440030214013,21401,3,1171,41.7307128,-71.4143668,"1"
440030214021,21402,1,1861,41.7279754,-71.4011791,"1"
440030214022,21402,2,790,41.7258048,-71.3917585,"1"
440030214023,21402,3,1231,41.7204601,-71.3910159,"1"
440030215011,21501,1,841,41.7256496,-71.3806065,"1"
440030215012,21501,2,1075,41.7192193,-71.3723323,"1"
440030215013,21501,3,822,41.7156704,-71.3822633,"1"
440030215014,21501,4,661,41.7169344,-71.3590518,"1"
440030215021,21502,1,980,41.7035705,-71.365437,"1"
440030215022,21502,2,1003,41.6943589,-71.3667561,"1"
440030215023,21502,3,1287,41.7050723,-71.3769411,"1"
440030215024,21502,4,942,41.6972077,-71.3811004,"1"
440030216001,21600,1,870,41.6884243,-71.3830565,"1"
440030216002,21600,2,700,41.6694193,-71.3817895,"1"
440030217001,21700,1,1090,41.6942937,-71.3928375,"1"
440030217002,21700,2,816,41.6840514,-71.3963208,"1"
440030217003,21700,3,1035,41.693582,-71.4032983,"1"
440030217004,21700,4,959,41.6992454,-71.4035813,"1"
440030217005,21700,5,1027,41.702136,-71.4124973,"1"
440030218001,21800,1,2591,41.7112813,-71.3909225,"1"
440030218002,21800,2,1484,41.7032619,-71.4015603,"1"
440030219011,21901,1,730,41.7150668,-71.4427105,"1"
440030219012,21901,2,1153,41.7048168,-71.4354774,"1"
440030219013,21901,3,1269,41.7047207,-71.4459481,"1"
440030219021,21902,1,1001,41.7118542,-71.4200191,"1"
440030219022,21902,2,957,41.70782,-71.4229774,"1"
440030219023,21902,3,720,41.7092734,-71.4306854,"1"
440030219031,21903,1,1608,41.6982222,-71.4324,"1"
440030219032,21903,2,2280,41.6851678,-71.4155038,"1"
440030220001,22000,1,1406,41.6735219,-71.4432982,"1"
440030220002,22000,2,2041,41.6873448,-71.4384093,"1"
440030221001,22100,1,2522,41.7213275,-71.4549721,"1"
440030221002,22100,2,922,41.7108524,-71.4548424,"1"
440030221003,22100,3,1207,41.7110837,-71.4765534,"1"
440030221004,22100,4,937,41.7084699,-71.459113,"1"
440030222011,22201,1,1354,41.6925585,-71.4721101,"1"
440030222012,22201,2,1525,41.6764763,-71.4689414,"1"
440030222013,22201,3,1450,41.6685155,-71.467536,"1"
440030222014,22201,4,810,41.6791109,-71.4549037,"1"
440030222015,22201,5,1540,41.6917124,-71.4626344,"1"
440030222021,22202,1,1428,41.675044,-71.4899835,"1"
440030222022,22202,2,2484,41.6958248,-71.4859759,"1"
440030223001,22300,1,769,41.7054442,-71.502856,"1"
440030223002,22300,2,1226,41.7193278,-71.4890066,"1"
440030223003,22300,3,882,41.7240794,-71.4760819,"1"
440030223004,22300,4,1423,41.7310185,-71.4625039,"1"
440030224001,22400,1,1058,41.665324,-71.4281183,"1"
440030224002,22400,2,1225,41.6398704,-71.4565377,"1"
440050401011,40101,1,1204,41.62641,-71.2286775,"1"
440050401012,40101,2,1781,41.6254514,-71.2472605,"1"
440050401013,40101,3,1989,41.6432906,-71.2294619,"1"
440050401021,40102,1,1576,41.5650753,-71.2421182,"1"
440050401022,40102,2,1611,41.5349901,-71.2430049,"1"
440050401023,40102,3,2781,41.6005446,-71.2463775,"1"
440050401041,40104,1,2169,41.5687593,-71.2827274,"1"
440050401042,40104,2,2887,41.572893,-71.2662106,"1"
440050401051,40105,1,21,41.6410095,-71.280394,"1"
440050401052,40105,2,231,41.5969653,-71.3209317,"1"
440050401053,40105,3,1621,41.6092507,-71.264167,"1"
440050402001,40200,1,1611,41.5225174,-71.3024714,"1"
440050402002,40200,2,1,41.5372453,-71.3100859,"1"
440050403021,40302,1,1379,41.5151709,-71.3066487,"1"
440050403022,40302,2,1236,41.5073024,-71.2985157,"1"
440050403031,40303,1,623,41.5547122,-71.2982454,"1"
440050403032,40303,2,2072,41.5436445,-71.2976037,"1"
440050403033,40303,3,653,41.5380706,-71.3030203,"1"
440050403041,40304,1,1738,41.5317451,-71.2804654,"1"
440050403042,40304,2,1602,41.5236402,-71.292821,"1"
440050404001,40400,1,2206,41.5053374,-71.258627,"1"
440050404002,40400,2,2102,41.5093798,-71.284075,"1"
440050404003,40400,3,1852,41.4900127,-71.2754419,"1"
440050405001,40500,1,2007,41.5128639,-71.3133451,"1"
440050405002,40500,2,1640,41.5048292,-71.3118125,"1"
440050405003,40500,3,762,41.4975294,-71.3136631,"1"
440050406001,40600,1,1458,41.5033431,-71.3042655,"1"
440050406002,40600,2,640,41.4983309,-71.3052293,"1"
440050406003,40600,3,1326,41.4955334,-71.3074692,"1"
440050406004,40600,4,1326,41.4938069,-71.3124736,"1"
440050407001,40700,1,1366,41.4979432,-71.2990567,"1"
440050407002,40700,2,1077,41.4947355,-71.2937397,"1"
440050407003,40700,3,767,41.4896677,-71.310321,"1"
440050408001,40800,1,1204,41.4841144,-71.3025212,"1"
440050408002,40800,2,658,41.4811003,-71.310407,"1"
440050408003,40800,3,794,41.4780311,-71.2991068,"1"
440050409001,40900,1,2431,41.4631791,-71.3047479,"1"
440050409002,40900,2,2465,41.4629506,-71.336132,"1"
440050410001,41000,1,536,41.4873726,-71.3167306,"1"
440050410002,41000,2,1493,41.479981,-71.3154886,"1"
440050411002,41100,2,857,41.4989535,-71.320795,"1"
440050411003,41100,3,622,41.4871168,-71.3268221,"1"
440050412001,41200,1,1734,41.5102348,-71.3296377,"1"
440050413001,41300,1,1259,41.5220517,-71.3841161,"1"
440050413002,41300,2,777,41.5519949,-71.3779138,"1"
440050413003,41300,3,951,41.5465938,-71.3625782,"1"
440050413004,41300,4,1185,41.5045507,-71.3701157,"1"
440050413005,41300,5,1387,41.4780351,-71.3870174,"1"
440050414001,41400,1,1048,41.491684,-71.1772296,"1"
440050414002,41400,2,1442,41.5403869,-71.1403307,"1"
440050414003,41400,3,1126,41.5189976,-71.1747902,"1"
440050416011,41601,1,1825,41.6665308,-71.1831814,"1"
440050416012,41601,2,1330,41.6664505,-71.1942025,"1"
440050416021,41602,1,1208,41.6325035,-71.2025053,"1"
440050416022,41602,2,1873,41.6502794,-71.2058963,"1"
440050416023,41602,3,1573,41.6505915,-71.1969182,"1"
440050417011,41701,1,1624,41.6387171,-71.1746097,"1"
440050417012,41701,2,1722,41.6482533,-71.1419065,"1"
440050417021,41702,1,2174,41.607984,-71.1682006,"1"
440050417022,41702,2,2005,41.5779378,-71.1697152,"1"
440050417023,41702,3,1025,41.5779165,-71.2067218,"1"
440070001011,101,1,1355,41.7929314,-71.3882921,"1"
440070001012,101,2,719,41.7892524,-71.3945438,"1"
440070001013,101,3,1317,41.7929456,-71.3997278,"1"
440070001014,101,4,1180,41.7893757,-71.401108,"1"
440070001021,102,1,1136,41.7925232,-71.4054309,"1"
440070001022,102,2,1320,41.7810657,-71.4102284,"1"
440070001023,102,3,1561,41.7893658,-71.4093372,"1"
440070001024,102,4,1510,41.7834368,-71.4171006,"1"
440070002001,200,1,1610,41.7981396,-71.421188,"2"
440070002002,200,2,1153,41.7942328,-71.4234174,"2"
440070002003,200,3,1075,41.795805,-71.419255,"2"
440070002004,200,4,1271,41.7968334,-71.4155018,"2"
440070002005,200,5,1848,41.7918857,-71.4175471,"1"
440070003011,301,1,1610,41.8052577,-71.4274037,"2"
440070003012,301,2,1003,41.7995378,-71.4281923,"2"
440070003021,302,1,754,41.8088501,-71.4225378,"2"
440070003022,302,2,1336,41.8038248,-71.4217583,"2"
440070003023,302,3,963,41.8044606,-71.424072,"2"
440070003024,302,4,1675,41.8004417,-71.4224766,"2"
440070004001,400,1,982,41.8085006,-71.416492,"2"
440070004002,400,2,964,41.8059716,-71.4169125,"2"
440070004003,400,3,926,41.803574,-71.4135422,"2"
440070004004,400,4,1186,41.8028042,-71.417086,"2"
440070005001,500,1,1219,41.8008579,-71.4093415,"2"
440070005002,500,2,772,41.7998629,-71.4143469,"2"
440070005003,500,3,1296,41.7972021,-71.4090397,"2"
440070006001,600,1,733,41.8114841,-71.4033726,"2"
440070006002,600,2,1513,41.8065863,-71.4096552,"2"
440070007001,700,1,519,41.813877,-71.4140246,"2"
440070007002,700,2,1576,41.8119105,-71.4165981,"2"
440070007003,700,3,619,41.8155832,-71.4192628,"2"
440070008001,800,1,2024,41.8265415,-71.4146046,"2"
440070008002,800,2,1124,41.8192592,-71.4157909,"2"
440070008003,800,3,1498,41.8220624,-71.411219,"2"
440070009001,900,1,1298,41.8242451,-71.4250219,"2"
440070009002,900,2,952,41.8222993,-71.4295423,"2"
440070010001,1000,1,1357,41.8186422,-71.4331075,"2"
440070010002,1000,2,1227,41.8196739,-71.435794,"2"
440070011001,1100,1,1050,41.8211639,-71.4268147,"2"
440070011002,1100,2,755,41.8190172,-71.4236269,"2"
440070011003,1100,3,797,41.8191474,-71.4281629,"2"
440070012001,1200,1,1275,41.8151308,-71.424382,"2"
440070012002,1200,2,911,41.8141676,-71.4286678,"2"
440070012003,1200,3,1239,41.8108647,-71.4256811,"2"
440070013001,1300,1,853,41.8145532,-71.4332399,"2"
440070013002,1300,2,1056,41.8117908,-71.4336604,"2"
440070013003,1300,3,1288,41.8106136,-71.4379333,"2"
440070013004,1300,4,1099,41.8132335,-71.4384197,"2"
440070014001,1400,1,1347,41.8101228,-71.4303802,"2"
440070014002,1400,2,1686,41.8074479,-71.4318396,"2"
440070014003,1400,3,969,41.8087722,-71.436194,"2"
440070014004,1400,4,1709,41.803874,-71.4341659,"2"
440070014005,1400,5,1238,41.8064191,-71.4393768,"2"
440070015001,1500,1,1119,41.7927639,-71.4308244,"1"
440070015002,1500,2,937,41.7902786,-71.4261757,"1"
440070015003,1500,3,880,41.7872167,-71.426924,"1"
440070016011,1601,1,749,41.8155411,-71.448227,"2"
440070016012,1601,2,1548,41.8131368,-71.4440944,"2"
440070016013,1601,3,897,41.8144694,-71.4533172,"2"
440070016021,1602,1,1430,41.8096256,-71.4445248,"2"
440070016022,1602,2,1065,41.808511,-71.4468447,"2"
440070016023,1602,3,1527,41.8082159,-71.4505688,"2"
440070016024,1602,4,1597,41.8117814,-71.4523292,"2"
440070017001,1700,1,1179,41.8075286,-71.4546587,"2"
440070017002,1700,2,1255,41.807067,-71.4609164,"2"
440070017003,1700,3,1937,41.8106107,-71.4579961,"2"
440070018001,1800,1,1161,41.8211946,-71.4651577,"2"
440070018002,1800,2,1666,41.8199522,-71.4541982,"2"
440070018003,1800,3,909,41.8165395,-71.4531429,"2"
440070018004,1800,4,1209,41.8159742,-71.457455,"2"
440070018005,1800,5,1285,41.815837,-71.460765,"2"
440070018006,1800,6,1376,41.8123685,-71.46427,"2"
440070019001,1900,1,718,41.8232533,-71.4371541,"2"
440070019002,1900,2,1096,41.8188624,-71.4442235,"2"
440070019003,1900,3,1072,41.8198265,-71.4490704,"2"
440070019004,1900,4,667,41.8241804,-71.4506129,"2"
440070019005,1900,5,1314,41.8230282,-71.4470955,"2"
440070019006,1900,6,1380,41.8218729,-71.4426872,"2"
440070020001,2000,1,2652,41.824623,-71.4577339,"2"
440070020002,2000,2,3917,41.8319004,-71.4631914,"2"
440070021011,2101,1,784,41.8347244,-71.4517418,"2"
440070021012,2101,2,932,41.8370038,-71.4481538,"2"
440070021013,2101,3,1074,41.8342383,-71.4467646,"2"
440070021021,2102,1,852,41.830695,-71.4518693,"2"
440070021022,2102,2,976,41.8277129,-71.4552594,"2"
440070021023,2102,3,2310,41.82737,-71.4462444,"2"
440070021024,2102,4,1579,41.8269977,-71.4512666,"2"
440070021025,2102,5,728,41.8312694,-71.4470521,"2"
440070022001,2200,1,1410,41.8319269,-71.4335911,"2"
440070022002,2200,2,1040,41.828049,-71.4375675,"2"
440070022003,2200,3,1401,41.8275759,-71.4417658,"2"
440070022004,2200,4,1365,41.8309023,-71.4417121,"2"
440070023001,2300,1,1382,41.8390449,-71.4311636,"2"
440070023002,2300,2,1210,41.836037,-71.4354638,"2"
440070023003,2300,3,749,41.8336358,-71.4415572,"2"
440070023004,2300,4,681,41.8366926,-71.442043,"2"
440070023005,2300,5,825,41.8404497,-71.4363502,"2"
440070023006,2300,6,750,41.8397285,-71.4418902,"2"
440070024001,2400,1,2099,41.8441525,-71.4362744,"2"
440070024002,2400,2,1211,41.8466775,-71.4401446,"2"
440070024003,2400,3,989,41.8428036,-71.4314709,"2"
440070024004,2400,4,1728,41.8489011,-71.4493746,"2"
440070024005,2400,5,1170,41.8461242,-71.4449145,"2"
