"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
450019501001,950100,1,1336,34.4307994,-82.3568983,"1"
450019501002,950100,2,938,34.4069074,-82.2795432,"1"
450019501003,950100,3,820,34.3834262,-82.3310772,"1"
450019502001,950200,1,1319,34.3398362,-82.4525866,"1"
450019502002,950200,2,2015,34.3131405,-82.3533907,"1"
450019502003,950200,3,856,34.2895733,-82.4153236,"1"
450019503001,950300,1,1004,34.2971527,-82.5129834,"1"
450019503002,950300,2,1324,34.2514973,-82.5563086,"1"
450019503003,950300,3,861,34.2214356,-82.6432907,"1"
450019504011,950401,1,1656,34.2063458,-82.378663,"1"
450019504012,950401,2,1592,34.1917237,-82.4325901,"1"
450019504021,950402,1,1359,34.2467992,-82.3685497,"1"
450019504022,950402,2,1269,34.2111721,-82.3144728,"1"
450019505001,950500,1,1140,34.1826626,-82.3656255,"1"
450019505002,950500,2,1538,34.1493196,-82.2872414,"1"
450019505003,950500,3,751,34.1613625,-82.3737831,"1"
450019505004,950500,4,990,34.1006775,-82.3701996,"1"
450019505005,950500,5,879,34.1058369,-82.4643942,"1"
450019506001,950600,1,812,34.0831115,-82.5277048,"1"
450019506002,950600,2,521,34.058006,-82.5948637,"1"
450019506003,950600,3,1315,34.1508097,-82.5919494,"1"
450030201001,20100,1,847,33.7567595,-81.4775335,"3"
450030201002,20100,2,771,33.7555861,-81.6457931,"3"
450030201003,20100,3,831,33.8261747,-81.562462,"3"
450030201004,20100,4,1026,33.7994692,-81.6013172,"3"
450030201005,20100,5,1402,33.7079974,-81.5545181,"3"
450030202001,20200,1,1804,33.6099496,-81.594745,"3"
450030202002,20200,2,1896,33.6330989,-81.6741226,"3"
450030202003,20200,3,1186,33.6917198,-81.6581411,"3"
450030202004,20200,4,1024,33.7205156,-81.7092044,"3"
450030203011,20301,1,1103,33.6828071,-81.7549822,"3"
450030203012,20301,2,1365,33.6502643,-81.8283027,"3"
450030203031,20303,1,931,33.5981409,-81.706633,"3"
450030203032,20303,2,847,33.622038,-81.7150325,"3"
450030203041,20304,1,1818,33.6125286,-81.775072,"3"
450030203042,20304,2,2939,33.5919386,-81.7928385,"3"
450030204011,20401,1,3278,33.5494442,-81.8505005,"3"
450030204012,20401,2,3938,33.5934099,-81.8465066,"3"
450030204021,20402,1,941,33.5637606,-81.7955422,"3"
450030204022,20402,2,1027,33.5628051,-81.8208722,"3"
450030205001,20500,1,3318,33.550109,-81.9767965,"3"
450030205002,20500,2,2012,33.5966677,-81.9126733,"3"
450030205003,20500,3,2036,33.5768458,-81.9476503,"3"
450030205004,20500,4,1878,33.5627666,-81.9487126,"3"
450030206011,20601,1,1341,33.5508546,-81.9050088,"3"
450030206012,20601,2,1046,33.5737969,-81.8905467,"3"
450030206013,20601,3,1548,33.5424342,-81.9105815,"3"
450030206031,20603,1,1102,33.5242692,-81.9440296,"3"
450030206032,20603,2,1968,33.5202036,-81.9330962,"3"
450030206041,20604,1,675,33.5393479,-81.9336458,"3"
450030206042,20604,2,696,33.5548618,-81.9406024,"3"
450030206043,20604,3,1346,33.5391259,-81.9499289,"3"
450030207011,20701,1,1404,33.5232082,-81.9671974,"3"
450030207012,20701,2,1550,33.5357392,-81.97123,"3"
450030207013,20701,3,845,33.527917,-81.9567353,"3"
450030207014,20701,4,1968,33.5111734,-81.96833,"3"
450030207021,20702,1,1282,33.5026635,-81.9573217,"3"
450030207022,20702,2,907,33.5147235,-81.9489855,"3"
450030207023,20702,3,1938,33.5033784,-81.9490398,"3"
450030207024,20702,4,665,33.497486,-81.9411684,"3"
450030208011,20801,1,1487,33.5267529,-81.9938837,"3"
450030208012,20801,2,1671,33.5095494,-81.9848927,"3"
450030208021,20802,1,2539,33.4942587,-81.9801761,"3"
450030208022,20802,2,859,33.5039607,-81.9724402,"3"
450030208023,20802,3,2314,33.4848041,-81.9624143,"3"
450030209011,20901,1,1172,33.4212922,-81.9090133,"3"
450030209012,20901,2,1034,33.3737931,-81.8801147,"3"
450030209031,20903,1,1856,33.4902298,-81.7969338,"3"
450030209032,20903,2,1817,33.4529435,-81.8305909,"3"
450030209041,20904,1,1881,33.4570434,-81.8607102,"3"
450030209042,20904,2,1256,33.4565434,-81.9071635,"3"
450030210011,21001,1,1086,33.5085341,-81.8501692,"3"
450030210012,21001,2,636,33.4900554,-81.8486593,"3"
450030210013,21001,3,779,33.4932899,-81.8822279,"3"
450030210014,21001,4,2246,33.5213646,-81.8757869,"3"
450030210031,21003,1,1816,33.5171856,-81.9064812,"3"
450030210032,21003,2,1315,33.5092226,-81.9188802,"3"
450030210041,21004,1,1904,33.4944122,-81.915172,"3"
450030211011,21101,1,1777,33.5069085,-81.8267708,"3"
450030211012,21101,2,832,33.5289558,-81.8289239,"3"
450030211021,21102,1,1013,33.5470488,-81.8016891,"3"
450030211022,21102,2,1874,33.5290504,-81.8045716,"3"
450030211023,21102,3,693,33.5195953,-81.8162572,"3"
450030212011,21201,1,1423,33.516002,-81.7600605,"3"
450030212012,21201,2,1415,33.5102953,-81.748228,"3"
450030212013,21201,3,880,33.5209495,-81.7339217,"3"
450030212014,21201,4,2284,33.5328994,-81.7749498,"3"
450030212021,21202,1,1402,33.5429905,-81.7648835,"3"
450030212022,21202,2,1293,33.5300672,-81.7356909,"3"
450030212023,21202,3,887,33.5444453,-81.7430941,"3"
450030212041,21204,1,2405,33.5122747,-81.7234941,"3"
450030212042,21204,2,670,33.5079766,-81.7153486,"3"
450030212051,21205,1,2304,33.4779047,-81.737503,"3"
450030212052,21205,2,2642,33.4765998,-81.7136972,"3"
450030212053,21205,3,1893,33.4964945,-81.7280451,"3"
450030213001,21300,1,1504,33.5699098,-81.7472389,"3"
450030213002,21300,2,1668,33.5731428,-81.7638298,"3"
450030213003,21300,3,1736,33.559926,-81.747449,"3"
450030214011,21401,1,908,33.5689747,-81.7286328,"3"
450030214012,21401,2,1241,33.5607787,-81.7110906,"3"
450030214021,21402,1,1371,33.580911,-81.7371241,"3"
450030214022,21402,2,1243,33.5736289,-81.717704,"3"
450030214023,21402,3,678,33.5697125,-81.7042341,"3"
450030215001,21500,1,732,33.5464611,-81.7166236,"3"
450030215002,21500,2,788,33.5430242,-81.6907305,"3"
450030215003,21500,3,1660,33.5364155,-81.7074969,"3"
450030215004,21500,4,1941,33.5304655,-81.7162278,"3"
450030216011,21601,1,742,33.5602404,-81.6831046,"3"
450030216012,21601,2,1453,33.5622136,-81.6413787,"3"
450030216013,21601,3,1806,33.5852619,-81.6735136,"3"
450030216014,21601,4,1529,33.5775326,-81.6979438,"3"
450030216031,21603,1,2943,33.5125123,-81.6714321,"3"
450030216041,21604,1,1685,33.5156899,-81.7044393,"3"
450030216042,21604,2,778,33.4989632,-81.6965491,"3"
450030216043,21604,3,1139,33.4792361,-81.6736105,"3"
450030216044,21604,4,1884,33.5016204,-81.6889423,"3"
450030217001,21700,1,1563,33.6309583,-81.4705006,"3"
450030217002,21700,2,958,33.6374262,-81.3910164,"3"
450030217003,21700,3,1043,33.6920554,-81.3915832,"3"
450030217004,21700,4,846,33.680018,-81.327615,"3"
450030218001,21800,1,551,33.5781191,-81.301596,"3"
450030218002,21800,2,1215,33.6383531,-81.2767091,"3"
450030218003,21800,3,667,33.5464622,-81.3977668,"3"
450030219011,21901,1,1267,33.5260497,-81.5946062,"3"
450030219012,21901,2,1585,33.5087722,-81.4763797,"3"
450030219021,21902,1,1184,33.4342964,-81.4784267,"3"
450030219022,21902,2,1762,33.4555509,-81.5723372,"3"
450030220011,22001,1,1305,33.4255429,-81.6446802,"3"
450030220012,22001,2,634,33.3995767,-81.671292,"3"
450030220013,22001,3,881,33.4665739,-81.6274087,"3"
450030220014,22001,4,1926,33.4571223,-81.6621192,"3"
450030220031,22003,1,1006,33.4167876,-81.7684049,"3"
450030220032,22003,2,1861,33.4420466,-81.7351126,"3"
450030220033,22003,3,1725,33.4621768,-81.7759639,"3"
450030220041,22004,1,780,33.3875384,-81.7545702,"3"
450030220042,22004,2,1715,33.4135816,-81.7027234,"3"
450030221001,22100,1,1583,33.36096,-81.8061448,"3"
450030221002,22100,2,742,33.3147374,-81.8384557,"3"
450030221003,22100,3,726,33.3319865,-81.7901742,"3"
450059702011,970201,1,650,33.0285174,-81.3056778,"3"
450059702012,970201,2,728,33.0054564,-81.2749098,"3"
450059702013,970201,3,509,33.00306,-81.3140213,"3"
450059702014,970201,4,491,32.9882544,-81.2953372,"3"
450059702021,970202,1,1101,33.0659946,-81.4549861,"3"
450059702022,970202,2,519,32.9391134,-81.4333875,"3"
450059705001,970500,1,891,33.0551986,-81.2151634,"3"
450059705002,970500,2,768,32.9982212,-81.2142366,"3"
450059705003,970500,3,935,32.9536337,-81.2406365,"3"
450059705004,970500,4,1447,32.8612872,-81.338896,"3"
450070002001,200,1,1380,34.5299119,-82.6493961,"1"
450070002002,200,2,1656,34.519021,-82.6483132,"1"
450070002003,200,3,1703,34.5171922,-82.6358549,"1"
450070003001,300,1,1769,34.5241838,-82.6211668,"1"
450070003002,300,2,1768,34.5281764,-82.6300099,"1"
450070003003,300,3,1878,34.5364567,-82.6369798,"1"
450070005001,500,1,1626,34.487792,-82.6123902,"1"
450070005002,500,2,1205,34.4909908,-82.5962347,"1"
450070006001,600,1,834,34.5009722,-82.6420515,"1"
450070006002,600,2,870,34.488594,-82.6293824,"1"
450070006003,600,3,967,34.4932729,-82.6397526,"1"
450070006004,600,4,584,34.4862377,-82.6425789,"1"
450070007011,701,1,1088,34.5060741,-82.6622773,"1"
450070007012,701,2,774,34.5006311,-82.6674171,"1"
450070007013,701,3,738,34.4960957,-82.6738884,"1"
450070007021,702,1,624,34.4954908,-82.6553559,"1"
450070007022,702,2,1063,34.4843094,-82.654094,"1"
450070008001,800,1,605,34.5224201,-82.6889054,"1"
450070008002,800,2,669,34.5159957,-82.677395,"1"
450070008003,800,3,1312,34.5079992,-82.6771392,"1"
450070009001,900,1,805,34.5247463,-82.6762881,"1"
450070009002,900,2,1338,34.5220074,-82.6631039,"1"
450070009003,900,3,740,34.5127413,-82.6581717,"1"
450070010001,1000,1,1870,34.5398822,-82.681225,"1"
450070010002,1000,2,813,34.530867,-82.668196,"1"
450070011001,1100,1,1939,34.5564423,-82.6703642,"1"
450070011002,1100,2,1436,34.541811,-82.6594195,"1"
450070011003,1100,3,1525,34.5469294,-82.6461545,"1"
450070011004,1100,4,725,34.5341924,-82.656264,"1"
450070101031,10103,1,2991,34.7633936,-82.511198,"1"
450070101032,10103,2,980,34.8000181,-82.4973642,"1"
450070101033,10103,3,3481,34.7886341,-82.525552,"1"
450070101034,10103,4,2066,34.7966979,-82.4891544,"1"
450070101051,10105,1,2774,34.7648503,-82.4780727,"1"
450070101061,10106,1,941,34.7217443,-82.5391872,"1"
450070101062,10106,2,2251,34.7312026,-82.5183665,"1"
450070101063,10106,3,1752,34.7023414,-82.5298802,"1"
450070101071,10107,1,1995,34.7529117,-82.5459138,"1"
450070101072,10107,2,2097,34.7681078,-82.5608787,"1"
450070101081,10108,1,3594,34.7396632,-82.5884932,"1"
450070101082,10108,2,1954,34.6887297,-82.5862384,"1"
450070102001,10200,1,2737,34.7392169,-82.4671402,"1"
450070102002,10200,2,1387,34.6966356,-82.4716777,"1"
450070102003,10200,3,1704,34.7018703,-82.4833729,"1"
450070103001,10300,1,1451,34.6580753,-82.5075382,"1"
450070103002,10300,2,1050,34.6568687,-82.4827587,"1"
450070103003,10300,3,885,34.6435579,-82.4750637,"1"
450070103004,10300,4,854,34.6486127,-82.4594202,"1"
450070104031,10403,1,1019,34.6042449,-82.4953012,"1"
450070104032,10403,2,1300,34.6220993,-82.4571439,"1"
450070104033,10403,3,985,34.6110493,-82.4743925,"1"
450070104041,10404,1,1438,34.6301726,-82.5067012,"1"
450070104042,10404,2,1294,34.6325563,-82.4703662,"1"
450070104051,10405,1,1851,34.6151516,-82.5188305,"1"
450070104052,10405,2,1877,34.5790201,-82.5449189,"1"
450070104061,10406,1,1415,34.5575582,-82.5315021,"1"
450070104062,10406,2,1796,34.5793621,-82.458764,"1"
450070105011,10501,1,1410,34.6166733,-82.5826628,"1"
450070105012,10501,2,2603,34.6554997,-82.6045126,"1"
450070105021,10502,1,2335,34.6794236,-82.5242515,"1"
450070105022,10502,2,1398,34.6480905,-82.543682,"1"
450070106011,10601,1,1788,34.7024104,-82.6500348,"1"
450070106012,10601,2,1144,34.6129992,-82.6700223,"1"
450070106013,10601,3,930,34.657362,-82.6566032,"1"
450070106021,10602,1,1180,34.5858331,-82.7129298,"1"
450070106022,10602,2,1305,34.6056241,-82.7369004,"1"
