"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
470010201001,20100,1,1536,36.0114913,-84.2540928,"9"
470010201002,20100,2,1628,35.9931686,-84.2912234,"1"
470010202011,20201,1,3264,36.0032863,-84.2017909,"9"
470010202012,20201,2,1263,36.0215989,-84.2175189,"9"
470010202021,20202,1,1373,36.0332842,-84.206043,"9"
470010202022,20202,2,1463,36.0264133,-84.2282609,"9"
470010202023,20202,3,1814,36.009853,-84.2450101,"9"
470010203001,20300,1,1434,36.0436596,-84.2225704,"9"
470010203002,20300,2,1102,36.0487845,-84.2271635,"9"
470010203003,20300,3,1492,36.035823,-84.2322942,"9"
470010204001,20400,1,1239,36.038695,-84.2533536,"9"
470010204002,20400,2,1520,36.0238071,-84.2595673,"9"
470010204003,20400,3,1843,36.0296435,-84.2439205,"9"
470010205001,20500,1,1357,36.0099739,-84.2809203,"1"
470010205002,20500,2,993,36.0191023,-84.2736809,"9"
470010205003,20500,3,1487,36.0157519,-84.2908628,"1"
470010206001,20600,1,1493,36.0005723,-84.3135324,"1"
470010206002,20600,2,1012,36.0058986,-84.3003178,"1"
470010207001,20700,1,883,36.1672231,-84.3136556,"9"
470010207002,20700,2,602,36.1578879,-84.2032907,"9"
470010208001,20800,1,1700,36.2249474,-84.1291046,"9"
470010208002,20800,2,1206,36.2133359,-84.1491805,"9"
470010208003,20800,3,1726,36.1940912,-84.1412606,"9"
470010209011,20901,1,1375,36.1980282,-84.0716154,"9"
470010209012,20901,2,2128,36.2375667,-84.0439528,"9"
470010209013,20901,3,1319,36.1651975,-84.012445,"9"
470010209014,20901,4,1390,36.197652,-83.9945179,"9"
470010209021,20902,1,1326,36.1817532,-84.0875031,"9"
470010209022,20902,2,2904,36.1579538,-84.1032707,"9"
470010209023,20902,3,870,36.1359185,-84.0706983,"9"
470010209024,20902,4,1265,36.1159029,-84.0550966,"9"
470010210011,21001,1,1461,36.093674,-84.2934,"9"
470010210012,21001,2,1261,36.0681786,-84.2508517,"9"
470010210021,21002,1,1778,36.0357138,-84.3018176,"1"
470010210022,21002,2,1425,36.0198815,-84.3176677,"1"
470010211001,21100,1,1473,36.0801565,-84.2089764,"9"
470010211002,21100,2,1240,36.0939986,-84.1673348,"9"
470010211003,21100,3,1374,36.0685428,-84.1725181,"9"
470010212011,21201,1,1341,36.11816,-84.1353669,"9"
470010212012,21201,2,979,36.1085663,-84.152191,"9"
470010212013,21201,3,1705,36.1546604,-84.1408954,"9"
470010212014,21201,4,865,36.1429645,-84.1800276,"9"
470010212021,21202,1,871,36.0957403,-84.1117888,"9"
470010212022,21202,2,1343,36.1183929,-84.123338,"9"
470010212023,21202,3,1531,36.1047286,-84.1326229,"9"
470010212024,21202,4,1472,36.0878616,-84.1427918,"9"
470010213011,21301,1,1025,36.0581917,-84.1689741,"9"
470010213012,21301,2,2530,36.078411,-84.1282483,"9"
470010213031,21303,1,1203,36.0401669,-84.1510264,"9"
470010213032,21303,2,1837,36.0611771,-84.1132123,"9"
470010213033,21303,3,893,36.0415022,-84.0852075,"9"
470010213041,21304,1,1797,36.0157013,-84.1147396,"9"
470010213042,21304,2,1712,36.015347,-84.1476313,"9"
470039501001,950100,1,1576,35.6288084,-86.304359,"3"
470039501002,950100,2,2554,35.5970289,-86.4241257,"7"
470039502011,950201,1,1270,35.6311912,-86.5103564,"7"
470039502012,950201,2,2098,35.6616832,-86.5803856,"7"
470039502021,950202,1,1488,35.5752741,-86.5665489,"7"
470039502022,950202,2,1270,35.5937206,-86.6157696,"7"
470039502023,950202,3,1233,35.5819475,-86.5190543,"7"
470039503001,950300,1,2508,35.5006004,-86.6010605,"7"
470039503002,950300,2,1425,35.4117138,-86.5719635,"7"
470039504011,950401,1,2163,35.4328133,-86.494327,"7"
470039504012,950401,2,1805,35.4667572,-86.45871,"7"
470039504013,950401,3,2454,35.4760045,-86.4825707,"7"
470039504021,950402,1,3173,35.5377553,-86.4905644,"7"
470039504022,950402,2,1877,35.4890208,-86.4877732,"7"
470039504023,950402,3,2859,35.5094977,-86.4694124,"7"
470039505001,950500,1,1741,35.4999282,-86.419916,"7"
470039505002,950500,2,2173,35.5109986,-86.4325638,"7"
470039505003,950500,3,1703,35.536093,-86.4401953,"7"
470039505004,950500,4,1043,35.4893346,-86.4535139,"7"
470039506001,950600,1,1607,35.4750292,-86.4532951,"7"
470039506002,950600,2,1836,35.4807344,-86.4440894,"7"
470039506003,950600,3,1839,35.4804238,-86.4273104,"7"
470039506004,950600,4,2532,35.4681685,-86.408868,"3"
470039507001,950700,1,1452,35.5204905,-86.2853757,"3"
470039507002,950700,2,1593,35.5057273,-86.3625432,"3"
470039508001,950800,1,1652,35.3753219,-86.4402451,"7"
470039508002,950800,2,1313,35.4361916,-86.3168144,"3"
470059630001,963000,1,717,36.1767744,-88.102802,"8"
470059630002,963000,2,640,36.2982637,-88.0166523,"8"
470059630003,963000,3,904,36.31272,-88.076517,"8"
470059630004,963000,4,933,36.2016297,-88.0228354,"8"
470059631001,963100,1,1155,36.0892299,-88.0207989,"8"
470059631002,963100,2,1068,36.1320076,-88.1312548,"8"
470059631003,963100,3,718,36.0460126,-88.0306817,"8"
470059632001,963200,1,932,35.9034601,-88.1650374,"4"
470059632002,963200,2,1132,35.895176,-88.023953,"8"
470059633001,963300,1,1023,36.058613,-88.1138171,"8"
470059633002,963300,2,1367,36.0751052,-88.1139038,"8"
470059633003,963300,3,1432,36.0729885,-88.0913122,"8"
470059634001,963400,1,1264,36.0466044,-88.1868048,"4"
470059634002,963400,2,1160,36.0094086,-88.1225124,"8"
470059634003,963400,3,1419,36.006941,-88.0665355,"8"
470079530001,953000,1,1757,35.4585115,-85.2029431,"3"
470079530002,953000,2,1038,35.6020887,-85.0921437,"3"
470079530003,953000,3,960,35.705241,-85.0012332,"1"
470079531011,953101,1,1687,35.4960909,-85.2693903,"3"
470079531021,953102,1,1437,35.6720512,-85.1007095,"3"
470079531022,953102,2,1002,35.630748,-85.1848987,"3"
470079531023,953102,3,1374,35.5921,-85.2303274,"3"
470079532001,953200,1,1719,35.5827297,-85.314319,"3"
470079532002,953200,2,2293,35.746823,-85.2469628,"3"
470079532003,953200,3,1646,35.7194273,-85.1866428,"3"
470090101001,10100,1,1400,35.7844902,-83.9639813,"9"
470090101002,10100,2,1488,35.7739987,-83.9773821,"9"
470090102001,10200,1,783,35.8134891,-83.9701472,"9"
470090102002,10200,2,2074,35.8030378,-83.9723554,"9"
470090102003,10200,3,2037,35.7850618,-83.993713,"9"
470090102004,10200,4,2695,35.7789584,-84.0139394,"9"
470090103011,10301,1,2183,35.8726736,-83.999746,"9"
470090103012,10301,2,1513,35.8462854,-83.9705575,"9"
470090103013,10301,3,2017,35.852515,-83.9536442,"9"
470090103021,10302,1,1116,35.8369659,-84.0314707,"9"
470090103022,10302,2,1169,35.8292935,-84.006894,"9"
470090103023,10302,3,1303,35.8284862,-83.9764043,"9"
470090104001,10400,1,1730,35.8281278,-83.9262497,"9"
470090104002,10400,2,1483,35.8122965,-83.9502982,"9"
470090105001,10500,1,1593,35.7577809,-83.9789808,"9"
470090105002,10500,2,1462,35.7491738,-83.9886535,"9"
470090106001,10600,1,2029,35.7507273,-83.9631761,"9"
470090106002,10600,2,1660,35.7403865,-83.9793825,"9"
470090106003,10600,3,796,35.7464329,-83.9788326,"9"
470090107001,10700,1,1496,35.7716076,-83.9484212,"9"
470090107002,10700,2,738,35.7663879,-83.9442215,"9"
470090107003,10700,3,1304,35.7597102,-83.9428162,"9"
470090107004,10700,4,1458,35.7608773,-83.9582003,"9"
470090108001,10800,1,1760,35.7883826,-83.951927,"9"
470090108002,10800,2,1477,35.770967,-83.9604078,"9"
470090109001,10900,1,2184,35.7823385,-83.9344033,"9"
470090109002,10900,2,2217,35.7940641,-83.9076678,"9"
470090109003,10900,3,2080,35.8000808,-83.9316913,"9"
470090110011,11001,1,1646,35.7715749,-83.8947921,"9"
470090110012,11001,2,2353,35.7628948,-83.9216953,"9"
470090110013,11001,3,1814,35.7519996,-83.9270049,"9"
470090110014,11001,4,892,35.7418383,-83.9284195,"9"
470090110021,11002,1,1696,35.7667075,-83.8669828,"9"
470090110022,11002,2,1247,35.7401482,-83.8743061,"9"
470090110023,11002,3,1428,35.7301205,-83.9073479,"9"
470090111011,11101,1,1239,35.7337015,-83.9440009,"9"
470090111012,11101,2,1620,35.6968971,-83.9566347,"9"
470090111013,11101,3,1402,35.7238934,-83.9585123,"9"
470090111014,11101,4,1080,35.7146913,-83.9374705,"9"
