"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
480019501001,950100,1,1196,32.061063,-95.4957453,"6"
480019501002,950100,2,1962,31.9532088,-95.4932299,"6"
480019501003,950100,3,1483,31.9800959,-95.6230974,"6"
480019504011,950401,1,5782,31.7346372,-95.8157096,"6"
480019504021,950402,1,7115,31.8000515,-95.9131097,"6"
480019505001,950500,1,733,31.7816548,-95.6138562,"6"
480019505002,950500,2,470,31.7702384,-95.6132209,"6"
480019505003,950500,3,1964,31.7811687,-95.6289317,"6"
480019505004,950500,4,1312,31.7998952,-95.6606117,"6"
480019506001,950600,1,1797,31.765449,-95.6679675,"6"
480019506002,950600,2,1485,31.7298372,-95.6878762,"6"
480019506003,950600,3,1426,31.7459887,-95.6531185,"6"
480019506004,950600,4,1328,31.7439485,-95.6688594,"6"
480019507001,950700,1,905,31.7423723,-95.6327997,"6"
480019507002,950700,2,661,31.7566015,-95.6413112,"6"
480019507003,950700,3,998,31.7595842,-95.6289559,"6"
480019508001,950800,1,1468,31.7219024,-95.6172641,"6"
480019508002,950800,2,1288,31.742396,-95.6113585,"6"
480019508003,950800,3,1146,31.758128,-95.6184946,"6"
480019508004,950800,4,822,31.7527381,-95.6197912,"6"
480019508005,950800,5,703,31.7478619,-95.6174354,"6"
480019509011,950901,1,1148,31.6708397,-95.7226899,"6"
480019509012,950901,2,756,31.6991916,-95.6334223,"6"
480019509013,950901,3,613,31.7002891,-95.7591944,"6"
480019509014,950901,4,2764,31.7665312,-95.756339,"6"
480019509021,950902,1,1063,31.7374327,-95.4653918,"6"
480019509022,950902,2,1734,31.8049234,-95.4981109,"6"
480019509023,950902,3,899,31.8412614,-95.6617267,"6"
480019509024,950902,4,1394,31.8378099,-95.5703779,"6"
480019510011,951001,1,1367,31.6457969,-95.375613,"6"
480019510012,951001,2,2251,31.6605966,-95.5126448,"6"
480019510021,951002,1,780,31.649444,-95.6279357,"6"
480019510022,951002,2,1338,31.5693679,-95.6466974,"6"
480019510023,951002,3,644,31.606693,-95.5833403,"6"
480019510024,951002,4,739,31.6238161,-95.573142,"6"
480019511001,951100,1,1872,31.96324,-95.7609461,"6"
480019511002,951100,2,817,31.9345624,-95.9599907,"6"
480019511003,951100,3,1065,31.8309635,-95.8011915,"6"
480019511004,951100,4,634,31.8676425,-95.8281208,"6"
480039501001,950100,1,2405,32.3588238,-102.7169364,"24"
480039502001,950200,1,1749,32.3334026,-102.5440913,"24"
480039502002,950200,2,1130,32.3270454,-102.5422997,"24"
480039502003,950200,3,2011,32.3289026,-102.5538749,"24"
480039502004,950200,4,910,32.3247703,-102.564763,"24"
480039502005,950200,5,1105,32.3295393,-102.5657234,"24"
480039502006,950200,6,805,32.3162325,-102.5652578,"24"
480039503001,950300,1,2310,32.312058,-102.5450874,"24"
480039503002,950300,2,1662,32.3159416,-102.5564984,"24"
480039503003,950300,3,696,32.3215535,-102.5443821,"24"
480039504001,950400,1,2249,32.318058,-102.4468583,"24"
480039504002,950400,2,1578,32.176548,-102.4688186,"24"
480050001021,102,1,1279,31.2765304,-94.8449414,"6"
480050001022,102,2,1715,31.3535303,-94.8919992,"6"
480050001023,102,3,1989,31.3431005,-94.8492346,"6"
480050001031,103,1,1343,31.460264,-94.8448454,"6"
480050001032,103,2,2097,31.4283581,-94.7607857,"6"
480050001041,104,1,995,31.4362726,-94.9454678,"6"
480050001042,104,2,1979,31.3925661,-94.8545735,"6"
480050002011,201,1,988,31.3309051,-94.6545219,"6"
480050002012,201,2,575,31.2689844,-94.68868,"6"
480050002013,201,3,1575,31.2952017,-94.682703,"6"
480050002021,202,1,1327,31.403755,-94.710348,"6"
480050002022,202,2,677,31.429221,-94.6563823,"6"
480050002023,202,3,1554,31.3713306,-94.6527721,"6"
