"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
510010901011,90101,1,1099,37.9584297,-75.343752,"6"
510010901012,90101,2,700,37.9168505,-75.3650275,"6"
510010901021,90102,1,849,37.9277967,-75.3777569,"6"
510010901022,90102,2,696,37.9039849,-75.3980118,"6"
510010902011,90201,1,1539,37.9595651,-75.503978,"6"
510010902012,90201,2,2451,38.0100026,-75.3853678,"6"
510010902021,90202,1,923,37.9745057,-75.5616184,"6"
510010902022,90202,2,1123,37.9072829,-75.5579272,"6"
510010902023,90202,3,1000,37.9113546,-75.5049716,"6"
510010903001,90300,1,536,37.9241024,-75.689541,"6"
510010903002,90300,2,670,37.887733,-75.6039495,"6"
510010903003,90300,3,887,37.8631932,-75.659871,"6"
510010904011,90401,1,1021,37.8406086,-75.5539638,"6"
510010904012,90401,2,1434,37.7977949,-75.5738255,"6"
510010904021,90402,1,1956,37.7415838,-75.6044583,"6"
510010904022,90402,2,1325,37.6774303,-75.6305244,"6"
510010905001,90500,1,603,37.843764,-75.7063686,"6"
510010905002,90500,2,1185,37.7930641,-75.6486305,"6"
510010905003,90500,3,933,37.7472928,-75.6804372,"6"
510010906001,90600,1,438,37.8308849,-75.9762343,"6"
510010906002,90600,2,1019,37.7890451,-75.7616679,"6"
510010906003,90600,3,1137,37.7099933,-75.7436703,"6"
510010906004,90600,4,1306,37.6924254,-75.7967308,"6"
510010907001,90700,1,1258,37.6727463,-75.7097687,"6"
510010907002,90700,2,749,37.647053,-75.7404387,"6"
510010907003,90700,3,614,37.6187354,-75.7694345,"6"
510010907004,90700,4,1093,37.6566799,-75.7936402,"6"
510010907005,90700,5,1506,37.6027987,-75.8980473,"6"
510010908001,90800,1,935,37.6186805,-75.6906586,"6"
510010908002,90800,2,1601,37.5160766,-75.7410432,"6"
510010908003,90800,3,826,37.5470539,-75.7902179,"6"
510019801001,980100,1,1,37.9695562,-75.2911798,"6"
510030101001,10100,1,2009,38.2061546,-78.5498243,"4"
510030101002,10100,2,1509,38.1792209,-78.6809367,"4"
510030101003,10100,3,1629,38.1236336,-78.6069559,"4"
510030102011,10201,1,1986,38.175948,-78.4772482,"4"
510030102012,10201,2,1880,38.162134,-78.4110714,"4"
510030102013,10201,3,1684,38.1688737,-78.391444,"4"
510030102021,10202,1,1508,38.1062527,-78.5347264,"4"
510030102022,10202,2,1730,38.1352204,-78.4895519,"4"
510030103011,10301,1,1939,38.1339041,-78.4438526,"4"
510030103021,10302,1,1450,38.102608,-78.4455057,"4"
510030103031,10303,1,2590,38.1235692,-78.4331531,"4"
510030103032,10303,2,949,38.1338039,-78.4105498,"4"
510030103033,10303,3,2146,38.114174,-78.4363677,"4"
510030104011,10401,1,1963,38.1091548,-78.354524,"4"
510030104012,10401,2,1021,38.0908341,-78.2760701,"4"
510030104013,10401,3,1217,38.034304,-78.3546093,"4"
510030104021,10402,1,799,37.9882982,-78.4071189,"4"
510030104022,10402,2,1397,37.9816363,-78.3511226,"4"
510030104023,10402,3,1409,38.001374,-78.3877525,"4"
510030105011,10501,1,908,38.0589221,-78.4209389,"4"
510030105012,10501,2,2096,38.0490331,-78.4329982,"4"
510030105021,10502,1,846,38.0229045,-78.4446888,"4"
510030105022,10502,2,1411,38.0303209,-78.4390718,"4"
510030105023,10502,3,1114,38.0364998,-78.4483717,"4"
510030106021,10602,1,1857,38.0737919,-78.4489089,"4"
510030106022,10602,2,1430,38.0601697,-78.4563894,"4"
510030106023,10602,3,1122,38.0543213,-78.4660513,"4"
510030106031,10603,1,1266,38.0705362,-78.4748949,"4"
510030106032,10603,2,1125,38.0744655,-78.4764986,"4"
510030106041,10604,1,877,38.0925484,-78.4569793,"4"
510030106042,10604,2,1121,38.0808532,-78.4690195,"4"
510030106043,10604,3,2031,38.0812885,-78.4592996,"4"
510030107011,10701,1,1691,38.0686281,-78.4906406,"4"
510030107012,10701,2,1171,38.0714655,-78.4961813,"4"
510030107021,10702,1,1078,38.0819966,-78.4812796,"4"
510030107022,10702,2,1455,38.080369,-78.4894324,"4"
510030107023,10702,3,1230,38.0753656,-78.4882399,"4"
510030108011,10801,1,1343,38.067299,-78.5003739,"4"
510030108012,10801,2,1405,38.0620611,-78.5024781,"4"
510030108013,10801,3,850,38.0587877,-78.5165139,"4"
510030108021,10802,1,1356,38.0822413,-78.502594,"4"
510030108022,10802,2,1048,38.0651335,-78.5103415,"4"
510030109011,10901,1,1150,38.0498931,-78.516588,"4"
510030109012,10901,2,596,38.047299,-78.5103281,"4"
510030109041,10904,1,1269,38.0361357,-78.5044334,"4"
510030109042,10904,2,3875,38.0349915,-78.5204815,"4"
510030109043,10904,3,1019,38.0330846,-78.5123227,"4"
510030110001,11000,1,1047,38.0757306,-78.5574824,"4"
510030110002,11000,2,1167,38.0360784,-78.5511333,"4"
510030110003,11000,3,1515,38.0742177,-78.6125612,"4"
510030110004,11000,4,1578,38.0449258,-78.612919,"4"
510030110005,11000,5,1305,38.0692167,-78.5812023,"4"
510030111011,11101,1,1721,38.0803692,-78.6770618,"4"
510030111012,11101,2,557,38.0688153,-78.7006969,"4"
510030111013,11101,3,606,38.0831342,-78.7121693,"4"
510030111021,11102,1,1951,38.0540312,-78.6900868,"4"
510030111022,11102,2,1335,38.0669435,-78.6890313,"4"
510030111031,11103,1,1080,38.0654567,-78.7118389,"4"
510030111032,11103,2,804,38.046487,-78.7091918,"4"
510030111033,11103,3,1323,38.0715916,-78.7166083,"4"
510030111034,11103,4,378,38.0589927,-78.7171945,"4"
510030111035,11103,5,1023,38.058636,-78.7059832,"4"
510030112011,11201,1,1071,38.0744625,-78.7759582,"4"
510030112012,11201,2,1265,38.0134761,-78.7545513,"4"
510030112013,11201,3,1872,37.944714,-78.6990751,"4"
510030112021,11202,1,927,37.994602,-78.5361216,"4"
510030112022,11202,2,932,37.9372834,-78.656583,"4"
510030112023,11202,3,1256,38.0114093,-78.5351755,"4"
510030112024,11202,4,928,38.0069719,-78.5950604,"4"
510030113011,11301,1,849,37.9880807,-78.5157133,"4"
510030113012,11301,2,1273,37.883046,-78.5186514,"4"
510030113013,11301,3,1642,37.9333024,-78.4308258,"4"
510030113014,11301,4,718,37.9500069,-78.5535015,"4"
510030113015,11301,5,645,37.9647982,-78.4990682,"4"
510030113021,11302,1,1042,38.0141841,-78.5219058,"4"
510030113022,11302,2,1585,38.0026386,-78.5176421,"4"
510030113023,11302,3,804,38.0082529,-78.5144134,"4"
510030113024,11302,4,1720,38.0075185,-78.5241009,"4"
510030113031,11303,1,1624,38.0039265,-78.4932395,"4"
510030113032,11303,2,2167,38.0041466,-78.4986392,"4"
510030114001,11400,1,1041,37.8448103,-78.5706926,"4"
510030114002,11400,2,625,37.7903428,-78.5069388,"4"
510030114003,11400,3,1418,37.7843408,-78.606775,"7"
510030114004,11400,4,1046,37.8708948,-78.6744903,"4"
510050701001,70100,1,645,37.8152361,-79.8363466,"7"
510050701002,70100,2,1068,37.8211955,-79.829104,"7"
510050701003,70100,3,803,37.8218345,-79.821453,"7"
510050701004,70100,4,1146,37.8232736,-79.8042767,"7"
510050801001,80100,1,1462,37.836527,-79.6942156,"7"
510050801002,80100,2,762,37.8036101,-79.7746269,"7"
510050801003,80100,3,974,37.7757684,-79.8608655,"7"
510050802011,80201,1,1426,37.8983861,-79.9381362,"7"
510050802012,80201,2,1364,37.836703,-79.9153888,"7"
510050802021,80202,1,1191,37.6900985,-80.0742915,"9"
510050802022,80202,2,519,37.7172133,-79.9716389,"7"
510050802023,80202,3,671,37.766309,-79.9725288,"7"
510050803011,80301,1,1854,37.89533,-80.0424416,"9"
510050803021,80302,1,738,37.7592953,-80.1584762,"9"
510050803022,80302,2,600,37.6546125,-80.2476991,"9"
510079301011,930101,1,1315,37.3667367,-78.1756387,"7"
510079301012,930101,2,1319,37.3252772,-78.0977677,"3"
510079301021,930102,1,1630,37.4254141,-77.9207458,"3"
510079301022,930102,2,1488,37.3690456,-77.9477109,"3"
510079301023,930102,3,1357,37.4188935,-78.0585833,"3"
510079302001,930200,1,1191,37.2936031,-78.0413391,"3"
510079302002,930200,2,1859,37.328748,-77.9148728,"3"
510079302003,930200,3,1612,37.2826878,-77.9090582,"3"
510079302004,930200,4,1494,37.2458521,-77.7744672,"3"
510090101001,10100,1,1424,37.6428983,-78.9889799,"7"
510090101002,10100,2,1261,37.6785435,-79.0665027,"7"
510090101003,10100,3,898,37.6989134,-79.1591006,"7"
510090101004,10100,4,1520,37.6505031,-79.2920995,"7"
510090102011,10201,1,1807,37.6024453,-79.1116743,"7"
510090102012,10201,2,1266,37.5894804,-79.0315293,"7"
510090102013,10201,3,1325,37.5652966,-79.0679245,"7"
510090102021,10202,1,628,37.542041,-79.0519118,"7"
510090102022,10202,2,1595,37.54233,-78.9751349,"7"
510090103001,10300,1,854,37.5053035,-79.1420683,"7"
510090103002,10300,2,1489,37.4858005,-79.1875851,"7"
510090103003,10300,3,1295,37.545674,-79.1897841,"7"
510090104011,10401,1,1988,37.5118548,-79.1062671,"7"
510090104012,10401,2,1368,37.5030767,-79.0777954,"7"
510090104021,10402,1,2119,37.4715224,-79.1021508,"7"
510090104022,10402,2,970,37.4762815,-79.1343203,"7"
510090105041,10504,1,991,37.4336989,-79.118407,"7"
510090105042,10504,2,696,37.4484519,-79.115388,"7"
510090105043,10504,3,2496,37.4515084,-79.0994672,"7"
510090105051,10505,1,1045,37.4123292,-79.1212671,"7"
510090105061,10506,1,1585,37.4502826,-79.137938,"7"
510090106001,10600,1,1559,37.4684032,-79.0355398,"7"
510090106002,10600,2,1128,37.4243619,-79.0687638,"7"
510110401011,40101,1,2426,37.3225639,-78.9027582,"7"
510110401012,40101,2,1257,37.3216778,-78.8187804,"7"
510110401021,40102,1,1096,37.3655635,-78.7973494,"7"
510110401022,40102,2,1506,37.3786676,-78.8879435,"7"
510110401023,40102,3,922,37.3537919,-78.8263275,"7"
510110402001,40200,1,972,37.4682941,-78.7787791,"7"
510110402002,40200,2,1305,37.466329,-78.8710396,"7"
510110402003,40200,3,2258,37.417587,-78.9550775,"7"
510110403001,40300,1,1218,37.3716482,-78.6934538,"7"
510110403002,40300,2,917,37.3172339,-78.7447595,"7"
510110403003,40300,3,1472,37.2688959,-78.8336981,"7"
510110403004,40300,4,770,37.274883,-78.7308482,"7"
510131001001,100100,1,1265,38.893913,-77.1654082,"11"
510131001002,100100,2,822,38.8989742,-77.1597974,"11"
510131001003,100100,3,1250,38.8983537,-77.1505887,"11"
510131001004,100100,4,1788,38.8937549,-77.1548194,"11"
510131002001,100200,1,1078,38.9041594,-77.1534192,"11"
