"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
530019501001,950100,1,769,47.1505125,-118.3983272,"8"
530019501002,950100,2,1160,47.1352089,-118.3509017,"8"
530019501003,950100,3,650,47.1382225,-118.3821479,"8"
530019502001,950200,1,674,46.9685686,-118.5223229,"8"
530019502002,950200,2,677,46.9395776,-118.7530675,"8"
530019502003,950200,3,453,46.8339631,-118.2246342,"8"
530019503011,950301,1,1759,46.8278007,-119.010979,"7"
530019503021,950302,1,2599,46.8550925,-119.2881592,"7"
530019503031,950303,1,1944,46.7947876,-119.2039251,"7"
530019503032,950303,2,1123,46.7711697,-119.2691812,"7"
530019504001,950400,1,1109,46.8288223,-119.1596145,"7"
530019504002,950400,2,1750,46.8335251,-119.1692024,"7"
530019505001,950500,1,3491,46.8102211,-119.1528687,"7"
530019505002,950500,2,2009,46.8179585,-119.1694832,"7"
530019505003,950500,3,446,46.8090843,-119.1813911,"7"
530039601001,960100,1,1367,46.1752839,-117.0178829,"8"
530039601002,960100,2,710,46.1818612,-117.2277813,"8"
530039601003,960100,3,2315,46.3691419,-117.1143803,"8"
530039602001,960200,1,1037,46.3799921,-117.0700476,"8"
530039602002,960200,2,1086,46.3845619,-117.0809971,"8"
530039602003,960200,3,933,46.3924869,-117.0940132,"8"
530039602004,960200,4,1725,46.3442652,-117.3012796,"8"
530039603001,960300,1,1006,46.4228622,-117.0560213,"8"
530039603002,960300,2,830,46.4153958,-117.0547201,"8"
530039603003,960300,3,762,46.4187374,-117.046331,"8"
530039603004,960300,4,1016,46.4129919,-117.0383257,"8"
530039604001,960400,1,1124,46.4154028,-117.0625648,"8"
530039604002,960400,2,1148,46.4112429,-117.0703373,"8"
530039605001,960500,1,755,46.4099656,-117.0547158,"8"
530039605002,960500,2,810,46.4099923,-117.0453458,"8"
530039605003,960500,3,1106,46.4054507,-117.0503416,"8"
530039605004,960500,4,805,46.4013963,-117.0500671,"8"
530039606001,960600,1,732,46.40429,-117.0639391,"8"
530039606002,960600,2,1428,46.3943877,-117.0709188,"8"
530039606003,960600,3,860,46.3867741,-117.054738,"8"
530039606004,960600,4,730,46.3909842,-117.051267,"8"
530050101001,10100,1,2370,46.2947384,-119.2687085,"7"
530050101002,10100,2,2314,46.3254451,-119.2646733,"7"
530050102011,10201,1,2013,46.3003487,-119.2929208,"7"
530050102012,10201,2,969,46.29605,-119.2897619,"7"
530050102013,10201,3,1010,46.3471716,-119.3397697,"7"
530050102014,10201,4,2211,46.3357697,-119.3627194,"7"
530050102031,10203,1,1069,46.334653,-119.2780209,"7"
530050102032,10203,2,1659,46.3147967,-119.2786755,"7"
530050102033,10203,3,1247,46.3075797,-119.2790983,"7"
530050102041,10204,1,1138,46.3021306,-119.2795042,"7"
530050102042,10204,2,2098,46.2971388,-119.2798217,"7"
530050103001,10300,1,1637,46.285904,-119.3020118,"7"
530050103002,10300,2,1191,46.2741592,-119.3020703,"7"
530050103003,10300,3,1220,46.2664109,-119.2945011,"7"
530050103004,10300,4,1595,46.2810108,-119.3120501,"7"
