"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
550019501001,950100,1,1136,44.2078382,-89.6813713,"8"
550019501002,950100,2,808,44.1651437,-89.7758866,"8"
550019501003,950100,3,634,44.2016881,-89.8191035,"8"
550019501004,950100,4,664,44.2159173,-89.8643099,"8"
550019502011,950201,1,675,44.0077093,-89.940797,"8"
550019502012,950201,2,711,44.0047908,-89.8216646,"8"
550019502031,950203,1,442,44.1199468,-89.7637603,"8"
550019502032,950203,2,493,44.1193337,-89.7080505,"8"
550019502041,950204,1,795,44.0479676,-89.7327807,"8"
550019502042,950204,2,851,44.1191115,-89.9090071,"8"
550019504001,950400,1,696,43.9421542,-89.6674599,"8"
550019504002,950400,2,1067,43.9394558,-89.8249028,"8"
550019504003,950400,3,1067,43.9487041,-89.8075391,"8"
550019504004,950400,4,1661,43.9794895,-89.8236335,"8"
550019505011,950501,1,811,43.8665683,-89.8725616,"8"
550019505012,950501,2,607,43.9269747,-89.941675,"8"
550019505021,950502,1,1491,43.864682,-89.6407869,"8"
550019505022,950502,2,860,43.8589095,-89.7488688,"8"
550019505023,950502,3,805,43.8090545,-89.7696168,"8"
550019505024,950502,4,619,43.7647468,-89.8101219,"8"
550019507001,950700,1,1107,43.7961482,-89.6759643,"8"
550019507002,950700,2,1054,43.7049481,-89.6502006,"8"
550019507003,950700,3,1600,43.6916503,-89.7784724,"8"
550039400001,940000,1,2066,46.5031467,-90.6881142,"4"
550039503001,950300,1,1994,46.5743757,-90.8729761,"4"
550039503002,950300,2,741,46.5795276,-90.8871915,"4"
550039504001,950400,1,974,46.5704906,-90.9075476,"4"
550039504002,950400,2,613,46.5815709,-90.8966222,"4"
550039504003,950400,3,680,46.5858051,-90.8948523,"4"
550039505001,950500,1,1411,46.4818736,-90.8773345,"4"
550039505002,950500,2,801,46.3482863,-90.8290828,"4"
550039506001,950600,1,766,46.3029145,-90.6064914,"8"
550039506002,950600,2,590,46.2342107,-90.7564237,"4"
550039507001,950700,1,716,46.2017819,-90.5123163,"8"
550039507002,950700,2,514,46.0511102,-90.7355479,"4"
550039507003,950700,3,813,46.0788976,-90.3801033,"8"
550039508001,950800,1,428,46.9406451,-90.5708301,"4"
550039508002,950800,2,1278,46.5931232,-90.8781434,"4"
550039508003,950800,3,884,46.5792458,-90.848641,"4"
550039508004,950800,4,758,46.5984002,-90.8688889,"4"
550050001001,100,1,1008,45.5965937,-91.6356019,"4"
550050001002,100,2,1258,45.5885677,-91.693214,"4"
550050001003,100,3,987,45.5903828,-91.849718,"4"
550050001004,100,4,678,45.5870283,-91.9565872,"4"
550050002001,200,1,1054,45.6068419,-92.0831694,"4"
550050002002,200,2,1689,45.5374125,-92.0098545,"4"
550050002003,200,3,1336,45.5193938,-92.099713,"4"
550050003001,300,1,1380,45.4350698,-92.103365,"4"
550050003002,300,2,1119,45.419203,-92.1250312,"4"
550050003003,300,3,860,45.4857513,-91.9890626,"4"
550050003004,300,4,823,45.4204903,-91.972902,"4"
550050004001,400,1,985,45.5074004,-91.839541,"4"
550050004002,400,2,1673,45.4101006,-91.8501568,"4"
550050004003,400,3,626,45.4363955,-91.840799,"4"
550050004004,400,4,1336,45.3924673,-91.8826219,"4"
550050004005,400,5,1049,45.3860207,-91.8193467,"4"
550050005001,500,1,759,45.4981972,-91.7408673,"4"
550050005002,500,2,1702,45.4807452,-91.7570092,"4"
550050005003,500,3,1401,45.5162931,-91.7547645,"4"
550050005004,500,4,815,45.507482,-91.742302,"4"
550050006011,601,1,1490,45.4769517,-91.7260919,"4"
550050006012,601,2,976,45.475162,-91.7107496,"4"
550050006021,602,1,1415,45.5182403,-91.7231351,"4"
550050006022,602,2,613,45.5019923,-91.730686,"4"
550050006023,602,3,835,45.4923044,-91.7279106,"4"
550050006024,602,4,826,45.4982783,-91.7133875,"4"
550050008001,800,1,1043,45.4302173,-91.7406956,"4"
550050008002,800,2,2123,45.4805163,-91.5850703,"4"
550050008003,800,3,1168,45.4000573,-91.7394527,"4"
550050008004,800,4,1193,45.415701,-91.7347316,"4"
550050009001,900,1,712,45.3382258,-91.8383039,"4"
550050009002,900,2,1230,45.3426938,-91.9950435,"4"
550050009003,900,3,1141,45.2647667,-92.0863824,"4"
550050009004,900,4,883,45.2465559,-91.9606528,"4"
550050009005,900,5,995,45.2514696,-91.8567643,"4"
550050010011,1001,1,673,45.3477662,-91.7394075,"4"
550050010012,1001,2,1262,45.2601495,-91.7054873,"4"
550050010031,1003,1,669,45.3229615,-91.6587138,"4"
550050010032,1003,2,938,45.3347461,-91.6567531,"4"
550050010041,1004,1,978,45.3740711,-91.7037752,"4"
550050010042,1004,2,764,45.3572472,-91.5918583,"4"
550050010043,1004,3,1521,45.3079496,-91.637762,"4"
550050010044,1004,4,725,45.2649945,-91.5729363,"4"
550079601001,960100,1,896,46.7956258,-90.8379189,"4"
550079601002,960100,2,770,46.8320918,-90.9850378,"4"
550079601003,960100,3,1575,46.9835898,-90.8627748,"4"
550079602001,960200,1,773,46.6276027,-91.47299,"4"
550079602002,960200,2,1129,46.7332212,-91.2963379,"4"
550079603001,960300,1,1043,46.6719686,-90.8957854,"4"
550079603002,960300,2,1355,46.7109888,-90.9403031,"4"
550079603003,960300,3,1273,46.6442791,-91.0397284,"4"
550079604011,960401,1,2080,46.4518941,-91.4168155,"4"
550079604021,960402,1,1585,46.5317825,-91.1315985,"4"
550079604022,960402,2,703,46.4015616,-91.1287928,"4"
550079604023,960402,3,806,46.3945749,-91.0156951,"4"
550079606001,960600,1,1328,46.266148,-91.4107361,"4"
550079606002,960600,2,904,46.2305711,-91.1038896,"4"
550090001001,100,1,1435,44.5487323,-88.0229546,"6"
550090001002,100,2,1161,44.5229322,-88.0217514,"6"
550090002001,200,1,901,44.5423787,-88.0445683,"6"
550090002002,200,2,828,44.5312939,-88.0300312,"6"
550090002003,200,3,1013,44.5252819,-88.0284699,"6"
550090002004,200,4,1085,44.5280662,-88.0360674,"6"
550090002005,200,5,988,44.5377336,-88.0463049,"6"
550090002006,200,6,1278,44.5343438,-88.0386961,"6"
550090003021,302,1,1309,44.527831,-88.0695973,"6"
550090003022,302,2,1468,44.5220934,-88.0729054,"6"
550090003023,302,3,1945,44.5138054,-88.0765405,"6"
550090003031,303,1,1395,44.5385817,-88.0625381,"6"
550090003032,303,2,1411,44.5321783,-88.0664251,"6"
