"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
540019655001,965500,1,622,39.2174222,-80.0950819,"2"
540019655002,965500,2,839,39.1678417,-80.1592185,"2"
540019655003,965500,3,1121,39.0841066,-80.1262318,"2"
540019655004,965500,4,1081,39.0099306,-80.009871,"2"
540019656001,965600,1,900,39.1487199,-80.0886855,"2"
540019656002,965600,2,644,39.1457518,-80.0195908,"2"
540019656003,965600,3,636,39.1290945,-80.0344457,"2"
540019656004,965600,4,1228,39.1694252,-80.0350927,"2"
540019657001,965700,1,1236,39.2028647,-79.9870202,"2"
540019657002,965700,2,911,39.2216518,-79.8997561,"2"
540019657003,965700,3,1292,39.1095298,-79.8872396,"2"
540019657004,965700,4,1463,39.1136962,-80.0065714,"2"
540019658001,965800,1,1007,39.0338579,-79.9542896,"2"
540019658002,965800,2,681,38.996936,-79.9590377,"2"
540019658003,965800,3,818,39.0433481,-79.8967069,"2"
540019658004,965800,4,986,38.983317,-79.9323709,"2"
540039711011,971101,1,1210,39.5395368,-77.8875431,"2"
540039711012,971101,2,1079,39.57549,-77.8456732,"2"
540039711013,971101,3,2457,39.5720199,-77.8707111,"2"
540039711014,971101,4,2216,39.5324556,-77.9099781,"2"
540039711031,971103,1,1973,39.5944447,-77.85158,"2"
540039711041,971104,1,1601,39.5921888,-77.8832405,"2"
540039711042,971104,2,2264,39.5800273,-77.9110676,"2"
540039711051,971105,1,2219,39.5560667,-77.9325536,"2"
540039711052,971105,2,2002,39.5420275,-77.9304888,"2"
540039712031,971203,1,1460,39.589893,-78.0287542,"2"
540039712032,971203,2,2008,39.5283985,-78.0598205,"2"
540039712041,971204,1,1494,39.5672338,-78.1104115,"2"
540039712042,971204,2,1604,39.5353465,-78.1039373,"2"
540039712051,971205,1,1883,39.5721039,-77.9651758,"2"
540039712052,971205,2,2636,39.5522038,-78.0061252,"2"
540039712061,971206,1,2199,39.5022677,-77.9922344,"2"
540039712062,971206,2,2991,39.5247888,-77.9858852,"2"
540039712063,971206,3,1036,39.4949991,-77.9720874,"2"
540039712064,971206,4,1542,39.4771832,-78.0245747,"2"
540039713011,971301,1,1188,39.4832832,-77.9722441,"2"
540039713012,971301,2,1388,39.4822318,-77.9630256,"2"
540039713013,971301,3,2167,39.4918548,-77.9500677,"2"
540039713014,971301,4,1141,39.517333,-77.94958,"2"
540039713021,971302,1,1186,39.5098306,-77.9137256,"2"
540039713022,971302,2,1452,39.4929895,-77.9390964,"2"
540039713023,971302,3,1865,39.4851661,-77.9253767,"2"
540039714011,971401,1,1751,39.4922035,-77.8637653,"2"
540039714012,971401,2,2137,39.4501898,-77.8899076,"2"
540039714021,971402,1,2334,39.4766272,-77.9457267,"2"
540039714022,971402,2,2333,39.4579135,-77.9333309,"2"
540039714023,971402,3,1427,39.4696201,-77.9359314,"2"
540039715001,971500,1,967,39.4673795,-77.9522922,"2"
540039715002,971500,2,1098,39.4596986,-77.9520209,"2"
540039715003,971500,3,708,39.4566248,-77.9581022,"2"
540039715004,971500,4,1035,39.4486538,-77.9624737,"2"
540039716001,971600,1,807,39.4678356,-77.9606474,"2"
540039716002,971600,2,1517,39.4698227,-77.9764063,"2"
540039716003,971600,3,1048,39.4659097,-77.9831668,"2"
540039716004,971600,4,871,39.4596799,-77.9714289,"2"
540039716005,971600,5,592,39.4585936,-77.9658481,"2"
540039717001,971700,1,641,39.4510944,-77.968223,"2"
540039717002,971700,2,678,39.4546049,-77.9722427,"2"
540039717003,971700,3,862,39.4585767,-77.9783437,"2"
540039717004,971700,4,1296,39.4541823,-77.9846654,"2"
540039717005,971700,5,811,39.4508163,-77.974295,"2"
540039717006,971700,6,629,39.446634,-77.9795741,"2"
540039717007,971700,7,583,39.4435303,-77.9754982,"2"
540039718011,971801,1,2259,39.3622787,-78.1039446,"2"
540039718012,971801,2,1961,39.3847295,-78.1378676,"2"
540039718021,971802,1,1732,39.4105919,-78.1764132,"2"
540039718022,971802,2,1529,39.4362268,-78.0571121,"2"
540039718023,971802,3,1159,39.4788857,-78.1426735,"2"
540039719011,971901,1,1939,39.3851332,-77.9959782,"2"
540039719012,971901,2,1712,39.4121984,-78.0034725,"2"
540039719013,971901,3,781,39.4336235,-77.9784999,"2"
540039719014,971901,4,1726,39.3802722,-78.0110181,"2"
540039719021,971902,1,1869,39.4474203,-77.9999399,"2"
540039719022,971902,2,1646,39.4107095,-78.0278907,"2"
540039719023,971902,3,1161,39.4452231,-78.0183459,"2"
540039720011,972001,1,1734,39.4321603,-77.926386,"2"
540039720012,972001,2,2156,39.4298967,-77.9106672,"2"
540039720013,972001,3,2049,39.4043501,-77.9250674,"2"
540039720021,972002,1,1978,39.4444767,-77.9568005,"2"
540039720022,972002,2,1836,39.4340871,-77.946762,"2"
540039720031,972003,1,2859,39.4045674,-77.9671648,"2"
540039720032,972003,2,1295,39.3758279,-77.9617608,"2"
540039721011,972101,1,2290,39.3218541,-78.0463041,"2"
540039721012,972101,2,2606,39.293527,-78.0435074,"2"
540039721013,972101,3,515,39.318006,-78.087341,"2"
540039721014,972101,4,730,39.3444003,-78.0783679,"2"
540039721031,972103,1,2062,39.3316619,-78.0255784,"2"
540039721032,972103,2,2116,39.3461686,-78.0485519,"2"
540039721041,972104,1,1917,39.3452007,-78.0108765,"2"
540039721042,972104,2,1202,39.3289049,-78.0025816,"2"
540039721043,972104,3,1109,39.3533359,-77.9929052,"2"
540039721051,972105,1,2332,39.35992,-78.0188586,"2"
540039721052,972105,2,1430,39.3727969,-78.0591633,"2"
540059582001,958200,1,1861,38.1729351,-81.7869753,"1"
540059582002,958200,2,811,38.1205765,-81.713325,"1"
540059582003,958200,3,1015,38.2023054,-81.684573,"1"
540059583001,958300,1,911,38.0228015,-81.9124758,"1"
540059583002,958300,2,842,37.985476,-81.856468,"1"
540059583003,958300,3,625,37.9554082,-81.8460422,"1"
540059583004,958300,4,1403,38.1048163,-81.8860243,"1"
540059584001,958400,1,2046,38.0390073,-81.8530944,"1"
540059585011,958501,1,1182,38.0866021,-81.6757724,"1"
540059585012,958501,2,1484,37.9864666,-81.5970034,"1"
540059585021,958502,1,2407,38.0228143,-81.7135382,"1"
540059585022,958502,2,939,38.0599708,-81.8189493,"1"
540059586001,958600,1,430,38.0254889,-81.5257353,"1"
540059586002,958600,2,1431,38.1152864,-81.5582581,"1"
540059587001,958700,1,1546,37.8676689,-81.6770805,"1"
540059588001,958800,1,1891,37.9814826,-81.7648234,"1"
540059588002,958800,2,985,37.9957843,-81.8512648,"1"
540079679001,967900,1,975,38.8546279,-80.6314673,"2"
540079679002,967900,2,932,38.7765825,-80.7288738,"2"
540079679003,967900,3,1650,38.7458449,-80.6532089,"2"
540079679004,967900,4,1271,38.7374826,-80.5367266,"2"
540079680001,968000,1,713,38.7446724,-80.861327,"2"
540079680002,968000,2,1168,38.6697136,-80.9183867,"2"
540079680003,968000,3,699,38.6346458,-80.7706872,"2"
540079680004,968000,4,1208,38.7202444,-80.7521311,"2"
540079681001,968100,1,773,38.6726438,-80.6775855,"2"
540079681002,968100,2,453,38.6611041,-80.7090515,"2"
540079681003,968100,3,728,38.5988044,-80.7431339,"2"
540079681004,968100,4,1246,38.6061137,-80.6556404,"2"
540079681005,968100,5,631,38.5728955,-80.8840544,"2"
540090311021,31102,1,938,40.3123161,-80.5397589,"2"
540090311022,31102,2,563,40.3187313,-80.5740147,"2"
540090311023,31102,3,2787,40.3447354,-80.5815222,"2"
540090311031,31103,1,1563,40.3897094,-80.61168,"2"
540090311032,31103,2,1015,40.3962439,-80.5910697,"2"
540090311041,31104,1,1255,40.3867061,-80.5454018,"2"
540090311042,31104,2,1144,40.3694644,-80.5642124,"2"
540090312001,31200,1,878,40.3368212,-80.6040689,"2"
540090312002,31200,2,2338,40.3130518,-80.5895328,"2"
540090314011,31401,1,1180,40.2872158,-80.6112638,"2"
540090314012,31401,2,808,40.2726822,-80.6134052,"2"
540090314021,31402,1,1270,40.2745256,-80.6008508,"2"
540090314022,31402,2,993,40.2872143,-80.5890771,"2"
540090316001,31600,1,698,40.2511913,-80.5470573,"2"
540090316002,31600,2,992,40.1923934,-80.5404697,"2"
540090316003,31600,3,851,40.259827,-80.5800286,"2"
540090316004,31600,4,962,40.2857415,-80.535283,"2"
540090317001,31700,1,832,40.2441125,-80.6298777,"2"
540090317002,31700,2,629,40.1920491,-80.6380647,"2"
540090317003,31700,3,863,40.2023386,-80.6127728,"2"
540110001011,101,1,713,38.4174591,-82.3523866,"1"
540110001012,101,2,904,38.4157259,-82.3721601,"1"
540110001021,102,1,821,38.40556,-82.3705472,"1"
540110001022,102,2,1154,38.4066057,-82.3808532,"1"
540110002001,200,1,750,38.4311224,-82.3772119,"1"
540110002002,200,2,1108,38.4269451,-82.3523775,"1"
540110002003,200,3,851,38.429172,-82.3870059,"1"
540110003001,300,1,1365,38.4323964,-82.4011475,"1"
540110003002,300,2,1120,38.4321552,-82.4093729,"1"
540110004001,400,1,1234,38.427151,-82.3968678,"1"
540110004002,400,2,1074,38.4238558,-82.4116959,"1"
540110005001,500,1,2936,38.4223736,-82.427019,"1"
540110006001,600,1,628,38.4195066,-82.4345349,"1"
540110006002,600,2,606,38.4238306,-82.4423846,"1"
540110009001,900,1,839,38.4160358,-82.4765346,"1"
540110009002,900,2,670,38.41925,-82.4626829,"1"
540110010001,1000,1,693,38.4048381,-82.4860081,"1"
540110010002,1000,2,594,38.4083584,-82.4875628,"1"
540110010003,1000,3,796,38.4104419,-82.4936995,"1"
540110011001,1100,1,741,38.4124446,-82.4638811,"1"
540110011002,1100,2,1147,38.409326,-82.4753808,"1"
540110012001,1200,1,782,38.4115984,-82.4489272,"1"
540110012002,1200,2,766,38.4102216,-82.4540703,"1"
540110012003,1200,3,1058,38.4088838,-82.4594567,"1"
540110013001,1300,1,836,38.4126765,-82.4380129,"1"
540110013002,1300,2,1024,38.4097858,-82.4452677,"1"
540110013003,1300,3,853,38.4121731,-82.4414991,"1"
540110014001,1400,1,632,38.4171924,-82.4256195,"1"
540110014002,1400,2,764,38.4146271,-82.4331221,"1"
540110014003,1400,3,956,38.408714,-82.431338,"1"
540110015001,1500,1,1367,38.4088127,-82.4203613,"1"
540110015002,1500,2,717,38.4136236,-82.4247524,"1"
540110016001,1600,1,1084,38.4159581,-82.4162541,"1"
540110018001,1800,1,511,38.4187036,-82.3980346,"1"
540110018002,1800,2,665,38.4122547,-82.3990674,"1"
540110018003,1800,3,715,38.4108759,-82.403513,"1"
540110018004,1800,4,712,38.4106772,-82.408753,"1"
540110018005,1800,5,841,38.4166774,-82.4088962,"1"
540110019001,1900,1,596,38.4074512,-82.3867455,"1"
540110019002,1900,2,954,38.4056911,-82.3913962,"1"
540110019003,1900,3,603,38.4059553,-82.3987588,"1"
540110020001,2000,1,906,38.4044234,-82.4169553,"1"
540110020002,2000,2,2367,38.4007231,-82.4102884,"1"
540110021001,2100,1,1176,38.3919124,-82.4716119,"1"
540110021002,2100,2,1122,38.3994901,-82.4479063,"1"
540110021003,2100,3,954,38.398568,-82.428546,"1"
540110101031,10103,1,1285,38.3757737,-82.3144073,"1"
540110101032,10103,2,1599,38.3432572,-82.3504471,"1"
540110101041,10104,1,828,38.3587428,-82.3953418,"1"
540110101042,10104,2,828,38.3819542,-82.4412801,"1"
540110101043,10104,3,1278,38.3909447,-82.3790086,"1"
540110102021,10202,1,1049,38.410826,-82.3413392,"1"
540110102022,10202,2,1625,38.3979986,-82.3165546,"1"
540110102023,10202,3,1593,38.3983256,-82.3436292,"1"
540110102031,10203,1,1676,38.4203488,-82.3036226,"1"
540110102032,10203,2,1872,38.4196052,-82.315537,"1"
540110102033,10203,3,565,38.4259467,-82.3070351,"1"
540110102041,10204,1,1147,38.4157929,-82.3248835,"1"
540110102042,10204,2,473,38.4152634,-82.3383827,"1"
540110103001,10300,1,553,38.4541457,-82.3143177,"1"
540110103002,10300,2,599,38.5136146,-82.2994508,"1"
540110103003,10300,3,1016,38.4359188,-82.267781,"1"
540110103004,10300,4,876,38.4347235,-82.3144159,"1"
540110104011,10401,1,740,38.4116765,-82.289567,"1"
540110104012,10401,2,2037,38.4195778,-82.2433966,"1"
540110104013,10401,3,595,38.4048543,-82.2669917,"1"
540110104021,10402,1,1476,38.3985624,-82.3060603,"1"
540110104022,10402,2,769,38.4046122,-82.29441,"1"
540110104023,10402,3,924,38.3899476,-82.2637306,"1"
540110105001,10500,1,1352,38.2851483,-82.2572579,"1"
540110105002,10500,2,1368,38.3478597,-82.2301211,"1"
540110105003,10500,3,1172,38.3611896,-82.1889193,"1"
540110105004,10500,4,1736,38.3669895,-82.2675915,"1"
540110106001,10600,1,964,38.3662627,-82.115284,"1"
540110106002,10600,2,854,38.4081013,-82.1275245,"1"
540110106003,10600,3,1247,38.4088864,-82.1998407,"1"
540110106004,10600,4,1158,38.4284242,-82.212158,"1"
540110107011,10701,1,1101,38.4951516,-82.2063337,"1"
540110107012,10701,2,817,38.5311483,-82.1952289,"1"
540110107013,10701,3,1209,38.5529991,-82.2407022,"1"
540110107021,10702,1,2290,38.4358167,-82.2062979,"1"
540110107022,10702,2,1797,38.4663057,-82.2010843,"1"
540110108011,10801,1,1478,38.4163969,-82.0634161,"1"
540110108012,10801,2,678,38.4625431,-82.0967455,"1"
540110108021,10802,1,1789,38.4221128,-82.1078326,"1"
540110108022,10802,2,935,38.4369903,-82.1245518,"1"
540110108023,10802,3,1497,38.4341137,-82.1439264,"1"
540110109001,10900,1,787,38.420584,-82.44724,"1"
540110109002,10900,2,1013,38.4168682,-82.4473221,"1"
540139626001,962600,1,990,38.9536564,-81.0502574,"2"
540139626002,962600,2,631,38.9803085,-81.1435264,"2"
540139626003,962600,3,1388,38.9335772,-81.1687065,"2"
540139627001,962700,1,734,38.8489899,-81.122016,"2"
540139627002,962700,2,1088,38.808318,-81.1333429,"1"
540139627003,962700,3,1398,38.6980566,-81.071505,"1"
540159579001,957900,1,1756,38.5661623,-80.9888321,"1"
540159579002,957900,2,1439,38.5284928,-81.1434843,"1"
540159580001,958000,1,1330,38.4569443,-81.2004466,"1"
540159580002,958000,2,1578,38.4257574,-81.0031543,"1"
540159581001,958100,1,697,38.3570196,-81.2008822,"1"
540159581002,958100,2,732,38.3320786,-81.1612522,"1"
540159581003,958100,3,519,38.403295,-81.1032477,"1"
540179650001,965000,1,879,39.3987554,-80.5959767,"2"
540179650002,965000,2,1005,39.3413362,-80.6594851,"2"
540179650003,965000,3,1234,39.2392165,-80.5950752,"2"
540179650004,965000,4,920,39.1774672,-80.723034,"2"
540179651001,965100,1,890,39.2345195,-80.7954174,"2"
540179651002,965100,2,1353,39.3006925,-80.8340211,"2"
540179651003,965100,3,892,39.3021054,-80.7658831,"2"
540179651004,965100,4,635,39.3404777,-80.7441154,"2"
540190201011,20101,1,928,37.9904054,-81.0681821,"1"
540190201012,20101,2,1764,38.0314928,-81.062074,"1"
540190201013,20101,3,1453,38.0360756,-81.1057844,"1"
540190201021,20102,1,1627,38.0792487,-81.146353,"1"
540190202011,20201,1,1126,38.0006782,-81.1151371,"1"
540190202012,20201,2,1568,37.9873861,-81.1239733,"1"
540190202013,20201,3,1119,37.9669326,-81.0994036,"1"
540190202021,20202,1,1366,38.0096579,-81.1589951,"1"
540190202022,20202,2,700,37.9980793,-81.1482095,"1"
540190202023,20202,3,1586,37.9960235,-81.1344653,"1"
540190203001,20300,1,659,37.9893638,-81.1598196,"1"
540190203002,20300,2,1106,37.9818235,-81.1501775,"1"
540190203003,20300,3,968,37.974645,-81.1484314,"1"
540190204001,20400,1,1253,37.965872,-81.1796879,"1"
540190204002,20400,2,913,37.9285864,-81.2124416,"1"
540190204003,20400,3,841,37.906679,-81.1326853,"1"
540190204004,20400,4,866,37.9221933,-81.0910238,"1"
540190205001,20500,1,580,37.9026624,-81.1653181,"1"
540190205002,20500,2,1026,37.8886631,-81.1598387,"1"
540190206001,20600,1,641,37.9600921,-81.2896382,"1"
540190206002,20600,2,1141,37.9920269,-81.273813,"1"
540190207001,20700,1,917,38.0704566,-81.2998468,"1"
540190207002,20700,2,912,38.0845217,-81.2186885,"1"
540190207003,20700,3,1338,38.1545973,-81.3148843,"1"
540190208001,20800,1,1598,38.2171888,-81.2380128,"1"
540190208002,20800,2,1496,38.1811052,-81.2240743,"1"
540190208003,20800,3,1335,38.1658108,-81.2974841,"1"
540190209001,20900,1,1174,38.1819933,-81.1226758,"1"
540190209002,20900,2,1067,38.1714863,-81.0608646,"1"
540190209003,20900,3,878,38.1625429,-80.9835965,"1"
540190209004,20900,4,949,38.1134628,-81.0561776,"1"
540190210001,21000,1,2034,38.0080306,-80.9038846,"1"
540190210002,21000,2,793,38.0939778,-80.954308,"1"
540190211001,21100,1,677,37.9204851,-80.9963928,"1"
540190211002,21100,2,1126,37.8679892,-80.9392512,"1"
540190211003,21100,3,963,37.8997925,-80.8237274,"1"
540219677011,967701,1,679,38.9814214,-80.9390526,"2"
540219677012,967701,2,717,39.028103,-80.8114524,"2"
540219677013,967701,3,731,38.8740568,-80.8645073,"2"
540219677014,967701,4,702,38.9527349,-80.701053,"2"
540219677015,967701,5,554,38.8954925,-80.7589029,"2"
540219677016,967701,6,709,38.8083424,-80.9604026,"2"
540219678001,967800,1,549,38.9569447,-80.8560354,"2"
540219678002,967800,2,788,38.944889,-80.7929785,"2"
540219678003,967800,3,539,38.9375444,-80.8642489,"2"
540219800001,980000,1,1440,38.9155155,-80.7844458,"2"
540239694001,969400,1,1026,39.2027883,-79.0752845,"2"
540239694002,969400,2,743,39.2773312,-79.2245679,"2"
540239694003,969400,3,574,39.2428893,-79.3649575,"2"
540239694004,969400,4,643,39.0926137,-79.2673097,"2"
540239695001,969500,1,1711,39.1021487,-79.1569578,"2"
540239695002,969500,2,1960,38.9750087,-79.2207174,"2"
540239696001,969600,1,876,38.9993327,-79.1211361,"2"
540239696002,969600,2,1181,39.0010128,-79.1363163,"2"
540239696003,969600,3,828,38.9780231,-79.1515726,"2"
540239696004,969600,4,1434,38.9069899,-79.1270028,"2"
540259501011,950101,1,959,37.8046697,-80.2967386,"2"
540259501012,950101,2,747,37.7951012,-80.2939524,"2"
540259501021,950102,1,487,37.7784162,-80.2620416,"2"
540259501022,950102,2,399,38.0011689,-80.0385639,"2"
540259501023,950102,3,1011,37.9503291,-80.2353336,"2"
540259501024,950102,4,1035,37.8705197,-80.2010844,"2"
540259502001,950200,1,683,38.1093164,-80.4391124,"2"
540259502002,950200,2,695,38.0354123,-80.6519673,"2"
540259502003,950200,3,762,38.0589539,-80.6801158,"1"
540259502004,950200,4,759,37.9626172,-80.6900698,"1"
540259502005,950200,5,580,38.0028673,-80.5595425,"2"
540259503001,950300,1,706,38.0491137,-80.7884403,"1"
540259503002,950300,2,697,37.9548124,-80.7977099,"1"
540259503003,950300,3,1180,37.9644233,-80.7670214,"1"
540259503004,950300,4,992,37.9164119,-80.7317156,"1"
540259504011,950401,1,1796,37.9244177,-80.4505897,"2"
540259504012,950401,2,1331,37.9181206,-80.6043328,"1"
540259504021,950402,1,1272,37.8853896,-80.3877229,"2"
540259504022,950402,2,1916,37.8321688,-80.3773814,"2"
540259504023,950402,3,1163,37.8554025,-80.4515537,"2"
540259505001,950500,1,984,37.8298343,-80.6701214,"1"
540259505002,950500,2,1260,37.8033455,-80.5661826,"1"
540259505003,950500,3,888,37.7317308,-80.6467777,"1"
540259506001,950600,1,933,37.8009178,-80.486941,"2"
540259506002,950600,2,1988,37.7929518,-80.4208522,"2"
540259506003,950600,3,711,37.7996675,-80.4427673,"2"
540259506004,950600,4,1174,37.7841734,-80.4647284,"2"
540259507011,950701,1,803,37.7831112,-80.5177556,"1"
540259507012,950701,2,1517,37.7668208,-80.4535833,"2"
540259507013,950701,3,1104,37.7500624,-80.4988388,"1"
540259507014,950701,4,537,37.7339458,-80.5721857,"1"
540259507021,950702,1,1286,37.7435814,-80.3395882,"2"
540259507022,950702,2,622,37.728112,-80.4744616,"2"
540279682011,968201,1,731,39.4006252,-78.4951981,"2"
540279682012,968201,2,832,39.4502272,-78.5276089,"2"
540279682013,968201,3,829,39.4368778,-78.4169314,"2"
540279682021,968202,1,845,39.3215093,-78.3743483,"2"
540279682022,968202,2,1312,39.3223074,-78.5623758,"2"
540279682023,968202,3,728,39.3699369,-78.449442,"2"
540279683011,968301,1,1391,39.3565681,-78.6532628,"2"
